,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2020년04월_남_20~29세,"227,296","2,775","6,724","5,405","6,711","25,506","17,598","18,856","20,875","26,138","22,137","18,377","6,340","13,460","11,898","15,918","8,578"
2020년04월_남_30~39세,"219,550","2,439","5,929","5,677","6,067","24,186","17,126","16,239","18,082","23,430","20,690","13,635","13,528","14,066","12,050","14,169","12,237"
2020년04월_남_40~49세,"259,516","3,031","7,574","6,573","8,304","26,107","21,168","21,386","20,640","31,798","24,125","16,472","12,233","15,725","12,624","15,786","15,970"
2020년04월_남_50~59세,"280,356","3,614","9,358","7,620","10,288","28,567","21,389","21,269","26,661","33,854","27,636","19,849","8,448","16,304","12,701","21,232","11,566"
2020년04월_남_60~69세,"244,338","3,667","8,651","7,468","10,351","25,521","18,642","18,581","21,514","26,515","24,062","17,737","7,598","14,628","12,470","17,669","9,264"
2020년04월_남_70~79세,"129,583","2,176","5,309","4,492","6,291","13,768","10,056","11,039","9,481","13,358","11,802","9,777","3,269","8,083","7,614","7,724","5,344"
2020년04월_남_80~89세,"39,523",756,"1,859","1,543","2,003","4,459","2,961","3,442","2,569","4,401","3,208","3,061",859,"2,489","2,445","1,842","1,626"
2020년04월_남_90~99세,"3,178",97,173,155,136,351,235,243,199,372,254,264,76,191,210,101,121
2020년04월_남_100세 이상,406,18,33,30,33,46,23,24,21,42,34,41,12,20,14,8,7
2020년04월_여_총인구수,"1,737,148","21,263","55,471","45,670","58,631","184,275","139,687","138,640","145,957","209,856","159,480","121,043","63,410","108,661","93,241","107,010","84,853"
2020년04월_여_연령구간인구수,"1,737,148","21,263","55,471","45,670","58,631","184,275","139,687","138,640","145,957","209,856","159,480","121,043","63,410","108,661","93,241","107,010","84,853"
2020년04월_여_0~9세,"116,870",686,"2,694","2,005","2,776","10,702","9,774","9,289","9,737","14,105","10,383","6,701","9,440","7,492","5,154","6,556","9,376"
2020년04월_여_10~19세,"134,605","1,072","3,654","2,580","3,744","12,562","12,033","11,560","11,732","18,977","12,684","9,053","5,260","8,139","5,935","7,544","8,076"
2020년04월_여_20~29세,"207,608","2,765","6,816","5,253","5,601","26,119","15,930","16,630","18,020","23,849","19,032","15,514","5,521","12,955","12,349","13,711","7,543"
2020년04월_여_30~39세,"210,019","2,067","5,491","4,909","5,188","23,298","16,932","15,507","16,910","24,639","18,407","12,762","12,959","13,971","12,103","12,274","12,602"
2020년04월_여_40~49세,"256,482","2,552","7,072","5,684","7,459","25,618","22,317","21,371","21,056","35,180","23,178","16,625","9,556","16,334","13,076","14,480","14,924"
2020년04월_여_50~59세,"298,107","3,577","8,953","7,436","9,981","30,519","23,742","22,444","29,051","37,270","28,917","22,059","8,004","18,315","15,192","21,339","11,308"
2020년04월_여_60~69세,"270,757","4,106","9,923","8,289","11,336","28,592","21,339","21,652","22,070","29,407","25,645","20,186","7,262","16,994","15,457","17,798","10,701"
2020년04월_여_70~79세,"158,359","2,829","6,894","6,130","8,212","17,583","11,737","13,557","11,260","16,975","13,916","11,697","3,320","9,667","9,233","8,900","6,449"
2020년04월_여_80~89세,"71,485","1,283","3,318","2,902","3,636","7,972","4,955","5,646","5,228","8,050","6,165","5,428","1,704","4,097","4,039","3,805","3,257"
2020년04월_여_90~99세,"11,426",262,571,413,602,"1,130",818,874,814,"1,289","1,025",861,352,637,653,544,581
2020년04월_여_100세 이상,"1,430",64,85,69,96,180,110,110,79,115,128,157,32,60,50,59,36
