,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2021년03월_남_10~19세,"15,298","1,794","1,029",757,704,545,795,154,979,"1,141","1,231","1,144",759,627,"1,967","1,075",597
2021년03월_남_20~29세,"27,126","2,040","1,335","1,689","2,069","1,334","2,254",798,"1,700","1,845","2,366","1,925","1,317","1,824","2,248","1,596",786
2021년03월_남_30~39세,"31,838","2,958","1,926","1,597","2,700","1,502","2,729",740,"1,475","1,630","2,673","2,220","1,401","2,268","2,521","1,656","1,842"
2021년03월_남_40~49세,"31,989","3,179","1,824","1,817","2,207","1,484","2,080",640,"1,729","2,138","2,522","2,456","1,610","1,673","3,298","1,868","1,464"
2021년03월_남_50~59세,"31,106","2,516","1,424","2,427","1,605","1,744","2,292","1,067","1,914","2,312","2,928","2,335","1,615","1,529","2,702","1,871",825
2021년03월_남_60~69세,"26,687","1,933","1,242","1,954","1,187","1,389","1,842",884,"1,690","1,977","2,514","2,321","1,614","1,446","2,282","1,747",665
2021년03월_남_70~79세,"15,044","1,022",489,"1,169",710,956,979,392,936,"1,096","1,383","1,422",857,880,"1,493",926,334
2021년03월_남_80~89세,"4,654",288,136,406,229,338,320,123,245,370,438,379,276,283,483,258,82
2021년03월_남_90~99세,371,16,18,25,25,26,23,15,20,25,37,36,22,14,38,20,11
2021년03월_남_100세 이상,14,2,1,0,0,0,0,1,1,0,2,2,2,0,1,2,0
2021년03월_여_총인구수,"203,040","18,340","10,764","11,954","11,581","10,330","15,107","4,152","11,459","13,675","17,150","16,073","10,486","11,631","19,978","12,074","8,286"
2021년03월_여_연령구간인구수,"203,040","18,340","10,764","11,954","11,581","10,330","15,107","4,152","11,459","13,675","17,150","16,073","10,486","11,631","19,978","12,074","8,286"
2021년03월_여_0~9세,"13,381","1,788",889,414,616,366,878,108,627,883,"1,096","1,017",592,613,"1,509",694,"1,291"
2021년03월_여_10~19세,"14,385","1,700",925,670,690,549,770,121,927,"1,052","1,165","1,143",661,592,"1,903",905,612
2021년03월_여_20~29세,"28,130","2,182","1,479","1,525","2,146","1,507","2,866",739,"1,556","1,724","2,256","1,899","1,247","2,288","2,349","1,495",872
2021년03월_여_30~39세,"30,407","3,173","1,888","1,286","2,258","1,370","2,736",510,"1,350","1,605","2,424","2,214","1,301","2,112","2,603","1,598","1,979"
2021년03월_여_40~49세,"30,466","3,314","1,794","1,615","1,780","1,441","1,994",489,"1,696","2,099","2,427","2,344","1,517","1,501","3,258","1,909","1,288"
2021년03월_여_50~59세,"31,669","2,578","1,577","2,206","1,430","1,718","2,265",749,"1,975","2,391","2,909","2,575","1,831","1,512","2,951","2,055",947
2021년03월_여_60~69세,"29,821","2,125","1,434","2,098","1,401","1,688","1,949",723,"1,863","2,067","2,673","2,767","1,890","1,578","2,816","1,907",842
2021년03월_여_70~79세,"16,689",961,500,"1,463",843,"1,135","1,117",446,986,"1,248","1,495","1,495",960,952,"1,770","1,030",288
2021년03월_여_80~89세,"6,933",440,228,576,373,493,462,229,409,525,597,534,426,409,692,407,133
2021년03월_여_90~99세,"1,114",76,47,97,43,63,67,36,69,77,100,82,58,71,125,72,31
2021년03월_여_100세 이상,45,3,3,4,1,0,3,2,1,4,8,3,3,3,2,2,3
