,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2020년09월_남_30~39세,"23,435",412,727,688,861,314,829,802,606,828,885,275,"1,390",912,"1,081",962,953,"2,999",789,"1,549","2,214","2,427",932
2020년09월_남_40~49세,"26,649",539,974,624,"1,003",432,985,959,561,899,"1,071",297,"2,017",998,"1,106","1,186","1,085","3,536",789,"2,055","2,471","1,843","1,219"
2020년09월_남_50~59세,"27,779",715,722,695,"1,336",561,"1,045","1,093",682,"1,286","1,192",375,"1,642","1,429","1,430","1,640","1,424","3,426","1,069","1,445","2,234",762,"1,576"
2020년09월_남_60~69세,"23,623",655,594,640,"1,103",562,912,787,549,"1,196","1,128",352,"1,272","1,304","1,312","1,484","1,324","2,865",899,879,"1,669",685,"1,452"
2020년09월_남_70~79세,"13,164",444,388,380,591,344,599,410,340,754,658,205,624,671,685,820,746,"1,380",494,552,837,293,949
2020년09월_남_80~89세,"4,562",189,152,151,191,119,249,175,121,284,234,83,191,191,232,303,244,422,186,190,245,64,346
2020년09월_남_90~99세,315,11,12,6,17,5,19,11,10,17,25,3,16,13,15,20,16,28,13,14,20,6,18
2020년09월_남_100세 이상,35,0,4,0,4,2,2,4,1,2,3,0,0,1,0,0,1,2,2,0,4,0,3
2020년09월_여_총인구수,"174,063","3,886","5,676","4,469","6,544","3,452","6,985","6,359","3,747","7,193","7,622","1,956","11,121","7,564","7,939","9,498","7,591","22,368","5,625","10,984","14,983","9,537","8,964"
2020년09월_여_연령구간인구수,"174,063","3,886","5,676","4,469","6,544","3,452","6,985","6,359","3,747","7,193","7,622","1,956","11,121","7,564","7,939","9,498","7,591","22,368","5,625","10,984","14,983","9,537","8,964"
2020년09월_여_0~9세,"12,580",138,524,336,225,118,406,451,73,246,380,105,"1,178",357,412,452,370,"1,879",337,"1,236","1,316","1,534",507
2020년09월_여_10~19세,"12,750",200,396,284,325,187,416,437,163,417,520,112,"1,147",448,456,633,429,"1,765",304,"1,363","1,437",710,601
2020년09월_여_20~29세,"19,438",389,470,491,921,344,707,768,693,832,870,213,"1,034",913,963,"1,084",852,"2,486",654,"1,071","1,807","1,081",795
2020년09월_여_30~39세,"21,079",287,781,575,656,260,770,804,449,624,761,185,"1,535",697,837,816,705,"2,872",636,"1,652","2,062","2,294",821
2020년09월_여_40~49세,"25,033",442,898,585,779,423,953,"1,008",442,835,"1,034",207,"1,977",850,956,"1,164",903,"3,385",682,"2,164","2,514","1,602","1,230"
2020년09월_여_50~59세,"29,539",664,834,718,"1,287",679,"1,197","1,122",616,"1,319","1,305",368,"1,679","1,583","1,579","1,922","1,404","3,718","1,149","1,384","2,427",946,"1,639"
2020년09월_여_60~69세,"27,156",757,807,740,"1,224",710,"1,182",852,695,"1,444","1,397",353,"1,393","1,456","1,391","1,753","1,439","3,274",984,"1,068","1,861",809,"1,567"
2020년09월_여_70~79세,"17,010",635,627,473,756,464,874,568,385,966,878,262,764,830,876,"1,049",962,"1,847",609,697,"1,026",378,"1,084"
2020년09월_여_80~89세,"8,249",325,292,225,322,241,423,301,206,447,416,133,348,383,409,550,458,991,228,301,483,150,617
2020년09월_여_90~99세,"1,141",44,40,40,43,24,52,43,22,54,54,18,62,43,58,70,68,146,39,46,46,31,98
2020년09월_여_100세 이상,88,5,7,2,6,2,5,5,3,9,7,0,4,4,2,5,1,5,3,2,4,2,5
