,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2021년12월_여_연령구간인구수,"114,925","3,973","1,484",768,"3,675","1,373","5,684",533,"3,592","1,684",521,"1,516",690,"2,643","4,212","12,530","3,338","12,400","8,991","16,673","16,973","11,672"
2021년12월_여_0~9세,"11,650",268,31,12,180,22,614,12,198,78,11,27,20,161,200,"2,013",262,"1,093",732,"1,457","2,647","1,612"
2021년12월_여_10~19세,"13,383",303,52,26,303,59,562,18,290,111,12,46,36,285,426,"1,756",307,"1,382","1,020","2,032","2,532","1,825"
2021년12월_여_20~29세,"9,870",278,95,27,237,73,375,23,290,138,19,71,26,260,389,970,313,"1,213","1,090","1,690","1,348",945
2021년12월_여_30~39세,"15,734",404,76,36,271,54,775,25,324,117,25,70,46,232,358,"2,551",448,"1,573","1,209","2,160","3,133","1,847"
2021년12월_여_40~49세,"21,690",587,124,58,439,112,980,47,526,175,37,126,70,455,684,"2,760",562,"2,269","1,806","3,291","3,769","2,813"
2021년12월_여_50~59세,"18,328",763,273,130,637,244,864,101,701,289,71,243,109,498,836,"1,336",629,"2,391","1,753","2,936","2,039","1,485"
2021년12월_여_60~69세,"14,067",747,385,189,706,351,770,151,673,367,131,358,157,409,823,781,557,"1,734",996,"2,070",989,723
2021년12월_여_70~79세,"5,903",330,254,158,465,236,419,89,312,204,115,297,123,198,325,222,171,466,238,687,336,258
2021년12월_여_80~89세,"3,575",243,161,111,345,183,282,59,231,158,78,233,83,128,148,120,76,233,123,299,140,141
2021년12월_여_90~99세,709,50,33,21,90,36,42,8,47,47,22,42,20,16,23,21,13,44,22,51,39,22
2021년12월_여_100세 이상,16,0,0,0,2,3,1,0,0,0,0,3,0,1,0,0,0,2,2,0,1,1
