,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2020년12월_계_80~89세,"11,304",463,598,722,571,538,398,534,358,399,627,451,423,224,718,437,632,399,728,394,364,543,197,586
2020년12월_계_90~99세,"1,672",66,73,90,81,80,50,69,52,59,81,67,46,31,132,67,116,58,103,89,66,73,36,87
2020년12월_계_100세 이상,92,3,6,4,2,6,5,3,5,4,6,8,1,2,2,1,5,1,11,5,3,4,0,5
2020년12월_남_총인구수,"235,112","11,236","7,670","8,952","8,127","8,269","5,957","13,267","9,352","5,962","11,579","11,083","12,578","5,946","7,192","10,743","20,421","7,539","24,844","1,962","8,456","17,726","6,500","9,751"
2020년12월_남_연령구간인구수,"235,112","11,236","7,670","8,952","8,127","8,269","5,957","13,267","9,352","5,962","11,579","11,083","12,578","5,946","7,192","10,743","20,421","7,539","24,844","1,962","8,456","17,726","6,500","9,751"
2020년12월_남_0~9세,"19,661","1,121",386,480,586,531,343,915,605,428,"1,012",628,753,209,382,939,"2,777",683,"3,250",57,813,"1,662",492,609
2020년12월_남_10~19세,"25,654","1,550",527,750,786,648,335,"1,298",672,574,"1,281",891,984,309,681,"1,482","2,402",859,"3,180",84,"1,794","2,297",698,"1,572"
2020년12월_남_20~29세,"37,740","1,450","1,326","1,409","1,142","1,171","1,134","2,490","2,055",853,"1,660","2,225","2,891","1,495","1,024","1,557","2,536","1,312","3,438",176,907,"2,733","1,296","1,460"
2020년12월_남_30~39세,"33,683","1,326",891,"1,004",904,"1,098","1,105","2,339","1,894",772,"1,410","1,990","2,265","1,097",815,"1,256","3,199","1,014","4,071",159,610,"2,585","1,046",833
2020년12월_남_40~49세,"37,979","2,071","1,015","1,309","1,145","1,212",902,"2,146","1,470",919,"1,931","1,565","1,942",863,915,"1,602","3,911","1,075","4,506",250,"1,783","2,903","1,036","1,508"
2020년12월_남_50~59세,"37,636","1,756","1,304","1,498","1,456","1,504",843,"2,136","1,157",945,"1,844","1,646","1,983",972,"1,358","1,829","2,741","1,326","3,683",393,"1,324","3,083","1,060","1,795"
2020년12월_남_60~69세,"26,346","1,162","1,254","1,413","1,314","1,227",729,"1,269",921,835,"1,410","1,372","1,175",639,"1,252","1,484","1,855",789,"1,715",415,663,"1,712",590,"1,151"
2020년12월_남_70~79세,"11,962",605,716,778,570,633,408,476,425,464,770,586,437,272,539,428,747,330,768,278,386,543,202,601
2020년12월_남_80~89세,"4,047",178,231,289,204,226,142,185,142,160,235,167,139,83,197,150,225,137,214,131,149,190,71,202
2020년12월_남_90~99세,386,16,19,22,19,18,15,13,11,12,23,11,9,6,28,16,28,14,15,19,25,18,9,20
2020년12월_남_100세 이상,18,1,1,0,1,1,1,0,0,0,3,2,0,1,1,0,0,0,4,0,2,0,0,0
2020년12월_여_총인구수,"242,768","11,600","7,517","8,738","8,437","7,952","6,597","14,178","9,913","6,340","12,431","10,680","12,569","5,175","7,916","11,156","21,043","8,260","25,954","1,854","8,743","18,797","6,505","10,413"
2020년12월_여_연령구간인구수,"242,768","11,600","7,517","8,738","8,437","7,952","6,597","14,178","9,913","6,340","12,431","10,680","12,569","5,175","7,916","11,156","21,043","8,260","25,954","1,854","8,743","18,797","6,505","10,413"
2020년12월_여_0~9세,"18,431","1,050",330,394,528,455,300,798,595,430,949,532,723,186,401,914,"2,676",634,"3,096",41,787,"1,564",472,576
2020년12월_여_10~19세,"24,039","1,496",501,690,697,581,315,"1,166",641,564,"1,378",797,"1,094",268,649,"1,264","2,288",793,"3,020",77,"1,633","2,086",658,"1,383"
2020년12월_여_20~29세,"36,350","1,429","1,126","1,109",965,"1,000","1,392","2,915","2,440",813,"1,502","2,005","2,738","1,289",879,"1,293","2,484","1,463","3,414",127,801,"2,810","1,099","1,257"
2020년12월_여_30~39세,"32,216","1,365",699,826,857,908,"1,016","2,266","1,648",746,"1,370","1,480","1,959",731,743,"1,402","3,498","1,011","4,194",110,816,"2,788",924,859
2020년12월_여_40~49세,"40,546","2,271",827,"1,140","1,202","1,089",840,"2,364","1,386",972,"2,147","1,591","1,867",673,"1,061","1,880","3,829","1,317","5,022",164,"2,215","3,562","1,144","1,983"
2020년12월_여_50~59세,"40,095","1,764","1,373","1,556","1,704","1,467",986,"2,283","1,386","1,035","2,063","1,821","2,118",932,"1,533","2,185","2,947","1,512","3,739",327,"1,145","3,255","1,178","1,786"
2020년12월_여_60~69세,"28,409","1,287","1,419","1,624","1,356","1,326",925,"1,357","1,022",960,"1,700","1,531","1,290",634,"1,268","1,384","1,987",755,"1,935",337,669,"1,688",618,"1,337"
2020년12월_여_70~79세,"14,065",601,816,894,698,747,528,621,533,530,869,577,458,295,756,495,834,468,925,333,420,632,259,776
2020년12월_여_80~89세,"7,257",285,367,433,367,312,256,349,216,239,392,284,284,141,521,287,407,262,514,263,215,353,126,384
2020년12월_여_90~99세,"1,286",50,54,68,62,62,35,56,41,47,58,56,37,25,104,51,88,44,88,70,41,55,27,67
2020년12월_여_100세 이상,74,2,5,4,1,5,4,3,5,4,3,6,1,1,1,1,5,1,7,5,1,4,0,5
