,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2021년12월_남_30~39세,"22,146","1,426","1,691","1,460","1,656","1,038",987,"2,119",788,"1,147",649,"1,707",816,458,958,664,"1,005","2,103","1,474"
2021년12월_남_40~49세,"30,527","1,587","2,341","2,342","2,215","1,339","1,327","2,184","1,072","1,712",711,"2,777",898,571,"1,279",929,"1,663","3,650","1,930"
2021년12월_남_50~59세,"32,997","1,796","2,565","2,192","2,357","1,311","1,567","2,514","1,364","2,011",781,"3,105","1,098",801,"1,351","1,374","1,955","2,791","2,064"
2021년12월_남_60~69세,"28,243","1,674","1,886","1,883","1,688","1,169",943,"1,952","1,094","1,399",888,"2,403","1,162",850,"1,239","1,399","2,438","2,054","2,122"
2021년12월_남_70~79세,"13,911",994,975,889,842,501,434,799,503,564,452,"1,088",680,464,531,836,"1,347","1,050",962
2021년12월_남_80~89세,"4,939",345,361,351,333,157,232,383,280,279,157,329,205,167,113,337,427,256,227
2021년12월_남_90~99세,410,24,25,35,29,20,34,42,30,22,10,31,14,8,7,15,30,17,17
2021년12월_남_100세 이상,14,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,2,1,1
2021년12월_여_총인구수,"205,814","11,769","16,035","15,200","14,420","8,337","9,679","17,290","8,565","12,160","5,132","17,491","6,510","4,359","8,146","6,896","11,955","19,224","12,646"
2021년12월_여_연령구간인구수,"205,814","11,769","16,035","15,200","14,420","8,337","9,679","17,290","8,565","12,160","5,132","17,491","6,510","4,359","8,146","6,896","11,955","19,224","12,646"
2021년12월_여_0~9세,"13,118",613,"1,346","1,406","1,031",634,575,975,518,786,218,"1,203",244,86,572,175,389,"1,774",573
2021년12월_여_10~19세,"17,903",753,"1,478","1,592","1,215",558,938,"1,363",842,"1,444",220,"1,924",277,210,748,331,644,"2,423",943
2021년12월_여_20~29세,"22,407","1,515","1,628","1,288","1,680",804,"1,433","2,638",859,"1,343",515,"1,842",589,412,906,674,"1,006","1,924","1,351"
2021년12월_여_30~39세,"22,974","1,377","1,974","1,907","1,858","1,138","1,122","2,321",843,"1,297",555,"1,809",657,304,938,432,816,"2,309","1,317"
2021년12월_여_40~49세,"33,449","1,727","2,803","2,709","2,538","1,395","1,766","2,695","1,359","2,181",626,"3,181",756,482,"1,277",713,"1,355","4,062","1,824"
2021년12월_여_50~59세,"36,408","2,042","2,821","2,589","2,516","1,482","1,660","3,178","1,605","2,272",914,"3,174","1,195",817,"1,555","1,227","2,057","2,816","2,488"
2021년12월_여_60~69세,"31,879","2,019","2,168","2,121","1,928","1,374","1,033","2,168","1,242","1,464","1,118","2,443","1,395","1,043","1,346","1,460","2,735","2,324","2,498"
2021년12월_여_70~79세,"17,322","1,148","1,125","1,002","1,040",625,664,"1,155",731,798,575,"1,210",909,629,521,"1,221","1,859","1,086","1,024"
2021년12월_여_80~89세,"8,883",483,573,491,531,261,439,686,487,494,330,603,439,340,244,580,931,423,548
2021년12월_여_90~99세,"1,430",91,115,93,81,61,48,109,78,80,59,99,47,36,37,79,159,80,78
2021년12월_여_100세 이상,41,1,4,2,2,5,1,2,1,1,2,3,2,0,2,4,4,3,2
