,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2020년10월_계_80~89세,"12,934",511,"1,611",838,"1,091",427,392,570,377,358,620,564,381,338,427,645,515,486,417,446,604,636,561,119
2020년10월_계_90~99세,"1,734",73,166,114,155,61,79,65,53,41,80,80,44,33,67,84,58,63,68,75,86,77,92,20
2020년10월_계_100세 이상,90,2,13,8,7,3,3,3,1,2,0,2,1,8,11,2,8,1,1,4,2,1,5,2
2020년10월_남_총인구수,"126,760","2,755","12,495","4,835","10,510","2,255","3,356","2,370","1,616","1,618","10,852","3,218","2,989","2,672","3,214","7,014","2,391","7,526","2,925","10,667","14,311","11,452","4,833",886
2020년10월_남_연령구간인구수,"126,760","2,755","12,495","4,835","10,510","2,255","3,356","2,370","1,616","1,618","10,852","3,218","2,989","2,672","3,214","7,014","2,391","7,526","2,925","10,667","14,311","11,452","4,833",886
2020년10월_남_0~9세,"8,366",85,643,190,570,127,151,53,29,29,"1,283",89,142,109,84,251,52,617,180,"1,340","1,293",678,343,28
2020년10월_남_10~19세,"10,947",107,"1,054",276,589,120,176,104,48,88,"1,240",178,172,176,180,444,99,913,193,"1,219","2,011","1,208",310,42
2020년10월_남_20~29세,"15,145",229,"1,385",465,"1,125",271,389,169,78,114,"1,252",280,307,318,354,"1,188",210,"1,091",297,"1,340","2,061","1,697",443,82
2020년10월_남_30~39세,"13,616",204,977,398,"1,322",295,301,164,72,89,"1,542",230,340,296,333,771,178,790,258,"1,441","1,599","1,299",635,82
2020년10월_남_40~49세,"19,243",403,"1,782",622,"1,628",256,447,237,115,192,"1,894",434,408,368,428,994,293,"1,258",410,"1,925","2,463","1,857",714,115
2020년10월_남_50~59세,"24,154",562,"2,648",926,"2,192",378,734,506,310,326,"1,775",722,577,462,618,"1,180",486,"1,410",546,"1,805","2,719","2,181",916,175
2020년10월_남_60~69세,"20,050",605,"2,166","1,008","1,862",419,669,587,507,363,"1,157",695,562,483,646,"1,164",541,861,541,"1,090","1,484","1,620",822,198
2020년10월_남_70~79세,"10,820",377,"1,302",637,885,264,344,370,316,286,517,408,343,331,405,764,355,407,354,376,511,686,460,122
2020년10월_남_80~89세,"4,051",168,504,288,303,118,131,164,132,123,184,162,124,122,148,242,161,164,130,115,157,205,172,34
2020년10월_남_90~99세,347,15,32,24,30,6,14,15,9,7,8,20,14,5,15,15,13,15,16,16,13,20,18,7
2020년10월_남_100세 이상,21,0,2,1,4,1,0,1,0,1,0,0,0,2,3,1,3,0,0,0,0,1,0,1
2020년10월_여_총인구수,"126,522","2,779","12,636","4,715","9,359","2,080","2,930","2,359","1,656","1,625","11,137","3,122","2,770","2,717","3,450","7,105","2,440","7,483","3,031","10,990","14,782","11,494","4,967",895
2020년10월_여_연령구간인구수,"126,522","2,779","12,636","4,715","9,359","2,080","2,930","2,359","1,656","1,625","11,137","3,122","2,770","2,717","3,450","7,105","2,440","7,483","3,031","10,990","14,782","11,494","4,967",895
2020년10월_여_0~9세,"7,991",73,588,170,569,119,137,47,25,33,"1,186",106,139,114,109,198,49,591,178,"1,300","1,262",639,332,27
2020년10월_여_10~19세,"9,988",106,"1,022",229,512,67,155,94,48,40,"1,217",166,166,142,156,409,104,798,154,"1,204","1,759","1,098",290,52
2020년10월_여_20~29세,"11,743",148,"1,022",271,814,168,201,121,51,77,"1,086",220,242,242,298,902,144,858,207,"1,080","1,735","1,352",415,89
2020년10월_여_30~39세,"11,926",146,855,280,925,191,203,95,67,67,"1,564",163,270,248,237,534,123,747,275,"1,511","1,694","1,122",550,59
2020년10월_여_40~49세,"17,592",232,"1,614",441,"1,072",139,287,168,82,122,"1,959",308,299,282,342,836,218,"1,336",351,"2,010","2,907","1,894",600,93
2020년10월_여_50~59세,"22,625",454,"2,425",817,"1,825",278,573,392,287,246,"1,788",566,483,449,568,"1,232",383,"1,369",493,"1,922","2,764","2,312",844,155
2020년10월_여_60~69세,"20,661",648,"2,223","1,032","1,699",399,645,539,464,391,"1,207",633,502,577,816,"1,519",528,892,605,"1,055","1,471","1,738",891,187
2020년10월_여_70~79세,"13,657",569,"1,635",828,"1,027",353,400,445,342,379,622,496,381,413,585,"1,002",487,521,428,514,668,851,577,134
2020년10월_여_80~89세,"8,883",343,"1,107",550,788,309,261,406,245,235,436,402,257,216,279,403,354,322,287,331,447,431,389,85
2020년10월_여_90~99세,"1,387",58,134,90,125,55,65,50,44,34,72,60,30,28,52,69,45,48,52,59,73,57,74,13
2020년10월_여_100세 이상,69,2,11,7,3,2,3,2,1,1,0,2,1,6,8,1,5,1,1,4,2,0,5,1
