,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2021년03월_계_80~89세,"11,904",761,537,350,992,667,821,677,472,556,864,"1,021",567,"1,003",580,"1,255",781
2021년03월_계_90~99세,"1,614",119,74,29,108,94,109,89,64,70,90,130,65,149,96,228,100
2021년03월_계_100세 이상,108,11,4,1,2,1,3,3,11,1,6,14,11,8,15,12,5
2021년03월_남_총인구수,"193,752","12,302","9,590","7,386","17,015","11,120","12,613","12,027","9,730","9,825","12,979","16,958","9,515","15,145","8,531","19,032","9,984"
2021년03월_남_연령구간인구수,"193,752","12,302","9,590","7,386","17,015","11,120","12,613","12,027","9,730","9,825","12,979","16,958","9,515","15,145","8,531","19,032","9,984"
2021년03월_남_0~9세,"11,585",627,563,658,799,638,553,954,378,655,565,"1,174",534,754,403,"1,664",666
2021년03월_남_10~19세,"13,345",772,628,458,939,652,752,"1,022",420,632,625,"1,551",623,933,535,"1,929",874
2021년03월_남_20~29세,"27,675","1,660","1,312",910,"2,725","1,573","1,925","1,763","1,736","1,402","1,867","2,391","1,325","2,107","1,199","2,479","1,301"
2021년03월_남_30~39세,"29,628","1,735","1,418","1,372","2,781","1,727","1,913","1,839","2,159","1,661","1,943","2,433","1,590","2,108","1,129","2,413","1,407"
2021년03월_남_40~49세,"29,510","1,940","1,590","1,202","2,625","1,673","1,821","1,745","1,380","1,461","1,851","2,844","1,446","2,194","1,232","2,952","1,554"
2021년03월_남_50~59세,"33,994","2,496","1,677","1,250","3,112","1,896","2,284","2,073","1,553","1,556","2,588","2,662","1,606","2,839","1,669","3,069","1,664"
2021년03월_남_60~69세,"28,677","1,815","1,373",948,"2,409","1,757","1,965","1,659","1,225","1,507","2,130","2,240","1,412","2,564","1,423","2,726","1,524"
2021년03월_남_70~79세,"14,300",936,800,446,"1,215",924,"1,029",698,652,711,"1,033","1,206",724,"1,248",683,"1,292",703
2021년03월_남_80~89세,"4,655",291,208,133,388,262,338,258,208,226,349,428,234,363,237,471,261
2021년03월_남_90~99세,356,29,20,8,21,18,32,16,17,13,26,23,17,32,18,37,29
2021년03월_남_100세 이상,27,1,1,1,1,0,1,0,2,1,2,6,4,3,3,0,1
2021년03월_여_총인구수,"198,289","12,402","9,634","7,215","17,232","11,023","12,745","12,612","10,383","10,233","12,288","18,114","9,803","15,084","8,448","20,066","11,007"
2021년03월_여_연령구간인구수,"198,289","12,402","9,634","7,215","17,232","11,023","12,745","12,612","10,383","10,233","12,288","18,114","9,803","15,084","8,448","20,066","11,007"
2021년03월_여_0~9세,"10,828",609,504,652,744,524,546,874,400,587,472,"1,116",509,714,357,"1,564",656
2021년03월_여_10~19세,"12,943",803,584,432,979,592,712,914,360,672,540,"1,528",583,940,624,"1,824",856
2021년03월_여_20~29세,"28,263","1,690","1,233",863,"2,685","1,519","1,888","1,821","2,440","1,464","1,892","2,588","1,373","2,070","1,127","2,374","1,236"
2021년03월_여_30~39세,"27,816","1,544","1,299","1,328","2,487","1,621","1,644","1,790","2,057","1,520","1,717","2,423","1,475","1,956",957,"2,512","1,486"
2021년03월_여_40~49세,"27,633","1,726","1,397","1,016","2,373","1,487","1,662","1,810","1,251","1,348","1,580","2,932","1,395","1,882","1,172","2,976","1,626"
2021년03월_여_50~59세,"34,818","2,391","1,643","1,211","3,157","1,964","2,398","2,275","1,534","1,765","2,267","2,881","1,656","2,810","1,610","3,403","1,853"
2021년03월_여_60~69세,"30,430","1,932","1,567",955,"2,551","1,824","2,097","1,741","1,314","1,633","2,027","2,538","1,591","2,579","1,383","2,914","1,784"
2021년03월_여_70~79세,"16,970","1,137","1,021",520,"1,564","1,010","1,236",892,707,857,"1,210","1,400",833,"1,371",785,"1,512",915
2021년03월_여_80~89세,"7,249",470,329,217,604,405,483,419,264,330,515,593,333,640,343,784,520
2021년03월_여_90~99세,"1,258",90,54,21,87,76,77,73,47,57,64,107,48,117,78,191,71
2021년03월_여_100세 이상,81,10,3,0,1,1,2,3,9,0,4,8,7,5,12,12,4
