,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2021년10월_여_0~9세,"9,855",564,568,895,518,304,607,911,172,491,442,308,269,365,355,164,559,304,315,374,788,582
2021년10월_여_10~19세,"13,415",685,552,"1,359",664,415,806,"1,300",289,729,421,393,402,502,492,251,685,401,474,657,"1,103",835
2021년10월_여_20~29세,"55,747","2,512",884,"1,894","4,141","2,919","6,448","2,834","2,577","3,078","2,140","3,127","2,131","2,446","3,072","4,391",845,"2,185","2,496","1,232","2,425","1,970"
2021년10월_여_30~39세,"38,148","1,825","1,261","1,858","2,744","1,603","3,228","2,532","1,375","2,359","1,719","1,883","1,349","1,716","1,715","2,375",926,"1,438","1,553","1,076","1,990","1,623"
2021년10월_여_40~49세,"30,724","1,581","1,187","2,462","1,719",916,"1,906","2,466",792,"1,701","1,114","1,235","1,003","1,230","1,351","1,037","1,415","1,074","1,134","1,424","2,214","1,763"
2021년10월_여_50~59세,"33,109","1,778","1,164","2,443","1,744",782,"1,896","2,422",883,"1,788","1,368","1,392","1,192","1,448","1,571",773,"1,259","1,076","1,168","2,008","2,511","2,443"
2021년10월_여_60~69세,"32,075","1,811","1,073","2,166","1,729",729,"1,807","2,403",899,"1,629","1,245","1,381","1,266","1,443","1,398",776,"1,143","1,103","1,154","2,204","2,542","2,174"
2021년10월_여_70~79세,"19,986","1,133",687,"1,400","1,173",532,"1,180","1,502",615,"1,041",691,797,829,824,889,494,679,642,697,"1,410","1,423","1,348"
2021년10월_여_80~89세,"8,114",462,361,631,403,225,425,578,251,394,226,327,361,337,316,168,286,281,319,657,547,559
2021년10월_여_90~99세,"1,262",80,53,84,60,24,67,97,28,50,44,41,60,59,53,30,41,42,47,121,88,93
2021년10월_여_100세 이상,78,3,2,4,4,2,2,3,4,2,3,4,3,7,3,4,1,2,0,5,13,7
