,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년05월_남_90~99세,334,10,14,8,18,7,19,13,5,21,23,5,15,14,16,19,13,33,14,14,22,6,25
2021년05월_남_100세 이상,27,0,4,0,1,2,1,4,1,4,0,0,0,0,0,0,1,1,2,0,2,0,4
2021년05월_여_총인구수,"173,521","3,800","5,573","4,991","5,849","3,414","6,854","6,214","3,700","7,082","7,133","1,907","10,996","7,364","7,849","9,361","7,691","21,997","5,549","10,951","14,791","9,482","10,973"
2021년05월_여_연령구간인구수,"173,521","3,800","5,573","4,991","5,849","3,414","6,854","6,214","3,700","7,082","7,133","1,907","10,996","7,364","7,849","9,361","7,691","21,997","5,549","10,951","14,791","9,482","10,973"
2021년05월_여_0~9세,"12,027",131,452,434,177,107,354,416,80,225,351,98,"1,106",317,395,412,369,"1,754",315,"1,185","1,197","1,474",678
2021년05월_여_10~19세,"12,521",175,400,292,291,170,400,439,145,365,469,96,"1,132",422,440,585,434,"1,737",294,"1,352","1,426",746,711
2021년05월_여_20~29세,"19,226",391,483,520,830,337,706,723,683,835,821,201,"1,021",856,977,"1,045",841,"2,422",605,"1,059","1,793","1,024","1,053"
2021년05월_여_30~39세,"20,464",262,691,743,603,254,719,743,454,578,679,182,"1,397",641,824,784,706,"2,747",597,"1,545","1,924","2,200","1,191"
2021년05월_여_40~49세,"24,891",427,896,679,683,403,912,995,396,805,953,192,"2,009",800,931,"1,091",899,"3,291",661,"2,195","2,472","1,662","1,539"
2021년05월_여_50~59세,"29,028",628,826,761,"1,103",652,"1,161","1,075",617,"1,288","1,197",352,"1,670","1,488","1,502","1,868","1,384","3,563","1,114","1,411","2,394",969,"2,005"
2021년05월_여_60~69세,"28,313",773,821,805,"1,133",738,"1,226",902,687,"1,467","1,375",360,"1,454","1,549","1,428","1,843","1,518","3,463","1,059","1,101","1,976",817,"1,818"
2021년05월_여_70~79세,"17,091",609,625,479,687,479,866,558,399,986,822,264,773,832,864,"1,079",978,"1,840",620,724,"1,058",388,"1,161"
2021년05월_여_80~89세,"8,690",342,332,237,303,246,448,320,215,466,405,140,366,412,429,583,490,"1,020",244,334,495,170,693
2021년05월_여_90~99세,"1,216",56,43,38,39,26,58,39,22,60,58,22,64,46,59,68,70,156,40,44,56,30,122
2021년05월_여_100세 이상,54,6,4,3,0,2,4,4,2,7,3,0,4,1,0,3,2,4,0,1,0,2,2
