카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년08월_계_80~89세,"7,423","1,616",154,306,402,689,385,583,512,311,188,207,217,452,172,332,245,219,157,111,165
2021년08월_계_90~99세,"1,259",243,30,61,56,121,52,77,75,53,24,38,66,108,27,34,47,51,31,25,40
2021년08월_계_100세 이상,37,8,1,4,1,6,1,3,6,1,0,1,0,0,2,1,0,2,0,0,0
2021년08월_남_총인구수,"182,430","22,558","1,588","1,657","3,463","4,749","4,049","4,068","2,970","1,843","1,248","9,334","16,440","19,864","11,683","14,351","16,904","16,792","9,493","5,616","13,760"
2021년08월_남_연령구간인구수,"182,430","22,558","1,588","1,657","3,463","4,749","4,049","4,068","2,970","1,843","1,248","9,334","16,440","19,864","11,683","14,351","16,904","16,792","9,493","5,616","13,760"
2021년08월_남_0~9세,"23,976","1,583",48,46,164,165,126,167,94,29,47,"1,277","2,469","2,906","1,736","2,307","2,981","2,962","1,536",878,"2,455"
2021년08월_남_10~19세,"22,424","2,136",50,65,198,177,150,217,209,62,82,"1,674","2,278","2,789","2,305","2,083","2,508","1,817","1,335",552,"1,737"
2021년08월_남_20~29세,"19,546","3,734",225,178,482,560,647,554,342,150,153,888,"1,765","2,041",915,"1,208","1,237","1,679",907,664,"1,217"
2021년08월_남_30~39세,"29,844","3,007",253,175,480,545,635,462,295,144,122,"1,100","3,084","3,513","1,480","2,514","2,890","3,680","1,596","1,095","2,774"
2021년08월_남_40~49세,"36,179","3,665",216,207,510,625,660,530,385,206,181,"2,066","3,598","4,285","2,783","3,134","3,872","3,330","1,975","1,017","2,934"
2021년08월_남_50~59세,"24,647","3,535",320,293,624,891,754,709,576,401,254,"1,411","1,993","2,499","1,549","1,692","1,719","1,916","1,212",799,"1,500"
2021년08월_남_60~69세,"16,242","2,863",303,378,571,987,637,776,582,478,225,622,908,"1,210",624,921,"1,181","1,039",664,450,823
2021년08월_남_70~79세,"6,769","1,354",122,210,270,541,292,410,285,255,119,220,273,471,228,371,423,309,219,129,268
2021년08월_남_80~89세,"2,538",617,49,91,147,230,136,228,189,107,59,66,61,128,57,113,84,53,45,30,48
2021년08월_남_90~99세,257,63,2,13,16,25,12,15,13,10,6,10,11,22,5,8,9,7,4,2,4
2021년08월_남_100세 이상,8,1,0,1,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2021년08월_여_총인구수,"182,879","20,790","1,180","1,496","2,790","4,225","2,945","3,369","2,589","1,565","1,107","9,626","17,526","21,195","11,934","15,179","17,613","17,409","9,904","5,704","14,733"
2021년08월_여_연령구간인구수,"182,879","20,790","1,180","1,496","2,790","4,225","2,945","3,369","2,589","1,565","1,107","9,626","17,526","21,195","11,934","15,179","17,613","17,409","9,904","5,704","14,733"
2021년08월_여_0~9세,"22,975","1,501",50,48,157,170,122,177,88,38,43,"1,158","2,427","2,800","1,619","2,190","2,870","2,848","1,501",779,"2,389"
2021년08월_여_10~19세,"22,139","2,029",47,61,165,201,164,189,155,51,94,"1,626","2,423","2,731","2,056","2,174","2,396","1,907","1,279",539,"1,852"
2021년08월_여_20~29세,"18,639","2,793",153,102,236,380,367,289,216,120,108,853,"2,105","2,522",952,"1,353","1,271","1,808",966,674,"1,371"
2021년08월_여_30~39세,"31,320","2,444",113,120,276,366,300,273,179,85,61,"1,329","3,517","3,978","1,844","2,788","3,370","4,029","1,911","1,137","3,200"
2021년08월_여_40~49세,"35,064","3,185",105,128,306,393,307,340,268,114,123,"2,298","3,648","4,537","3,070","3,182","3,821","3,280","1,995","1,006","2,958"
2021년08월_여_50~59세,"22,521","3,116",198,237,461,716,555,498,433,273,183,"1,293","1,892","2,314","1,304","1,673","1,882","1,932","1,157",862,"1,542"
2021년08월_여_60~69세,"16,481","2,827",249,320,538,867,537,684,495,394,200,621,992,"1,312",699,"1,144","1,361","1,063",723,476,979
2021년08월_여_70~79세,"7,824","1,709",131,214,356,574,303,499,364,243,148,278,311,591,252,429,443,330,233,127,289
2021년08월_여_80~89세,"4,885",999,105,215,255,459,249,355,323,204,129,141,156,324,115,219,161,166,112,81,117
2021년08월_여_90~99세,"1,002",180,28,48,40,96,40,62,62,43,18,28,55,86,22,26,38,44,27,23,36
2021년08월_여_100세 이상,29,7,1,3,0,3,1,3,6,0,0,1,0,0,1,1,0,2,0,0,0
