,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2020년04월_여_0~9세,"32,441","2,141","4,234","4,326",761,519,"2,107",947,664,157,94,"2,746","1,581",409,89,"5,067","2,380","4,219"
2020년04월_여_10~19세,"37,603","3,702","5,554","5,439",582,998,"3,342","1,315",934,265,126,"3,296","2,438",591,101,"3,818","1,772","3,330"
2020년04월_여_20~29세,"40,049","3,795","4,950","5,646",702,"1,533","3,018","1,981","1,235",350,194,"2,589","2,000","1,158",216,"4,376","1,846","4,460"
2020년04월_여_30~39세,"46,385","3,214","5,517","6,224","1,062","1,126","2,861","1,671",922,357,198,"3,514","2,041",973,192,"7,020","3,312","6,181"
2020년04월_여_40~49세,"64,295","6,036","8,659","9,505","1,138","1,633","5,200","2,190","1,673",472,249,"5,637","3,715","1,119",194,"6,999","3,461","6,415"
2020년04월_여_50~59세,"56,192","5,504","7,189","7,992","1,052","2,493","4,306","3,035","1,710",830,360,"3,530","2,567","2,014",408,"5,143","2,532","5,527"
2020년04월_여_60~69세,"40,434","3,897","5,210","5,698",871,"1,793","2,865","2,111","1,345",908,415,"2,407","1,596","1,679",424,"3,526","1,704","3,985"
2020년04월_여_70~79세,"23,667","2,563","3,171","3,643",413,"1,079","1,931","1,170",943,552,231,"1,605",983,859,242,"1,735",748,"1,799"
2020년04월_여_80~89세,"11,105","1,143","1,479","1,554",206,592,897,581,409,305,129,626,498,565,129,809,338,845
2020년04월_여_90~99세,"1,911",202,201,247,46,96,147,79,68,93,33,128,72,92,19,152,59,177
2020년04월_여_100세 이상,150,20,13,21,0,13,5,5,15,3,0,5,5,9,8,10,10,8
