,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2020년04월_남_0~9세,"15,502",394,665,293,426,"1,111",251,515,789,818,364,942,"2,169",802,"1,469","1,115",623,490,289,905,"1,072"
2020년04월_남_10~19세,"19,669",670,"1,054",460,680,"1,459",520,510,924,"1,022",558,"1,202","2,376",763,"2,035","1,291",775,849,483,788,"1,250"
2020년04월_남_20~29세,"32,505","1,289","1,959","1,434","1,006","1,488","2,627","1,379","1,185","1,631","1,703","1,670","1,672","1,028","3,083","1,493","1,549","1,567",953,"1,161","2,628"
2020년04월_남_30~39세,"30,563","1,196","1,688","1,174","1,011","1,476","1,177","1,405","1,338","1,622","1,097","1,674","2,283","1,278","2,647","1,801","1,469","1,315",862,"1,419","2,631"
2020년04월_남_40~49세,"35,294","1,276","1,906",983,"1,084","2,205",904,"1,253","1,630","1,828","1,002","2,149","3,874","1,401","3,255","2,356","1,501","1,448","1,095","1,432","2,712"
2020년04월_남_50~59세,"34,423","1,301","1,878",918,"1,356","1,940","1,041","1,244","1,435","1,800","1,165","2,030","2,443","1,343","3,197","2,145","1,540","1,880","1,301","1,463","3,003"
2020년04월_남_60~69세,"25,285",952,"1,255",647,991,"1,260",698,867,"1,017","1,531",966,"1,615","1,457",993,"2,188","1,642","1,261","1,402","1,014","1,036","2,493"
2020년04월_남_70~79세,"14,609",607,781,465,553,613,436,461,609,847,631,966,900,478,"1,235",960,712,711,649,545,"1,450"
2020년04월_남_80~89세,"5,288",272,303,170,200,265,176,167,224,313,256,328,284,159,514,306,269,247,218,162,455
2020년04월_남_90~99세,513,36,26,20,25,30,12,13,21,32,28,37,24,16,66,20,22,24,17,11,33
2020년04월_남_100세 이상,92,7,8,5,5,3,4,5,1,2,2,3,7,5,14,6,1,4,2,2,6
2020년04월_여_총인구수,"228,431","9,031","12,659","8,964","8,324","12,952","7,641","8,360","9,775","12,102","7,857","13,487","19,219","8,824","20,331","14,004","10,439","10,399","7,015","8,992","18,056"
2020년04월_여_연령구간인구수,"228,431","9,031","12,659","8,964","8,324","12,952","7,641","8,360","9,775","12,102","7,857","13,487","19,219","8,824","20,331","14,004","10,439","10,399","7,015","8,992","18,056"
2020년04월_여_0~9세,"14,840",435,597,305,462,"1,050",240,501,708,764,352,878,"2,046",710,"1,394","1,106",577,515,308,892,"1,000"
2020년04월_여_10~19세,"19,041",586,994,585,765,"1,444",466,521,926,942,517,"1,069","2,509",668,"1,775","1,370",787,795,472,734,"1,116"
2020년04월_여_20~29세,"34,396","1,479","2,381","2,905","1,143","1,511","2,333","1,456","1,181","1,593","1,334","1,622","1,810","1,125","2,744","1,573","1,991","1,463",922,"1,151","2,679"
2020년04월_여_30~39세,"30,800","1,338","1,768","1,336","1,036","1,684",935,"1,341","1,411","1,520",853,"1,801","2,752","1,335","2,701","1,848","1,374","1,121",765,"1,477","2,404"
2020년04월_여_40~49세,"36,342","1,371","1,966","1,092","1,216","2,451",867,"1,238","1,707","1,875","1,023","2,189","4,146","1,600","3,337","2,375","1,453","1,529",936,"1,386","2,585"
2020년04월_여_50~59세,"35,520","1,451","1,869",978,"1,444","2,100","1,095","1,362","1,464","1,973","1,219","2,176","2,400","1,354","3,194","2,147","1,521","2,036","1,251","1,394","3,092"
2020년04월_여_60~69세,"28,422","1,074","1,424",808,"1,149","1,370",778,969,"1,166","1,764","1,194","1,917","1,760","1,074","2,429","1,832","1,342","1,510","1,146","1,080","2,636"
2020년04월_여_70~79세,"18,885",808,"1,070",631,709,837,597,613,786,"1,112",868,"1,230","1,170",637,"1,661","1,169",899,937,803,600,"1,748"
2020년04월_여_80~89세,"8,454",389,488,265,349,416,276,290,362,462,404,501,515,266,907,487,410,428,326,224,689
2020년04월_여_90~99세,"1,448",93,75,46,43,81,44,58,53,81,85,85,91,41,161,77,75,56,62,43,98
2020년04월_여_100세 이상,283,7,27,13,8,8,10,11,11,16,8,19,20,14,28,20,10,9,24,11,9
