,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2020년07월_여_10~19세,"37,727","3,659","5,560","5,411",679,984,"3,311","1,292",924,347,128,"3,283","2,461",572,101,"3,872","1,799","3,344"
2020년07월_여_20~29세,"40,384","3,767","4,897","5,667",740,"1,512","3,050","1,982","1,241",362,183,"2,638","2,109","1,138",215,"4,467","1,889","4,527"
2020년07월_여_30~39세,"46,092","3,178","5,407","6,130","1,071","1,120","2,799","1,629",902,348,206,"3,426","2,127",952,194,"7,012","3,345","6,246"
2020년07월_여_40~49세,"64,590","5,959","8,672","9,528","1,175","1,607","5,179","2,157","1,676",478,242,"5,604","3,801","1,100",196,"7,127","3,529","6,560"
2020년07월_여_50~59세,"56,516","5,469","7,133","8,031","1,090","2,482","4,371","3,029","1,699",823,356,"3,573","2,704","1,995",399,"5,170","2,587","5,605"
2020년07월_여_60~69세,"41,117","3,919","5,298","5,792",895,"1,828","2,881","2,135","1,367",924,420,"2,433","1,670","1,706",431,"3,566","1,759","4,093"
2020년07월_여_70~79세,"23,996","2,550","3,210","3,685",417,"1,091","1,979","1,191",961,572,231,"1,615","1,021",880,247,"1,764",763,"1,819"
2020년07월_여_80~89세,"11,263","1,148","1,501","1,562",207,592,912,581,412,309,131,642,523,557,134,839,345,868
2020년07월_여_90~99세,"1,955",209,212,256,47,101,150,74,75,99,32,124,81,91,17,154,60,173
2020년07월_여_100세 이상,151,20,11,22,0,12,5,5,15,3,0,5,5,11,8,10,10,9
