카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2020년06월_계_90~99세,"1,661",69,169,105,145,62,75,60,56,33,72,77,43,31,62,79,59,65,64,70,84,71,87,23
2020년06월_계_100세 이상,93,2,12,8,6,3,2,3,3,2,2,2,3,8,10,2,8,1,1,4,2,1,6,2
2020년06월_남_총인구수,"127,101","2,786","12,635","4,845","10,171","2,266","3,346","2,407","1,628","1,643","10,887","3,253","2,966","2,705","3,257","7,060","2,423","7,551","2,948","10,612","14,436","11,573","4,808",895
2020년06월_남_연령구간인구수,"127,101","2,786","12,635","4,845","10,171","2,266","3,346","2,407","1,628","1,643","10,887","3,253","2,966","2,705","3,257","7,060","2,423","7,551","2,948","10,612","14,436","11,573","4,808",895
2020년06월_남_0~9세,"8,490",89,666,192,540,124,154,54,28,36,"1,287",90,141,106,91,262,52,619,188,"1,347","1,359",684,350,31
2020년06월_남_10~19세,"11,161",116,"1,079",276,590,126,183,109,48,91,"1,263",184,179,184,192,470,102,942,186,"1,227","2,052","1,222",301,39
2020년06월_남_20~29세,"15,353",235,"1,444",475,"1,117",270,389,170,88,120,"1,274",302,296,329,357,"1,183",211,"1,085",308,"1,339","2,070","1,757",448,86
2020년06월_남_30~39세,"13,803",207,"1,017",418,"1,255",306,302,167,76,88,"1,556",251,344,293,333,787,188,796,262,"1,487","1,628","1,310",649,83
2020년06월_남_40~49세,"19,459",406,"1,805",622,"1,590",262,448,253,118,203,"1,907",446,403,383,449,"1,008",304,"1,281",423,"1,919","2,514","1,901",701,113
2020년06월_남_50~59세,"24,136",566,"2,681",931,"2,116",383,742,517,319,330,"1,756",711,590,478,626,"1,183",490,"1,399",552,"1,748","2,696","2,230",907,185
2020년06월_남_60~69세,"19,623",602,"2,133",996,"1,773",411,649,575,500,366,"1,133",676,527,475,637,"1,163",542,848,532,"1,052","1,455","1,573",812,193
2020년06월_남_70~79세,"10,708",382,"1,279",617,861,256,342,380,318,280,519,410,350,330,411,755,364,405,351,364,491,671,449,123
2020년06월_남_80~89세,"4,020",171,497,295,297,122,124,168,122,123,185,164,123,120,145,234,154,161,127,115,159,206,174,34
2020년06월_남_90~99세,326,12,32,22,29,5,13,13,10,5,6,19,13,4,14,14,13,15,19,14,12,18,17,7
2020년06월_남_100세 이상,22,0,2,1,3,1,0,1,1,1,1,0,0,3,2,1,3,0,0,0,0,1,0,1
2020년06월_여_총인구수,"126,657","2,785","12,740","4,732","9,065","2,087","2,951","2,390","1,655","1,632","11,133","3,154","2,742","2,721","3,484","7,170","2,505","7,493","3,013","10,951","14,849","11,568","4,926",911
2020년06월_여_연령구간인구수,"126,657","2,785","12,740","4,732","9,065","2,087","2,951","2,390","1,655","1,632","11,133","3,154","2,742","2,721","3,484","7,170","2,505","7,493","3,013","10,951","14,849","11,568","4,926",911
2020년06월_여_0~9세,"8,101",69,607,178,530,122,143,50,24,30,"1,191",109,130,106,110,214,48,605,179,"1,311","1,326",663,323,33
2020년06월_여_10~19세,"10,154",107,"1,062",226,519,72,158,108,47,48,"1,232",170,173,145,159,428,111,816,152,"1,202","1,757","1,130",277,55
2020년06월_여_20~29세,"11,760",151,"1,033",284,768,178,204,111,52,77,"1,091",219,241,255,302,904,152,851,199,"1,101","1,731","1,354",409,93
2020년06월_여_30~39세,"12,170",146,897,286,885,197,210,96,66,76,"1,599",168,259,250,252,558,133,766,279,"1,529","1,747","1,148",565,58
2020년06월_여_40~49세,"17,749",234,"1,655",450,"1,026",142,300,178,87,126,"1,952",320,298,286,346,835,225,"1,344",351,"1,985","2,954","1,962",594,99
2020년06월_여_50~59세,"22,708",467,"2,456",823,"1,785",268,577,403,303,262,"1,784",575,484,451,592,"1,288",392,"1,365",487,"1,916","2,733","2,297",850,150
2020년06월_여_60~69세,"20,281",646,"2,195","1,033","1,652",396,630,539,440,384,"1,158",639,489,576,804,"1,497",542,859,603,"1,016","1,429","1,693",871,190
2020년06월_여_70~79세,"13,563",565,"1,613",823,"1,003",347,405,450,347,368,628,485,384,405,586,984,496,522,425,518,661,838,573,137
2020년06월_여_80~89세,"8,765",341,"1,075",539,778,306,260,406,241,232,431,409,251,215,277,396,355,314,292,313,437,430,388,79
2020년06월_여_90~99세,"1,335",57,137,83,116,57,62,47,46,28,66,58,30,27,48,65,46,50,45,56,72,53,70,16
2020년06월_여_100세 이상,71,2,10,7,3,2,2,2,2,1,1,2,3,5,8,1,5,1,1,4,2,0,6,1
