카테고리,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2021년01월_남_20~29세,"41,999","1,489","1,081",651,"2,109","1,203","1,316","2,676","2,568","2,263","1,388","3,688","1,417","2,332",990,"4,860","2,905","1,866",694,"2,728","1,515","1,315",945
2021년01월_남_30~39세,"34,412","1,432",987,492,"1,912",986,"1,174","1,782","1,792","1,342","1,199","2,168","1,595","2,017",704,"5,503","2,002","1,593",609,"2,008","1,241","1,059",815
2021년01월_남_40~49세,"43,170","1,861","1,001",593,"2,015",975,"1,335","2,416","2,148","1,720","1,167","2,342","2,021","4,901","1,177","6,705","2,839","1,291",650,"2,392","1,412","1,209","1,000"
2021년01월_남_50~59세,"50,036","2,105","1,293",723,"2,457","1,315","1,612","3,348","3,175","2,615","1,637","3,262","1,853","3,272","1,531","5,658","3,414","1,744","1,019","3,336","1,833","1,595","1,239"
2021년01월_남_60~69세,"35,603","1,818","1,167",650,"1,775","1,041","1,094","1,770","1,771","1,324","1,347","1,899","1,240","1,365","1,443","3,912","2,489","1,437","1,216","2,765","1,517","1,554","1,009"
2021년01월_남_70~79세,"15,330",942,662,379,747,415,466,732,608,480,416,802,507,570,786,"1,640",962,545,610,"1,017",817,771,456
2021년01월_남_80~89세,"5,050",289,228,158,209,134,124,231,223,163,126,259,147,187,289,504,356,173,171,358,274,310,137
2021년01월_남_90~99세,377,11,9,11,14,11,8,11,15,9,11,21,7,16,24,44,31,15,20,29,16,24,20
2021년01월_남_100세 이상,19,1,1,0,2,1,1,0,0,0,0,0,3,1,1,6,0,0,0,0,0,2,0
2021년01월_여_총인구수,"282,493","12,367","7,557","4,396","14,089","7,056","8,924","15,781","14,612","11,761","8,278","15,494","11,117","22,332","8,563","39,105","20,031","10,197","5,945","18,696","9,993","9,610","6,589"
2021년01월_여_연령구간인구수,"282,493","12,367","7,557","4,396","14,089","7,056","8,924","15,781","14,612","11,761","8,278","15,494","11,117","22,332","8,563","39,105","20,031","10,197","5,945","18,696","9,993","9,610","6,589"
2021년01월_여_0~9세,"19,487",846,286,180,"1,056",324,642,975,872,644,412,666,"1,106","2,496",267,"4,337","1,483",539,177,"1,097",395,371,316
2021년01월_여_10~19세,"26,451","1,084",352,278,"1,115",453,801,"1,657","1,389","1,214",660,"1,176","1,140","4,102",558,"3,988","2,153",675,264,"1,725",616,605,446
2021년01월_여_20~29세,"36,913","1,426","1,272",623,"2,107","1,123","1,187","2,351","2,134","1,883","1,175","3,118","1,209","1,923",783,"4,322","2,402","1,657",536,"2,339","1,396","1,204",743
2021년01월_여_30~39세,"31,753","1,386",905,466,"1,835",741,"1,087","1,601","1,545","1,177",941,"1,485","1,555","2,531",586,"5,819","2,047","1,245",452,"1,825","1,017",861,646
2021년01월_여_40~49세,"45,905","1,732",822,538,"2,085",988,"1,426","2,826","2,436","2,010","1,201","2,200","2,011","5,808","1,097","7,002","3,544","1,347",595,"2,809","1,323","1,171",934
2021년01월_여_50~59세,"53,405","2,115","1,273",791,"2,710","1,480","1,777","3,337","3,367","2,667","1,878","3,168","1,918","2,762","1,546","6,291","3,873","2,085","1,223","3,982","1,987","1,831","1,344"
2021년01월_여_60~69세,"38,275","2,032","1,332",742,"1,933","1,137","1,158","1,793","1,647","1,199","1,271","1,903","1,355","1,564","1,701","4,271","2,603","1,541","1,416","2,890","1,778","1,860","1,149"
2021년01월_여_70~79세,"19,093","1,137",866,496,837,530,569,799,777,598,487,"1,074",538,726,"1,268","1,973","1,168",684,747,"1,224",930,"1,052",613
2021년01월_여_80~89세,"9,763",527,395,250,354,249,243,395,394,327,224,618,243,359,679,956,644,361,462,704,475,559,345
2021년01월_여_90~99세,"1,377",74,49,27,57,30,32,45,49,41,29,85,40,54,73,135,109,60,72,100,73,90,53
2021년01월_여_100세 이상,71,8,5,5,0,1,2,2,2,1,0,1,2,7,5,11,5,3,1,1,3,6,0
