카테고리,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2021년04월_남_0~9세,"25,144","2,337","1,169","2,009","3,462","2,401","1,724",160,216,605,337,333,"1,377",323,705,331,376,"1,378",947,"1,296","1,443","1,147","1,068"
2021년04월_남_10~19세,"28,798","2,328","1,787","2,203","3,283","1,990","1,108",199,385,816,489,582,"1,464",455,960,642,428,"1,745","1,437","1,819","1,690","1,380","1,608"
2021년04월_남_20~29세,"37,298","3,280","3,532","1,907","2,842","1,675","1,737",584,812,"1,729",969,"1,142","2,170",934,"1,512","1,256",664,"2,494","1,530","1,449","1,900","1,614","1,566"
2021년04월_남_30~39세,"39,950","4,198","2,639","2,832","3,772","2,612","2,389",502,675,"1,672",858,873,"2,237",912,"1,277","1,005",855,"2,514","1,285","1,565","2,223","1,664","1,391"
2021년04월_남_40~49세,"48,508","4,422","3,151","3,185","5,009","3,176","2,423",464,659,"1,750","1,022","1,061","2,537","1,039","1,421","1,167",849,"3,015","2,234","2,770","2,704","2,295","2,155"
2021년04월_남_50~59세,"47,297","3,474","4,347","2,142","3,359","1,981","2,275",804,"1,054","2,339","1,377","1,449","2,925","1,373","1,860","1,675","1,003","3,055","2,147","2,092","2,342","2,281","1,943"
2021년04월_남_60~69세,"30,846","2,079","2,880",997,"1,831","1,107","1,717",565,806,"1,824","1,218","1,089","2,254",986,"1,476","1,486",933,"1,882","1,109",861,"1,141","1,573","1,032"
2021년04월_남_70~79세,"11,366",810,980,286,545,278,621,142,216,720,506,424,790,385,505,627,328,737,582,437,403,586,458
2021년04월_남_80~89세,"3,445",222,398,103,151,55,156,32,74,158,132,116,184,118,150,202,87,212,247,154,172,176,146
2021년04월_남_90~99세,332,19,46,4,14,7,15,5,4,21,15,7,13,11,19,23,14,14,18,13,20,17,13
2021년04월_남_100세 이상,23,2,4,0,0,1,1,3,3,2,0,0,0,2,1,0,0,1,1,0,1,1,0
2021년04월_여_총인구수,"267,525","22,449","20,152","15,787","24,531","15,528","14,063","3,138","4,892","10,968","6,349","6,953","15,969","5,717","10,382","8,133","5,190","15,902","11,184","12,141","14,147","12,251","11,699"
2021년04월_여_연령구간인구수,"267,525","22,449","20,152","15,787","24,531","15,528","14,063","3,138","4,892","10,968","6,349","6,953","15,969","5,717","10,382","8,133","5,190","15,902","11,184","12,141","14,147","12,251","11,699"
2021년04월_여_0~9세,"23,447","2,146","1,149","1,790","3,149","2,302","1,527",167,230,574,325,248,"1,326",294,645,320,392,"1,245",903,"1,169","1,419","1,133",994
2021년04월_여_10~19세,"27,467","2,105","1,669","2,199","3,122","1,921","1,037",197,356,742,424,625,"1,508",421,942,586,360,"1,686","1,354","1,721","1,584","1,283","1,625"
2021년04월_여_20~29세,"34,529","3,140","2,964","2,029","2,810","1,671","1,703",451,758,"1,459",746,991,"2,030",791,"1,374","1,113",639,"2,197","1,307","1,330","1,916","1,527","1,583"
2021년04월_여_30~39세,"38,187","3,988","2,272","2,846","4,270","2,965","2,416",416,525,"1,284",672,654,"2,163",651,"1,239",796,767,"2,073","1,222","1,669","2,231","1,621","1,447"
2021년04월_여_40~49세,"46,542","4,059","3,004","3,320","5,106","3,135","2,159",354,638,"1,436",853,988,"2,417",800,"1,591","1,086",736,"2,802","2,213","2,775","2,737","2,120","2,213"
2021년04월_여_50~59세,"45,982","3,467","4,279","1,993","3,331","2,012","2,331",782,"1,180","2,329","1,308","1,481","3,004","1,147","2,089","1,687",941,"2,772","1,853","1,661","2,255","2,141","1,939"
2021년04월_여_60~69세,"29,699","2,096","2,625",975,"1,771","1,007","1,722",488,717,"1,835","1,148","1,101","2,216",875,"1,503","1,435",789,"1,757","1,164",961,"1,163","1,319","1,032"
2021년04월_여_70~79세,"13,195",936,"1,276",390,600,311,713,146,281,801,552,523,830,474,571,653,317,848,740,539,531,638,525
2021년04월_여_80~89세,"7,036",423,751,206,298,162,368,103,179,430,267,292,384,233,354,378,206,445,383,259,263,370,282
2021년04월_여_90~99세,"1,390",87,155,37,69,42,85,31,28,76,53,48,87,30,72,76,41,73,43,54,48,96,59
2021년04월_여_100세 이상,51,2,8,2,5,0,2,3,0,2,1,2,4,1,2,3,2,4,2,3,0,3,0
