카테고리,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 용지동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2021년08월_계_80~89세,"27,470","5,183",861,915,514,945,342,860,746,"3,696",619,519,463,353,710,530,268,234,"7,355",342,479,311,523,297,46,850,549,693,453,467,596,946,382,421,"5,706","1,501",612,367,580,384,355,628,301,269,323,266,120,"5,530",718,675,366,383,327,298,325,451,320,484,362,262,559
2021년08월_계_90~99세,"3,649",732,107,144,81,132,43,110,115,556,87,81,76,62,93,74,44,39,"1,055",68,85,62,92,37,6,125,84,75,52,43,86,127,48,65,616,143,65,56,55,37,40,86,36,19,38,27,14,690,98,76,46,37,41,46,44,52,29,56,37,44,84
2021년08월_계_100세 이상,88,22,2,5,2,3,2,5,3,11,3,1,1,4,1,1,0,0,21,1,1,1,2,0,0,2,0,5,1,1,3,1,2,1,20,2,7,0,1,4,0,0,2,1,0,1,2,14,4,1,1,0,1,2,1,1,1,1,1,0,0
2021년08월_남_총인구수,"523,919","111,226","10,079","21,901","3,618","25,581","13,231","21,135","15,681","129,076","20,841","14,867","18,617","14,009","22,344","20,598","13,735","4,065","89,940","2,177","6,255","1,825","1,942","6,994",537,"20,891","5,468","7,050","4,367","5,109","7,971","9,605","3,664","6,085","94,123","32,069","5,078","4,949","8,470","3,098","5,549","15,456","4,729","3,745","4,457","4,700","1,823","99,554","8,776","4,183","2,435","5,639","3,691","8,973","4,564","10,650","4,997","12,936","6,607","3,265","22,838"
2021년08월_남_연령구간인구수,"523,919","111,226","10,079","21,901","3,618","25,581","13,231","21,135","15,681","129,076","20,841","14,867","18,617","14,009","22,344","20,598","13,735","4,065","89,940","2,177","6,255","1,825","1,942","6,994",537,"20,891","5,468","7,050","4,367","5,109","7,971","9,605","3,664","6,085","94,123","32,069","5,078","4,949","8,470","3,098","5,549","15,456","4,729","3,745","4,457","4,700","1,823","99,554","8,776","4,183","2,435","5,639","3,691","8,973","4,564","10,650","4,997","12,936","6,607","3,265","22,838"
2021년08월_남_0~9세,"41,534","8,896",532,"3,262",131,"2,079","1,016","1,158",718,"9,634","1,581","1,086","1,155","1,012","1,667","1,803","1,113",217,"6,878",59,561,32,22,"1,077",29,"2,306",240,441,186,243,628,497,199,358,"6,420","2,426",196,341,559,79,286,"1,551",337,128,188,252,77,"9,706",713,175,92,537,272,722,185,"1,173",538,"1,784",956,249,"2,310"
2021년08월_남_10~19세,"51,406","10,205",978,"2,007",209,"2,396","1,450","2,032","1,133","13,690","2,749","1,408","1,327","1,724","2,439","2,041","1,611",391,"7,302",76,526,78,76,615,22,"2,088",322,686,335,475,690,623,235,455,"9,293","4,144",318,410,649,168,442,"1,796",283,241,327,396,119,"10,916",909,335,153,526,411,"1,265",290,"1,157",623,"1,669",490,344,"2,744"
2021년08월_남_20~29세,"71,156","15,838","1,310","2,040",353,"3,780","2,111","3,500","2,744","21,061","3,056","2,508","3,505","2,295","3,485","3,356","2,251",605,"10,566",192,591,142,145,600,75,"2,835",959,843,569,645,830,"1,029",383,728,"11,878","4,492",520,573,949,314,748,"1,824",604,492,528,634,200,"11,813","1,330",491,268,634,422,"1,246",655,"1,220",667,"1,255",664,354,"2,607"
2021년08월_남_30~39세,"69,562","15,135",966,"3,710",400,"3,672","1,930","2,273","2,184","18,460","2,265","2,116","3,464","1,801","3,261","3,221","1,801",531,"11,341",178,730,125,97,"1,119",62,"3,213",579,773,444,497,"1,054","1,199",493,778,"10,913","3,174",523,690,"1,224",309,684,"1,918",687,429,477,566,232,"13,713","1,188",381,201,778,415,"1,102",597,"1,575",635,"1,764","1,218",374,"3,485"
2021년08월_남_40~49세,"84,990","17,463","1,594","4,003",453,"4,039","2,119","3,095","2,160","19,700","3,397","2,178","2,814","2,129","3,493","3,064","1,982",643,"14,071",259,"1,083",192,166,"1,342",64,"3,299",746,"1,114",618,710,"1,290","1,620",592,976,"15,020","5,393",750,726,"1,293",404,815,"2,728",710,558,625,711,307,"18,736","1,530",587,337,880,629,"1,648",765,"1,905",846,"2,593","1,153",558,"5,305"
2021년08월_남_50~59세,"91,479","20,197","1,964","2,957",660,"4,650","2,518","4,446","3,002","24,747","4,055","2,855","3,413","2,779","4,123","3,882","2,936",704,"14,681",379,"1,056",376,402,936,89,"3,152",901,"1,168",802,882,"1,260","1,624",612,"1,042","16,765","6,266",863,772,"1,379",576,927,"2,448",790,691,886,812,355,"15,089","1,220",704,440,874,563,"1,449",763,"1,658",701,"1,671",920,573,"3,553"
2021년08월_남_60~69세,"73,968","15,946","1,677","2,702",857,"3,404","1,538","3,186","2,582","16,324","2,701","1,920","2,153","1,790","2,974","2,515","1,644",627,"14,855",588,"1,023",504,540,829,119,"2,580",974,"1,138",850,982,"1,312","1,723",664,"1,029","14,799","4,107","1,039",868,"1,430",727,"1,008","2,094",806,702,870,815,333,"12,044",996,706,498,856,556,"1,053",801,"1,351",602,"1,487",779,503,"1,856"
2021년08월_남_70~79세,"29,891","5,750",780,933,396,"1,230",418,"1,100",893,"4,272",824,619,613,357,709,565,328,257,"7,563",336,515,273,326,369,63,"1,117",543,643,398,509,681,920,333,537,"6,863","1,571",619,439,756,355,504,829,400,407,423,404,156,"5,443",596,518,302,417,305,362,389,465,282,514,295,235,763
2021년08월_남_80~89세,"9,254","1,662",269,265,143,304,124,315,242,"1,093",202,162,158,108,179,139,64,81,"2,482",100,156,95,154,99,10,283,190,226,153,159,206,343,141,167,"2,059",479,238,120,219,152,130,252,106,93,124,105,41,"1,958",270,270,133,129,114,114,115,134,97,192,121,69,200
2021년08월_남_90~99세,664,130,9,21,15,27,7,29,22,92,11,14,15,13,14,11,5,9,199,10,14,8,14,8,4,18,14,18,12,7,18,27,12,15,111,17,12,10,12,13,5,16,5,4,9,5,3,132,22,16,11,8,3,12,4,12,6,7,10,6,15
2021년08월_남_100세 이상,15,4,0,1,1,0,0,1,1,3,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,1,0,0
2021년08월_여_총인구수,"510,231","107,196","9,695","21,544","3,527","24,966","12,663","20,374","14,427","123,920","20,479","14,752","15,909","13,827","22,605","19,994","12,651","3,703","90,855","2,032","5,919","1,586","1,958","7,117",477,"21,109","5,610","7,485","4,652","5,286","8,087","9,803","3,551","6,183","93,818","31,712","5,168","5,095","8,512","3,002","5,505","15,856","4,579","3,754","4,451","4,732","1,452","94,442","8,171","4,288","2,383","5,495","3,798","8,528","4,035","10,692","5,142","12,886","6,378","3,121","19,525"
2021년08월_여_연령구간인구수,"510,231","107,196","9,695","21,544","3,527","24,966","12,663","20,374","14,427","123,920","20,479","14,752","15,909","13,827","22,605","19,994","12,651","3,703","90,855","2,032","5,919","1,586","1,958","7,117",477,"21,109","5,610","7,485","4,652","5,286","8,087","9,803","3,551","6,183","93,818","31,712","5,168","5,095","8,512","3,002","5,505","15,856","4,579","3,754","4,451","4,732","1,452","94,442","8,171","4,288","2,383","5,495","3,798","8,528","4,035","10,692","5,142","12,886","6,378","3,121","19,525"
2021년08월_여_0~9세,"38,959","8,516",540,"3,056",113,"2,083",944,"1,081",699,"9,104","1,532",949,"1,038",974,"1,610","1,764","1,017",220,"6,424",45,491,27,25,"1,006",25,"2,211",233,377,189,189,582,489,194,341,"6,056","2,309",165,309,540,70,242,"1,491",308,124,200,233,65,"8,859",683,132,75,451,257,697,156,"1,130",490,"1,540",849,223,"2,176"
2021년08월_여_10~19세,"46,911","9,146",807,"1,936",166,"2,195","1,229","1,799","1,014","12,238","2,427","1,242","1,183","1,552","2,234","1,881","1,378",341,"6,841",74,504,55,59,630,20,"1,932",351,660,365,363,630,526,191,481,"8,473","3,759",287,367,594,147,389,"1,651",281,206,310,388,94,"10,213",902,287,127,465,357,"1,161",237,"1,095",570,"1,627",502,331,"2,552"
2021년08월_여_20~29세,"56,135","12,628",911,"1,683",265,"3,068","1,779","2,822","2,100","16,548","2,361","2,066","2,717","1,770","2,873","2,604","1,769",388,"8,549",93,478,101,73,566,57,"2,219",747,681,498,497,705,935,289,610,"9,564","3,550",387,536,829,222,562,"1,446",496,425,395,608,108,"8,846",803,321,189,488,352,933,421,"1,032",504,993,597,255,"1,958"
2021년08월_여_30~39세,"61,695","13,453",801,"3,935",247,"3,230","1,737","1,969","1,534","16,074","2,231","1,875","2,565","1,621","2,966","2,915","1,536",365,"10,071",91,624,73,70,"1,189",54,"3,094",482,674,355,386,938,"1,025",358,658,"9,755","3,108",354,629,"1,043",218,576,"1,981",560,302,366,470,148,"12,342",934,285,152,668,369,994,378,"1,529",611,"1,935","1,200",322,"2,965"
2021년08월_여_40~49세,"81,826","16,640","1,486","3,492",316,"3,984","2,259","3,116","1,987","21,284","3,838","2,406","2,435","2,538","3,972","3,289","2,222",584,"12,583",126,890,106,113,"1,186",55,"3,352",634,"1,082",574,695,"1,155","1,326",453,836,"14,442","5,818",602,633,"1,061",296,738,"2,837",589,482,546,641,199,"16,877","1,368",543,248,833,598,"1,767",529,"1,857",870,"2,532",999,515,"4,218"
2021년08월_여_50~59세,"92,751","20,803","1,899","3,175",638,"4,948","2,537","4,625","2,981","26,443","4,209","3,196","3,163","3,145","4,879","4,247","2,910",694,"14,751",343,895,300,295,966,67,"3,422",929,"1,260",871,993,"1,239","1,577",581,"1,013","16,945","6,149",842,815,"1,436",541,966,"2,729",821,666,852,856,272,"13,809",982,671,379,901,603,"1,333",733,"1,769",717,"1,797",863,499,"2,562"
2021년08월_여_60~69세,"75,615","15,561","1,659","2,517",822,"3,448","1,435","3,125","2,555","14,604","2,522","1,915","1,887","1,524","2,616","2,203","1,284",653,"16,587",581,"1,086",388,470,941,107,"2,919","1,131","1,358",956,"1,163","1,465","2,015",762,"1,245","16,164","3,960","1,271",959,"1,662",757,"1,197","2,309",846,900,"1,062",935,306,"12,699","1,149",868,535,941,644,"1,016",888,"1,352",732,"1,519",746,491,"1,818"
2021년08월_여_70~79세,"35,065","6,308",900,973,522,"1,261",487,"1,207",958,"4,550",863,679,554,406,844,637,292,275,"9,301",378,556,265,404,406,54,"1,284",674,864,503,655,914,"1,206",444,694,"8,249","1,909",826,554,942,492,575,966,451,457,492,417,168,"6,657",824,715,409,465,367,407,442,570,401,601,354,254,848
2021년08월_여_80~89세,"18,216","3,521",592,650,371,641,218,545,504,"2,603",417,357,305,245,531,391,204,153,"4,873",242,323,216,369,198,36,567,359,467,300,308,390,603,241,254,"3,647","1,022",374,247,361,232,225,376,195,176,199,161,79,"3,572",448,405,233,254,213,184,210,317,223,292,241,193,359
2021년08월_여_90~99세,"2,985",602,98,123,66,105,36,81,93,464,76,67,61,49,79,63,39,30,856,58,71,54,78,29,2,107,70,57,40,36,68,100,36,50,505,126,53,46,43,24,35,70,31,15,29,22,11,558,76,60,35,29,38,34,40,40,23,49,27,38,69
2021년08월_여_100세 이상,73,18,2,4,1,3,2,4,2,8,3,0,1,3,1,0,0,0,19,1,1,1,2,0,0,2,0,5,1,1,1,1,2,1,18,2,7,0,1,3,0,0,1,1,0,1,2,10,2,1,1,0,0,2,1,1,1,1,0,0,0
