카테고리,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2021년02월_계_80~89세,"10,378",632,"1,139",297,440,220,526,135,240,578,400,416,568,345,493,564,287,663,630,405,431,538,431
2021년02월_계_90~99세,"1,703",107,195,42,79,49,98,33,30,97,69,52,98,44,95,99,58,92,58,63,66,104,75
2021년02월_계_100세 이상,117,4,16,2,5,1,7,6,4,10,5,3,7,3,3,7,6,13,6,4,2,3,0
2021년02월_남_총인구수,"273,369","23,243","21,021","15,646","24,315","15,093","14,188","3,468","4,913","11,682","6,925","7,138","16,057","6,541","9,929","8,403","5,600","17,085","11,562","12,471","14,112","12,563","11,414"
2021년02월_남_연령구간인구수,"273,369","23,243","21,021","15,646","24,315","15,093","14,188","3,468","4,913","11,682","6,925","7,138","16,057","6,541","9,929","8,403","5,600","17,085","11,562","12,471","14,112","12,563","11,414"
2021년02월_남_0~9세,"25,443","2,372","1,191","2,015","3,504","2,398","1,737",160,224,632,342,340,"1,387",332,719,335,378,"1,403",976,"1,319","1,459","1,130","1,090"
2021년02월_남_10~19세,"28,936","2,342","1,812","2,221","3,284","1,964","1,102",208,391,815,484,597,"1,465",455,961,661,431,"1,765","1,442","1,815","1,730","1,368","1,623"
2021년02월_남_20~29세,"37,410","3,295","3,554","1,889","2,869","1,639","1,742",577,808,"1,745",965,"1,158","2,227",942,"1,536","1,246",688,"2,485","1,532","1,429","1,907","1,608","1,569"
2021년02월_남_30~39세,"40,125","4,224","2,630","2,843","3,788","2,599","2,414",502,673,"1,672",855,871,"2,263",920,"1,275","1,008",868,"2,530","1,292","1,602","2,258","1,647","1,391"
2021년02월_남_40~49세,"48,618","4,429","3,180","3,210","5,035","3,113","2,422",458,664,"1,757","1,026","1,073","2,548","1,043","1,440","1,167",859,"3,027","2,249","2,782","2,721","2,243","2,172"
2021년02월_남_50~59세,"47,435","3,482","4,381","2,100","3,356","1,978","2,298",827,"1,066","2,369","1,401","1,466","2,964","1,364","1,870","1,681","1,032","3,049","2,133","2,063","2,343","2,269","1,943"
2021년02월_남_60~69세,"30,289","2,046","2,819",985,"1,782","1,071","1,676",554,793,"1,793","1,208","1,080","2,230",968,"1,457","1,462",912,"1,855","1,093",855,"1,110","1,524","1,016"
2021년02월_남_70~79세,"11,337",813,996,282,531,268,625,144,217,716,499,430,777,390,502,624,326,740,580,438,397,586,456
2021년02월_남_80~89세,"3,411",218,406,98,154,55,154,31,71,159,131,118,181,112,146,195,89,211,246,154,166,175,141
2021년02월_남_90~99세,328,20,45,3,12,7,16,4,4,20,14,5,14,13,22,23,15,16,17,13,20,12,13
2021년02월_남_100세 이상,37,2,7,0,0,1,2,3,2,4,0,0,1,2,1,1,2,4,2,1,1,1,0
2021년02월_여_총인구수,"267,795","22,474","20,225","15,789","24,573","15,377","14,111","3,116","4,884","11,010","6,387","7,003","16,045","5,709","10,445","8,097","5,253","15,929","11,200","12,156","14,168","12,090","11,754"
2021년02월_여_연령구간인구수,"267,795","22,474","20,225","15,789","24,573","15,377","14,111","3,116","4,884","11,010","6,387","7,003","16,045","5,709","10,445","8,097","5,253","15,929","11,200","12,156","14,168","12,090","11,754"
2021년02월_여_0~9세,"23,708","2,168","1,173","1,806","3,220","2,297","1,545",167,226,586,330,252,"1,354",288,666,323,396,"1,241",903,"1,183","1,449","1,120","1,015"
2021년02월_여_10~19세,"27,488","2,112","1,696","2,218","3,085","1,905","1,019",192,354,742,430,631,"1,511",421,958,583,371,"1,682","1,368","1,710","1,581","1,288","1,631"
2021년02월_여_20~29세,"34,674","3,147","2,996","2,019","2,842","1,624","1,712",436,761,"1,482",756,"1,007","2,064",784,"1,394","1,112",659,"2,216","1,315","1,338","1,914","1,507","1,589"
2021년02월_여_30~39세,"38,481","4,012","2,278","2,853","4,318","2,995","2,452",408,530,"1,282",687,663,"2,188",664,"1,244",800,763,"2,111","1,229","1,691","2,251","1,597","1,465"
2021년02월_여_40~49세,"46,629","4,083","3,043","3,328","5,098","3,071","2,149",359,649,"1,442",856,998,"2,414",801,"1,600","1,089",764,"2,815","2,215","2,797","2,755","2,079","2,224"
2021년02월_여_50~59세,"46,044","3,450","4,297","1,986","3,311","1,992","2,362",791,"1,181","2,365","1,344","1,491","3,036","1,152","2,110","1,677",950,"2,751","1,847","1,632","2,236","2,142","1,941"
2021년02월_여_60~69세,"29,168","2,065","2,571",952,"1,743",976,"1,698",476,703,"1,803","1,112","1,088","2,176",865,"1,479","1,407",782,"1,729","1,158",961,"1,140","1,271","1,013"
2021년02월_여_70~79세,"13,181",934,"1,279",387,598,310,715,151,283,806,543,525,825,469,572,655,323,847,736,540,530,629,524
2021년02월_여_80~89세,"6,967",414,733,199,286,165,372,104,169,419,269,298,387,233,347,369,198,452,384,251,265,363,290
2021년02월_여_90~99세,"1,375",87,150,39,67,42,82,29,26,77,55,47,84,31,73,76,43,76,41,50,46,92,62
2021년02월_여_100세 이상,80,2,9,2,5,0,5,3,2,6,5,3,6,1,2,6,4,9,4,3,1,2,0
