,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2020년05월_남_90~99세,475,32,23,38,38,39,9,24,13,19,30,32,28,24,31,17,39,15,24
2020년05월_남_100세 이상,55,1,1,5,6,9,2,4,8,1,2,0,6,1,0,2,1,4,2
2020년05월_여_총인구수,"224,076","10,983","9,831","15,834","16,303","18,061","6,330","16,921","8,443","10,980","10,320","11,408","9,318","10,905","11,331","12,853","23,535","11,302","9,418"
2020년05월_여_연령구간인구수,"224,076","10,983","9,831","15,834","16,303","18,061","6,330","16,921","8,443","10,980","10,320","11,408","9,318","10,905","11,331","12,853","23,535","11,302","9,418"
2020년05월_여_0~9세,"16,957",748,761,823,"1,495","1,252",297,"1,593",897,904,834,761,603,595,671,836,"2,129",681,"1,077"
2020년05월_여_10~19세,"22,313",954,791,"1,160","1,999","1,955",954,"1,735","1,387","1,397","1,041","1,514",638,808,"1,007","1,422","2,104",829,618
2020년05월_여_20~29세,"29,187","1,448","1,511","2,740","1,883","2,418",765,"2,366",700,"1,154","1,231","1,421","1,348","1,539","1,408","1,835","2,774","1,689",957
2020년05월_여_30~39세,"35,457","2,040","2,075","2,631","2,251","2,780",511,"3,168",994,"1,457","1,583","1,386","1,710","1,713","1,595","2,043","3,730","2,218","1,572"
2020년05월_여_40~49세,"41,389","1,996","1,735","2,595","3,407","3,574","1,380","3,301","2,037","2,387","1,969","2,250","1,551","1,656","1,813","2,382","4,016","1,888","1,452"
2020년05월_여_50~59세,"32,208","1,507","1,243","2,409","2,249","2,821","1,009","1,978",971,"1,563","1,468","1,729","1,327","1,783","1,940","1,816","3,319","1,705","1,371"
2020년05월_여_60~69세,"25,352","1,262",958,"1,887","1,615","1,792",668,"1,556",708,"1,114","1,241","1,172","1,145","1,577","1,671","1,253","3,108","1,343","1,282"
2020년05월_여_70~79세,"14,286",676,537,"1,090",952,932,541,848,509,662,643,742,687,863,806,871,"1,540",672,715
2020년05월_여_80~89세,"5,450",288,156,401,353,419,169,293,171,268,242,355,248,293,337,315,633,205,304
2020년05월_여_90~99세,"1,315",62,48,86,89,106,27,68,52,61,65,72,54,67,79,70,178,69,62
2020년05월_여_100세 이상,162,2,16,12,10,12,9,15,17,13,3,6,7,11,4,10,4,3,8
