카테고리,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2020년02월_계_90~99세,437,46,3,67,1,1,14,1,17,22,48,26,2,38,0,3,0,5,13,9,19,54,4,15,29
2020년02월_계_100세 이상,17,1,0,4,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,3,2,1,0,0,0
2020년02월_남_총인구수,"21,313","2,277",135,"3,202",137,129,837,195,"1,719","1,196","1,900","1,343",125,"1,340",299,127,301,196,964,871,849,"1,444",161,504,"1,062"
2020년02월_남_연령구간인구수,"21,313","2,277",135,"3,202",137,129,837,195,"1,719","1,196","1,900","1,343",125,"1,340",299,127,301,196,964,871,849,"1,444",161,504,"1,062"
2020년02월_남_0~9세,895,89,2,135,4,8,30,2,98,52,79,67,6,37,6,5,15,8,38,33,43,63,5,9,61
2020년02월_남_10~19세,"1,107",116,4,146,3,4,33,11,120,53,108,110,3,74,12,9,22,11,62,55,31,55,6,18,41
2020년02월_남_20~29세,"1,840",200,9,318,7,6,80,7,156,84,113,116,5,145,54,8,28,17,76,75,58,129,11,51,87
2020년02월_남_30~39세,"1,883",177,7,302,16,12,75,19,146,94,163,122,5,136,40,9,45,17,64,89,76,119,23,41,86
2020년02월_남_40~49세,"3,045",326,19,442,18,16,134,31,274,138,266,171,26,228,60,26,62,35,146,150,119,156,20,59,123
2020년02월_남_50~59세,"4,394",476,36,642,32,22,191,47,365,250,415,238,36,294,61,30,64,44,204,185,155,290,26,77,214
2020년02월_남_60~69세,"4,093",461,34,663,32,25,124,36,294,236,362,238,26,219,40,25,41,39,183,158,166,309,37,122,223
2020년02월_남_70~79세,"2,869",308,13,376,21,28,119,34,211,196,295,204,15,141,19,11,17,22,138,93,136,213,26,89,144
2020년02월_남_80~89세,"1,098",118,11,163,3,7,49,8,52,88,92,73,3,62,7,3,7,3,50,29,61,96,5,35,73
2020년02월_남_90~99세,84,6,0,14,1,1,2,0,3,5,7,4,0,3,0,1,0,0,3,3,3,13,2,3,10
2020년02월_남_100세 이상,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2020년02월_여_총인구수,"18,809","2,089",120,"2,752",117,96,724,141,"1,524","1,084","1,733","1,294",98,"1,069",159,99,233,138,844,732,776,"1,331",132,508,"1,016"
2020년02월_여_연령구간인구수,"18,809","2,089",120,"2,752",117,96,724,141,"1,524","1,084","1,733","1,294",98,"1,069",159,99,233,138,844,732,776,"1,331",132,508,"1,016"
2020년02월_여_0~9세,817,75,3,113,4,1,27,3,92,40,70,66,3,42,6,5,16,7,44,44,36,60,4,12,44
2020년02월_여_10~19세,"1,030",126,4,159,1,2,30,4,110,49,118,112,3,49,9,6,11,9,47,49,35,46,2,15,34
2020년02월_여_20~29세,"1,268",125,6,232,4,3,50,12,96,68,111,84,3,90,20,6,25,11,53,64,40,88,7,14,56
2020년02월_여_30~39세,"1,134",114,6,187,7,4,35,5,92,47,94,75,7,74,9,5,23,10,61,57,52,77,11,26,56
2020년02월_여_40~49세,"1,512",170,6,231,4,5,60,8,149,73,160,113,7,98,20,6,28,11,66,65,46,77,12,31,66
2020년02월_여_50~59세,"2,933",328,20,506,17,14,104,25,240,189,247,168,25,166,29,16,47,15,117,119,95,190,27,69,160
2020년02월_여_60~69세,"3,406",369,19,532,31,20,117,36,264,205,321,196,19,176,26,21,34,34,157,113,156,240,26,100,194
2020년02월_여_70~79세,"3,642",437,27,433,33,31,185,32,290,241,335,239,15,196,25,13,28,18,152,118,177,265,22,129,201
2020년02월_여_80~89세,"2,702",304,26,303,16,16,103,15,177,155,236,219,13,140,15,19,21,18,137,95,122,247,19,100,186
2020년02월_여_90~99세,353,40,3,53,0,0,12,1,14,17,41,22,2,35,0,2,0,5,10,6,16,41,2,12,19
2020년02월_여_100세 이상,12,1,0,3,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,2,1,0,0,0,0
