,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2021년07월_남_50~59세,"52,844","21,995","2,419",424,441,461,334,247,603,243,585,415,882,923,"1,647","1,999","3,473","4,205","2,694","30,849","2,314","2,029","1,930",988,"1,704","1,950","1,148","3,170","1,670","2,856","4,643","3,396","3,051"
2021년07월_남_60~69세,"34,437","16,733","1,608",519,574,522,414,288,619,296,616,412,751,826,"1,273","1,343","1,759","2,743","2,170","17,704","2,031","1,375","1,275",880,"1,299","1,334",969,"1,706","1,045","1,376","1,500","1,578","1,336"
2021년07월_남_70~79세,"13,795","7,196",709,271,271,246,220,152,294,173,306,166,394,459,498,545,592,"1,016",884,"6,599","1,129",543,514,431,577,436,347,523,350,415,392,567,375
2021년07월_남_80~89세,"5,394","2,925",313,121,121,129,104,92,144,92,128,67,133,208,157,209,196,377,334,"2,469",483,223,227,199,180,135,120,191,144,120,137,207,103
2021년07월_남_90~99세,491,274,32,13,16,13,6,6,17,7,10,12,15,12,15,18,24,38,20,217,36,15,12,33,17,11,13,16,12,11,13,19,9
2021년07월_남_100세 이상,20,12,1,0,1,1,1,0,0,1,0,0,1,0,1,2,1,2,0,8,2,2,0,0,1,1,0,1,0,0,1,0,0
2021년07월_여_총인구수,"321,588","126,135","11,842","1,850","2,122","2,085","1,488","1,027","2,844",970,"2,563","2,051","4,165","4,465","8,814","11,635","21,824","27,639","18,751","195,453","11,445","10,299","9,068","3,912","8,031","11,909","7,042","19,087","9,773","20,146","34,985","22,711","27,045"
2021년07월_여_연령구간인구수,"321,588","126,135","11,842","1,850","2,122","2,085","1,488","1,027","2,844",970,"2,563","2,051","4,165","4,465","8,814","11,635","21,824","27,639","18,751","195,453","11,445","10,299","9,068","3,912","8,031","11,909","7,042","19,087","9,773","20,146","34,985","22,711","27,045"
2021년07월_여_0~9세,"29,361","9,450",783,52,55,57,39,24,116,12,91,73,180,137,512,"1,018","2,122","2,810","1,369","19,911",529,871,635,137,385,461,388,"1,629",686,"2,694","5,040","1,928","4,528"
2021년07월_여_10~19세,"32,753","12,347","1,240",105,84,105,79,38,171,24,125,103,284,299,649,"1,540","2,746","3,397","1,358","20,406","1,042","1,143",880,247,554,626,609,"2,315","1,075","2,735","4,684","2,016","2,480"
2021년07월_여_20~29세,"45,279","16,358","1,269",130,145,152,93,58,247,55,262,316,443,475,"1,389","1,254","2,779","3,308","3,983","28,921","1,185","1,119",977,342,"1,167","3,196","1,168","2,826","1,265","2,417","4,351","5,071","3,837"
2021년07월_여_30~39세,"48,186","15,226","1,159",123,138,136,64,59,213,35,197,241,370,334,"1,088","1,301","3,099","4,002","2,667","32,960",895,"1,256","1,074",249,"1,005","2,188",845,"2,463","1,149","3,435","7,272","4,072","7,057"
2021년07월_여_40~49세,"53,711","20,345","2,087",168,187,237,120,71,302,50,287,242,551,608,"1,391","2,160","4,378","5,078","2,428","33,366","1,611","1,866","1,559",423,"1,116","1,631",945,"3,522","1,647","3,902","7,225","3,638","4,281"
2021년07월_여_50~59세,"50,067","21,234","2,088",315,398,372,252,167,546,165,437,328,834,864,"1,581","2,007","3,456","4,249","3,175","28,833","1,902","1,680","1,610",766,"1,508","1,633","1,313","3,493","1,856","2,786","4,186","3,317","2,783"
2021년07월_여_60~69세,"33,598","16,446","1,589",445,505,498,371,244,572,246,580,396,779,854,"1,267","1,238","1,845","2,760","2,257","17,152","2,003","1,245","1,202",822,"1,254","1,246","1,073","1,690","1,085","1,344","1,406","1,499","1,283"
2021년07월_여_70~79세,"16,614","8,423",894,260,293,256,234,186,348,177,358,223,422,531,583,689,786,"1,229",954,"8,191","1,329",645,638,515,679,568,422,702,571,489,467,712,454
2021년07월_여_80~89세,"10,199","5,336",633,212,260,218,187,159,274,167,199,111,256,320,303,368,531,668,470,"4,863",825,412,429,349,311,292,233,387,364,290,286,395,290
2021년07월_여_90~99세,"1,754",933,98,40,56,54,46,20,53,36,25,17,43,42,49,59,80,131,84,821,120,61,61,61,47,66,45,60,74,50,64,61,51
2021년07월_여_100세 이상,66,37,2,0,1,0,3,1,2,3,2,1,3,1,2,1,2,7,6,29,4,1,3,1,5,2,1,0,1,4,4,2,1
