,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2020년11월_계_80~89세,"12,768",536,507,655,682,513,433,"1,127",802,692,739,764,389,711,336,650,638,640,543,644,460,307
2020년11월_계_90~99세,"1,993",79,95,93,115,95,70,156,121,110,126,107,60,108,45,102,102,98,92,81,83,55
2020년11월_계_100세 이상,180,4,16,6,14,13,13,4,7,13,8,11,3,12,5,11,8,8,10,4,7,3
2020년11월_남_총인구수,"202,669","7,472","7,221","8,418","9,234","9,071","3,960","24,028","15,547","9,366","11,688","13,764","10,805","8,526","4,574","7,040","8,771","11,296","6,346","10,516","7,633","7,393"
2020년11월_남_연령구간인구수,"202,669","7,472","7,221","8,418","9,234","9,071","3,960","24,028","15,547","9,366","11,688","13,764","10,805","8,526","4,574","7,040","8,771","11,296","6,346","10,516","7,633","7,393"
2020년11월_남_0~9세,"13,807",566,569,517,335,715,155,"2,185","1,088",576,878,"1,112",712,455,247,306,418,"1,083",291,664,573,362
2020년11월_남_10~19세,"16,253",490,436,730,487,734,184,"2,534","1,834",903,767,"1,067",455,584,354,423,590,934,526,962,663,596
2020년11월_남_20~29세,"30,116","1,026","1,025","1,135","2,474","1,334",505,"3,581","2,191","1,321","1,690","1,793","2,100","1,169",671,930,"1,293","1,444",839,"1,544","1,065",986
2020년11월_남_30~39세,"29,681","1,212","1,319","1,182","1,045","1,554",502,"3,308","1,668","1,151","1,912","2,403","2,455","1,131",562,882,"1,361","1,865",753,"1,349",981,"1,086"
2020년11월_남_40~49세,"33,410","1,224","1,138","1,321","1,220","1,353",610,"4,297","2,696","1,493","1,947","2,276","1,804","1,295",746,"1,044","1,436","2,082","1,021","1,680","1,154","1,573"
2020년11월_남_50~59세,"33,688","1,237","1,152","1,407","1,357","1,391",705,"3,910","2,805","1,656","1,880","2,141","1,568","1,501",781,"1,227","1,547","1,664","1,104","1,868","1,305","1,482"
2020년11월_남_60~69세,"26,488",993,939,"1,156","1,201","1,100",678,"2,563","1,966","1,279","1,485","1,823","1,097","1,324",689,"1,192","1,248","1,288","1,036","1,460","1,148",823
2020년11월_남_70~79세,"14,113",523,461,725,814,684,426,"1,223",977,730,813,843,452,790,391,760,645,665,542,731,557,361
2020년11월_남_80~89세,"4,607",178,169,215,270,180,167,396,290,231,280,280,150,250,114,254,208,251,208,234,165,117
2020년11월_남_90~99세,459,23,10,30,28,22,25,30,28,21,35,22,10,25,17,19,23,17,23,24,21,6
2020년11월_남_100세 이상,47,0,3,0,3,4,3,1,4,5,1,4,2,2,2,3,2,3,3,0,1,1
2020년11월_여_총인구수,"199,723","7,254","7,214","8,372","7,950","8,916","3,603","24,261","15,711","9,717","11,828","13,241","9,887","8,304","4,454","7,053","8,749","11,332","6,642","10,976","7,903","6,356"
2020년11월_여_연령구간인구수,"199,723","7,254","7,214","8,372","7,950","8,916","3,603","24,261","15,711","9,717","11,828","13,241","9,887","8,304","4,454","7,053","8,749","11,332","6,642","10,976","7,903","6,356"
2020년11월_여_0~9세,"13,181",553,533,508,315,637,144,"2,047","1,104",596,822,"1,140",617,459,218,305,422,"1,000",297,645,463,356
2020년11월_여_10~19세,"15,349",455,424,620,477,596,189,"2,378","1,655",877,830,985,457,513,339,451,591,870,448,971,664,559
2020년11월_여_20~29세,"26,857",909,"1,072","1,030","1,429","1,339",341,"3,411","1,916","1,109","1,631","1,634","2,147",948,552,766,"1,206","1,429",723,"1,353","1,012",900
2020년11월_여_30~39세,"25,510","1,010","1,097","1,014",751,"1,306",354,"3,241","1,599","1,061","1,731","1,977","1,905",961,455,693,"1,043","1,698",637,"1,198",975,804
2020년11월_여_40~49세,"29,720",967,943,"1,223",883,"1,243",408,"4,149","2,814","1,500","1,679","1,922","1,365","1,067",640,877,"1,217","1,841",946,"1,678","1,142","1,216"
2020년11월_여_50~59세,"33,397","1,191","1,164","1,371","1,261","1,366",585,"3,954","2,765","1,721","1,916","2,125","1,520","1,414",752,"1,155","1,565","1,709","1,235","2,074","1,496","1,058"
2020년11월_여_60~69세,"28,786","1,064",949,"1,279","1,342","1,239",735,"2,760","2,080","1,422","1,653","1,838","1,084","1,488",717,"1,394","1,376","1,530","1,193","1,657","1,209",777
2020년11월_여_70~79세,"17,095",687,596,818,982,775,526,"1,461","1,170",873,"1,009","1,044",502,900,528,925,814,780,752,929,579,445
2020년11월_여_80~89세,"8,161",358,338,440,412,333,266,731,512,461,459,484,239,461,222,396,430,389,335,410,295,190
2020년11월_여_90~99세,"1,534",56,85,63,87,73,45,126,93,89,91,85,50,83,28,83,79,81,69,57,62,49
2020년11월_여_100세 이상,133,4,13,6,11,9,10,3,3,8,7,7,1,10,3,8,6,5,7,4,6,2
