,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 용지동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2021년11월_계_80~89세,"27,904","5,288",881,926,523,959,354,880,765,"3,699",621,524,457,353,722,522,258,242,"7,486",347,500,310,520,314,50,869,547,693,469,475,610,963,388,431,"5,796","1,524",624,361,595,375,366,631,312,277,334,278,119,"5,635",734,681,313,388,349,310,325,468,327,506,368,281,585
2021년11월_계_90~99세,"3,694",730,104,141,79,133,42,113,118,570,89,83,79,63,97,80,40,39,"1,064",71,85,70,95,41,6,125,78,82,50,46,84,122,49,60,626,147,68,55,59,34,42,90,30,22,39,26,14,704,106,80,41,40,39,46,44,56,32,51,39,46,84
2021년11월_계_100세 이상,70,21,2,6,1,3,2,4,3,11,4,1,1,3,1,1,0,0,16,0,1,1,2,1,0,2,0,0,1,1,2,1,3,1,11,2,1,0,0,1,0,0,4,1,0,0,2,11,3,1,1,0,0,1,1,1,1,1,1,0,0
2021년11월_남_총인구수,"523,465","111,038","10,091","21,837","3,591","25,527","13,242","21,078","15,672","128,576","20,731","14,823","18,655","13,949","22,213","20,452","13,688","4,065","90,123","2,180","6,250","1,803","1,910","6,990",687,"21,037","5,465","7,051","4,355","5,080","7,966","9,576","3,698","6,075","93,813","31,961","5,041","4,959","8,442","3,074","5,510","15,425","4,734","3,742","4,432","4,688","1,805","99,915","8,821","4,186","2,148","5,638","3,665","8,995","4,542","10,594","5,013","12,864","6,603","3,503","23,343"
2021년11월_남_연령구간인구수,"523,465","111,038","10,091","21,837","3,591","25,527","13,242","21,078","15,672","128,576","20,731","14,823","18,655","13,949","22,213","20,452","13,688","4,065","90,123","2,180","6,250","1,803","1,910","6,990",687,"21,037","5,465","7,051","4,355","5,080","7,966","9,576","3,698","6,075","93,813","31,961","5,041","4,959","8,442","3,074","5,510","15,425","4,734","3,742","4,432","4,688","1,805","99,915","8,821","4,186","2,148","5,638","3,665","8,995","4,542","10,594","5,013","12,864","6,603","3,503","23,343"
2021년11월_남_0~9세,"40,984","8,755",516,"3,204",128,"2,066","1,013","1,131",697,"9,485","1,564","1,092","1,143","1,005","1,612","1,758","1,101",210,"6,840",61,567,28,21,"1,064",33,"2,326",234,429,189,231,615,489,198,355,"6,338","2,382",193,338,561,79,292,"1,526",339,122,184,247,75,"9,566",697,170,88,512,263,716,184,"1,142",533,"1,735",941,256,"2,329"
2021년11월_남_10~19세,"51,214","10,197",982,"2,053",201,"2,379","1,431","2,019","1,132","13,557","2,729","1,398","1,302","1,710","2,404","2,029","1,593",392,"7,338",73,516,76,76,630,29,"2,101",322,690,334,475,698,628,230,460,"9,188","4,101",315,413,627,158,437,"1,798",275,235,329,382,118,"10,934",887,338,140,531,403,"1,251",276,"1,173",614,"1,691",490,365,"2,775"
2021년11월_남_20~29세,"70,589","15,658","1,306","1,980",351,"3,721","2,103","3,433","2,764","20,776","3,009","2,455","3,538","2,244","3,441","3,269","2,220",600,"10,464",186,584,147,139,572,101,"2,792",971,834,557,628,824,"1,025",387,717,"11,762","4,474",515,555,933,313,713,"1,797",609,485,525,643,200,"11,929","1,388",500,232,642,431,"1,264",653,"1,196",684,"1,210",655,393,"2,681"
2021년11월_남_30~39세,"69,110","14,997",957,"3,624",393,"3,646","1,940","2,288","2,149","18,420","2,238","2,144","3,472","1,790","3,246","3,193","1,805",532,"11,270",175,711,118,92,"1,099",93,"3,234",558,764,437,492,"1,063","1,166",504,764,"10,822","3,156",520,696,"1,226",308,674,"1,898",670,422,472,564,216,"13,601","1,198",382,186,755,396,"1,089",603,"1,510",637,"1,702","1,205",402,"3,536"
2021년11월_남_40~49세,"84,755","17,406","1,574","4,052",447,"4,009","2,097","3,074","2,153","19,497","3,322","2,162","2,800","2,116","3,452","3,041","1,968",636,"14,142",260,"1,088",189,158,"1,371",85,"3,335",741,"1,110",620,703,"1,273","1,616",612,981,"14,945","5,342",735,729,"1,287",396,819,"2,711",717,557,628,708,316,"18,765","1,510",577,299,876,610,"1,640",741,"1,933",836,"2,586","1,160",595,"5,402"
2021년11월_남_50~59세,"91,706","20,218","1,990","2,927",649,"4,668","2,552","4,459","2,973","24,664","4,059","2,830","3,407","2,762","4,106","3,873","2,918",709,"14,712",377,"1,049",366,401,934,105,"3,180",899,"1,182",786,883,"1,271","1,632",610,"1,037","16,794","6,271",863,784,"1,383",571,924,"2,475",793,702,873,809,346,"15,318","1,227",701,371,887,569,"1,468",753,"1,659",709,"1,697",936,624,"3,717"
2021년11월_남_60~69세,"74,632","16,128","1,693","2,760",865,"3,437","1,542","3,205","2,626","16,581","2,729","1,942","2,198","1,828","3,024","2,558","1,678",624,"14,948",599,"1,037",503,536,833,152,"2,608",974,"1,141",867,978,"1,306","1,719",660,"1,035","14,838","4,149","1,027",859,"1,420",724,"1,012","2,114",810,710,860,825,328,"12,137","1,015",712,439,867,558,"1,070",814,"1,353",608,"1,497",775,537,"1,892"
2021년11월_남_70~79세,"30,330","5,857",792,944,396,"1,269",432,"1,121",903,"4,390",866,621,624,368,732,577,336,266,"7,646",333,522,270,322,374,73,"1,139",561,651,394,520,682,926,340,539,"6,926","1,591",616,454,763,366,504,834,403,409,428,393,165,"5,511",596,520,271,426,309,366,403,472,284,533,305,247,779
2021년11월_남_80~89세,"9,452","1,689",272,270,146,305,124,323,249,"1,110",206,162,157,110,182,142,65,86,"2,553",105,162,97,148,105,12,302,192,230,158,163,216,347,142,174,"2,088",480,245,121,227,147,129,255,113,96,125,112,38,"2,012",279,268,113,134,122,118,111,142,101,206,123,78,217
2021년11월_남_90~99세,680,129,9,21,14,27,8,25,25,93,9,16,14,15,14,11,4,10,207,11,14,9,17,7,4,20,13,20,13,7,17,28,14,13,111,15,12,10,15,12,6,17,4,4,8,5,3,140,23,18,9,8,4,13,4,14,7,7,12,6,15
2021년11월_남_100세 이상,13,4,0,2,1,0,0,0,1,3,0,1,0,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
2021년11월_여_총인구수,"509,816","107,093","9,711","21,555","3,517","24,883","12,672","20,361","14,394","123,406","20,342","14,675","15,891","13,827","22,476","19,921","12,571","3,703","91,103","2,020","5,901","1,570","1,954","7,124",625,"21,324","5,561","7,438","4,642","5,252","8,107","9,791","3,606","6,188","93,432","31,625","5,148","5,073","8,447","2,978","5,480","15,827","4,585","3,733","4,422","4,690","1,424","94,782","8,174","4,289","2,114","5,494","3,773","8,524","4,052","10,664","5,156","12,854","6,376","3,323","19,989"
2021년11월_여_연령구간인구수,"509,816","107,093","9,711","21,555","3,517","24,883","12,672","20,361","14,394","123,406","20,342","14,675","15,891","13,827","22,476","19,921","12,571","3,703","91,103","2,020","5,901","1,570","1,954","7,124",625,"21,324","5,561","7,438","4,642","5,252","8,107","9,791","3,606","6,188","93,432","31,625","5,148","5,073","8,447","2,978","5,480","15,827","4,585","3,733","4,422","4,690","1,424","94,782","8,174","4,289","2,114","5,494","3,773","8,524","4,052","10,664","5,156","12,854","6,376","3,323","19,989"
2021년11월_여_0~9세,"38,387","8,424",535,"3,016",104,"2,065",947,"1,068",689,"8,922","1,494",947,"1,014",969,"1,571","1,720","1,004",203,"6,386",43,482,26,23,998,29,"2,219",229,372,174,185,598,474,200,334,"5,922","2,226",158,308,543,72,244,"1,472",296,113,195,237,58,"8,733",668,117,74,431,253,674,152,"1,109",477,"1,526",839,223,"2,190"
2021년11월_여_10~19세,"46,914","9,156",808,"1,967",173,"2,185","1,222","1,816",985,"12,169","2,408","1,225","1,187","1,555","2,196","1,885","1,372",341,"6,924",76,503,54,62,644,29,"1,976",333,651,364,366,634,540,200,492,"8,414","3,748",290,348,569,151,378,"1,657",278,212,314,378,91,"10,251",898,289,113,462,351,"1,155",243,"1,092",585,"1,624",513,335,"2,591"
2021년11월_여_20~29세,"55,455","12,380",891,"1,627",263,"2,997","1,751","2,740","2,111","16,228","2,302","2,022","2,666","1,753","2,827","2,540","1,727",391,"8,467",92,469,99,71,542,87,"2,214",737,662,499,490,697,914,288,606,"9,461","3,522",390,526,815,219,553,"1,440",498,423,377,590,108,"8,919",794,315,173,489,347,959,420,997,510,980,588,283,"2,064"
2021년11월_여_30~39세,"61,183","13,356",798,"3,879",238,"3,192","1,763","1,964","1,522","16,032","2,222","1,902","2,565","1,619","2,915","2,925","1,525",359,"10,047",83,612,71,73,"1,174",76,"3,090",488,663,351,371,958,"1,011",383,643,"9,584","3,055",346,624,"1,024",208,557,"1,950",559,295,358,469,139,"12,164",925,287,130,643,350,961,382,"1,505",603,"1,869","1,179",339,"2,991"
2021년11월_여_40~49세,"81,491","16,470","1,457","3,549",317,"3,931","2,211","3,073","1,932","21,025","3,791","2,368","2,414","2,509","3,941","3,240","2,177",585,"12,636",127,899,99,107,"1,212",78,"3,374",613,"1,088",578,677,"1,148","1,338",458,840,"14,374","5,787",592,640,"1,056",296,727,"2,836",591,480,544,633,192,"16,986","1,348",537,226,839,587,"1,757",519,"1,870",861,"2,557","1,009",566,"4,310"
2021년11월_여_50~59세,"93,098","20,917","1,921","3,180",633,"4,960","2,574","4,662","2,987","26,461","4,197","3,192","3,169","3,157","4,870","4,262","2,923",691,"14,766",331,889,289,292,958,88,"3,465",938,"1,257",861,"1,004","1,231","1,560",578,"1,025","16,940","6,215",837,807,"1,431",536,967,"2,709",822,663,842,841,270,"14,014","1,023",677,346,908,620,"1,343",733,"1,762",727,"1,783",863,547,"2,682"
2021년11월_여_60~69세,"76,425","15,798","1,689","2,585",817,"3,503","1,447","3,176","2,581","14,866","2,556","1,918","1,940","1,557","2,670","2,246","1,312",667,"16,717",592,"1,079",394,475,942,132,"2,997","1,129","1,359",968,"1,151","1,464","2,021",766,"1,248","16,207","3,986","1,283",975,"1,654",753,"1,203","2,332",850,879,"1,066",921,305,"12,837","1,163",874,470,957,641,"1,033",900,"1,387",739,"1,548",751,523,"1,851"
2021년11월_여_70~79세,"35,340","6,375",906,972,530,"1,287",491,"1,213",976,"4,629",873,672,570,415,862,654,302,281,"9,357",374,558,263,399,411,66,"1,315",674,861,498,656,915,"1,222",450,695,"8,297","1,908",816,560,943,492,578,982,463,468,486,434,167,"6,682",815,717,349,479,362,416,448,573,402,622,362,264,873
2021년11월_여_80~89세,"18,452","3,599",609,656,377,654,230,557,516,"2,589",415,362,300,243,540,380,193,156,"4,933",242,338,213,372,209,38,567,355,463,311,312,394,616,246,257,"3,708","1,044",379,240,368,228,237,376,199,181,209,166,81,"3,623",455,413,200,254,227,192,214,326,226,300,245,203,368
2021년11월_여_90~99세,"3,014",601,95,120,65,106,34,88,93,477,80,67,65,48,83,69,36,29,857,60,71,61,78,34,2,105,65,62,37,39,67,94,35,47,515,132,56,45,44,22,36,73,26,18,31,21,11,564,83,62,32,32,35,33,40,42,25,44,27,40,69
2021년11월_여_100세 이상,57,17,2,4,0,3,2,4,2,8,4,0,1,2,1,0,0,0,13,0,1,1,2,0,0,2,0,0,1,1,1,1,2,1,10,2,1,0,0,1,0,0,3,1,0,0,2,9,2,1,1,0,0,1,1,1,1,1,0,0,0
