,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 문무대왕면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2021년12월_남_연령구간인구수,"126,024","2,698","11,879","4,696","11,688","2,206","3,338","2,358","1,597","1,555","10,669","3,082","2,963","2,514","3,048","6,785","2,214","7,382","2,873","11,871","13,895","11,079","4,781",853
2021년12월_남_0~9세,"7,861",75,525,161,698,113,128,48,27,22,"1,199",81,128,80,69,221,40,548,176,"1,439","1,200",553,305,25
2021년12월_남_10~19세,"10,505",114,976,278,637,112,165,95,41,83,"1,194",147,151,161,161,404,90,853,186,"1,340","1,851","1,131",298,37
2021년12월_남_20~29세,"14,500",204,"1,197",414,"1,196",280,372,168,79,97,"1,206",270,279,276,327,"1,125",193,"1,062",257,"1,422","1,985","1,590",419,82
2021년12월_남_30~39세,"13,120",183,889,385,"1,556",252,292,145,53,75,"1,379",186,319,266,297,712,156,747,232,"1,649","1,515","1,197",564,71
2021년12월_남_40~49세,"18,599",365,"1,633",569,"1,750",220,402,231,110,159,"1,828",388,382,339,390,919,255,"1,189",404,"2,194","2,303","1,731",731,107
2021년12월_남_50~59세,"24,106",567,"2,513",864,"2,393",395,752,475,294,312,"1,844",677,598,425,586,"1,176",436,"1,431",536,"1,954","2,661","2,165",880,172
2021년12월_남_60~69세,"21,458",621,"2,267","1,043","2,144",443,723,616,542,381,"1,252",718,614,498,649,"1,155",525,933,566,"1,284","1,636","1,742",900,206
2021년12월_남_70~79세,"11,190",375,"1,293",672,975,265,352,385,301,280,559,422,345,337,399,799,334,429,358,435,549,732,478,116
2021년12월_남_80~89세,"4,317",175,547,285,308,116,135,176,139,138,201,173,134,126,154,260,169,180,143,136,179,214,192,37
2021년12월_남_90~99세,364,18,38,24,31,9,17,19,11,8,7,20,13,6,16,14,16,10,15,18,16,24,14,0
2021년12월_남_100세 이상,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"125,865","2,693","12,204","4,537","10,471","2,008","2,939","2,326","1,633","1,561","11,030","2,996","2,714","2,582","3,259","6,862","2,271","7,303","2,963","12,201","14,415","11,082","4,944",871
2021년12월_여_연령구간인구수,"125,865","2,693","12,204","4,537","10,471","2,008","2,939","2,326","1,633","1,561","11,030","2,996","2,714","2,582","3,259","6,862","2,271","7,303","2,963","12,201","14,415","11,082","4,944",871
2021년12월_여_0~9세,"7,514",61,475,144,661,87,130,43,16,32,"1,095",88,134,90,83,170,38,517,176,"1,413","1,170",555,309,27
2021년12월_여_10~19세,"9,684",108,956,215,549,67,156,100,41,36,"1,191",148,156,122,143,369,91,743,161,"1,304","1,666","1,032",289,41
2021년12월_여_20~29세,"11,192",126,941,253,895,153,186,97,53,66,"1,033",189,212,238,256,819,131,831,191,"1,143","1,673","1,261",370,75
2021년12월_여_30~39세,"11,402",141,743,250,"1,125",196,200,93,57,62,"1,436",132,229,189,210,491,101,643,244,"1,734","1,602",954,525,45
2021년12월_여_40~49세,"17,145",218,"1,503",397,"1,225",130,282,167,79,110,"1,926",283,298,278,313,784,211,"1,268",348,"2,226","2,661","1,743",605,90
2021년12월_여_50~59세,"22,484",413,"2,337",740,"2,029",269,552,382,254,210,"1,847",538,460,419,556,"1,137",339,"1,396",471,"2,108","2,791","2,268",819,149
2021년12월_여_60~69세,"21,863",641,"2,295","1,057","1,952",416,698,534,492,392,"1,332",665,542,567,769,"1,525",515,952,596,"1,281","1,639","1,848",951,204
2021년12월_여_70~79세,"13,821",559,"1,639",802,"1,087",323,389,434,340,368,653,494,374,427,581,"1,038",445,562,434,569,710,880,577,136
2021년12월_여_80~89세,"9,204",360,"1,150",595,794,308,280,408,264,248,440,393,271,221,302,450,351,331,287,357,421,466,421,86
2021년12월_여_90~99세,"1,511",63,160,84,151,58,63,67,37,36,75,63,37,31,44,77,47,59,51,63,82,71,75,17
2021년12월_여_100세 이상,45,3,5,0,3,1,3,1,0,1,2,3,1,0,2,2,2,1,4,3,0,4,3,1
