,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2020년11월_남_70~79세,"77,499","13,566","7,088","6,478","5,264","4,999","8,007","6,467","5,780",904,"6,199","3,098","4,242","3,571","2,049","4,463","4,748","4,142"
2020년11월_남_80~89세,"34,995","5,176","2,796","2,380","2,485","2,237","3,400","2,842","2,769",354,"2,830","1,427","2,224","1,894","1,180","2,222","2,363","1,592"
2020년11월_남_90~99세,"3,354",507,280,227,272,198,288,237,303,39,283,129,246,190,128,223,186,125
2020년11월_남_100세 이상,204,46,23,23,13,13,31,7,20,0,14,9,7,10,5,19,5,5
2020년11월_여_총인구수,"1,038,296","322,721","127,417","195,304","52,342","49,435","151,618","84,166","58,462","21,498","78,005","25,496","33,014","26,260","15,192","50,225","38,944","30,918"
2020년11월_여_연령구간인구수,"1,038,296","322,721","127,417","195,304","52,342","49,435","151,618","84,166","58,462","21,498","78,005","25,496","33,014","26,260","15,192","50,225","38,944","30,918"
2020년11월_여_0~9세,"84,543","30,461","9,939","20,522","2,800","3,066","16,108","7,507","3,544","1,917","7,637","1,270","1,383","1,154",625,"3,733","1,755","1,583"
2020년11월_여_10~19세,"97,603","33,031","12,645","20,386","3,979","4,015","16,710","8,098","4,782","3,006","7,453","2,058","2,202","1,690",966,"4,704","2,757","2,152"
2020년11월_여_20~29세,"108,710","45,746","16,615","29,131","5,055","3,919","16,151","7,864","5,030","2,164","6,668","1,691","2,288","1,623","1,100","4,337","2,994","2,080"
2020년11월_여_30~39세,"124,312","49,583","15,861","33,722","4,434","4,361","22,524","9,885","5,097","2,319","9,844","1,795","2,023","1,530",883,"5,046","2,720","2,268"
2020년11월_여_40~49세,"153,221","54,212","20,864","33,348","6,301","6,296","25,628","12,953","7,244","4,336","11,643","2,805","3,282","2,639","1,292","6,917","4,312","3,361"
2020년11월_여_50~59세,"160,671","50,211","21,510","28,701","8,992","8,058","21,222","13,207","9,347","3,446","11,425","4,082","5,209","3,904","2,394","7,615","6,397","5,162"
2020년11월_여_60~69세,"138,936","31,252","15,399","15,853","9,139","8,651","15,870","10,945","9,932","2,297","10,196","4,811","6,520","5,227","2,989","7,447","7,429","6,231"
2020년11월_여_70~79세,"93,887","16,535","8,421","8,114","6,215","6,255","10,028","7,422","7,272","1,127","7,102","3,751","5,233","4,476","2,487","5,598","5,716","4,670"
2020년11월_여_80~89세,"64,741","9,855","5,182","4,673","4,626","4,035","6,276","5,268","5,264",736,"5,126","2,783","4,083","3,343","2,123","4,134","4,188","2,901"
2020년11월_여_90~99세,"10,960","1,705",915,790,752,728,"1,020",967,880,140,855,429,743,640,319,652,641,489
2020년11월_여_100세 이상,712,130,66,64,49,51,81,50,70,10,56,21,48,34,14,42,35,21
