,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2020년07월_남_40~49세,"24,510","2,050","2,372","1,131","2,110","1,717","1,637","1,990","1,689","1,429","1,285","1,405","2,118","1,564","2,013"
2020년07월_남_50~59세,"27,520","1,950","2,464","1,342","2,368","2,069","1,911","2,224","1,790","1,513","1,317","1,573","2,795","1,920","2,284"
2020년07월_남_60~69세,"23,355","1,610","1,917","1,008","1,639","1,700","1,843","2,340","1,540","1,405","1,153","1,319","2,180","1,651","2,050"
2020년07월_남_70~79세,"12,654",863,"1,019",611,802,824,"1,275","1,335",944,725,721,541,"1,283",875,836
2020년07월_남_80~89세,"4,307",319,381,201,300,298,400,434,311,261,248,194,353,282,325
2020년07월_남_90~99세,435,36,22,11,42,36,40,41,24,29,20,27,35,32,40
2020년07월_남_100세 이상,47,2,0,3,4,4,3,6,7,7,1,0,1,5,4
2020년07월_여_총인구수,"168,357","13,404","15,272","7,243","14,289","13,175","10,744","14,366","11,366","10,116","8,694","10,256","14,780","10,180","14,472"
2020년07월_여_연령구간인구수,"168,357","13,404","15,272","7,243","14,289","13,175","10,744","14,366","11,366","10,116","8,694","10,256","14,780","10,180","14,472"
2020년07월_여_0~9세,"9,472",783,922,404,911,770,456,849,593,502,420,611,816,485,950
2020년07월_여_10~19세,"12,802","1,108","1,120",539,"1,318","1,002",578,855,873,705,502,"1,050","1,120",719,"1,313"
2020년07월_여_20~29세,"21,693","1,712","2,093",891,"1,883","1,891","1,246","1,711","1,629","1,284","1,315","1,267","1,937","1,261","1,573"
2020년07월_여_30~39세,"20,510","1,769","2,122",814,"1,780","1,744","1,073","1,839","1,289","1,282","1,166","1,248","1,679","1,058","1,647"
2020년07월_여_40~49세,"25,013","2,165","2,290","1,068","2,396","1,929","1,385","1,879","1,629","1,429","1,191","1,675","2,205","1,463","2,309"
2020년07월_여_50~59세,"30,164","2,278","2,727","1,320","2,614","2,421","1,933","2,368","1,938","1,823","1,536","1,918","2,708","1,936","2,644"
2020년07월_여_60~69세,"25,464","1,825","2,126","1,074","1,771","1,883","2,001","2,539","1,725","1,601","1,280","1,413","2,349","1,654","2,223"
2020년07월_여_70~79세,"14,941","1,143","1,263",764,942,940,"1,396","1,497","1,101",943,895,635,"1,302","1,063","1,057"
2020년07월_여_80~89세,"6,999",539,538,315,576,493,586,686,496,453,331,358,543,450,635
2020년07월_여_90~99세,"1,171",76,69,47,89,94,75,122,83,84,51,77,111,78,115
2020년07월_여_100세 이상,128,6,2,7,9,8,15,21,10,10,7,4,10,13,6
