,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2020년09월_남_연령구간인구수,"135,421","1,636","2,396","1,768","1,359","1,308","2,502","1,544","1,475","1,163","1,974","1,557","1,172","2,808","3,616","2,820","2,241","6,461","11,290","3,788","3,361","1,496","27,556","6,447","11,577","16,273","9,172","6,661"
2020년09월_남_0~9세,"10,879",47,294,90,35,42,75,38,42,30,58,69,59,105,189,91,127,586,"1,287",211,204,78,"3,481",351,886,"1,383",650,371
2020년09월_남_10~19세,"13,954",61,178,188,61,55,140,87,66,57,105,73,68,207,314,168,112,586,"1,121",254,299,146,"4,018",633,"1,444","2,192",850,471
2020년09월_남_20~29세,"16,209",158,218,141,136,103,190,161,151,83,206,149,78,273,469,344,220,748,"1,335",403,459,185,"3,435",907,"1,617","2,275","1,019",746
2020년09월_남_30~39세,"16,238",126,350,111,87,101,195,104,98,71,183,125,110,244,299,230,354,885,"1,969",447,398,146,"3,723",733,"1,092","1,867","1,255",935
2020년09월_남_40~49세,"22,951",196,409,285,169,161,320,176,161,139,340,227,158,388,522,355,339,"1,046","1,896",611,467,190,"5,365",905,"1,859","3,108","1,837","1,322"
2020년09월_남_50~59세,"23,006",332,371,334,270,266,473,324,299,237,425,271,188,517,573,488,340,"1,061","1,596",635,575,242,"4,059","1,188","2,079","2,771","1,759","1,333"
2020년09월_남_60~69세,"18,262",337,319,311,319,294,541,347,346,265,404,299,243,551,608,551,359,817,"1,235",637,587,255,"2,199","1,060","1,595","1,670","1,189",924
2020년09월_남_70~79세,"10,175",255,176,189,198,180,375,223,216,190,193,247,208,372,483,408,301,547,653,440,289,167,972,519,716,749,481,428
2020년09월_남_80~89세,"3,398",112,77,111,72,89,172,82,85,80,54,83,54,138,148,169,78,174,183,135,79,78,276,139,257,235,115,123
2020년09월_남_90~99세,312,10,4,8,12,15,20,2,11,10,4,13,4,8,10,14,10,10,15,13,3,7,25,12,32,20,12,8
2020년09월_남_100세 이상,37,2,0,0,0,2,1,0,0,1,2,1,2,5,1,2,1,1,0,2,1,2,3,0,0,3,5,0
2020년09월_여_총인구수,"132,604","1,555","2,290","1,675","1,339","1,305","2,565","1,488","1,441","1,062","1,518","1,502","1,253","2,835","3,626","2,952","2,154","6,406","10,849","3,763","3,350","1,412","27,834","6,440","12,356","16,317","7,688","5,629"
2020년09월_여_연령구간인구수,"132,604","1,555","2,290","1,675","1,339","1,305","2,565","1,488","1,441","1,062","1,518","1,502","1,253","2,835","3,626","2,952","2,154","6,406","10,849","3,763","3,350","1,412","27,834","6,440","12,356","16,317","7,688","5,629"
2020년09월_여_0~9세,"10,477",51,283,85,35,32,80,37,55,17,52,54,67,99,173,85,94,529,"1,229",199,213,88,"3,372",333,908,"1,353",586,368
2020년09월_여_10~19세,"13,051",51,188,161,55,60,104,71,72,46,84,67,71,199,297,169,102,555,967,235,297,107,"3,724",542,"1,499","2,109",807,412
2020년09월_여_20~29세,"13,376",89,158,100,97,64,153,109,94,53,129,109,88,195,344,250,222,668,"1,178",332,399,115,"3,154",697,"1,329","1,919",789,542
2020년09월_여_30~39세,"14,888",73,358,102,63,61,168,74,92,52,96,97,109,233,274,188,257,816,"1,804",328,341,116,"4,058",611,"1,141","1,816",913,647
2020년09월_여_40~49세,"20,766",124,317,211,91,96,209,134,126,89,180,150,115,345,460,273,247,902,"1,706",479,467,181,"5,540",950,"2,110","3,096","1,336",832
2020년09월_여_50~59세,"20,934",254,304,223,223,200,361,284,286,152,320,197,188,442,542,487,331,995,"1,521",608,629,240,"3,774","1,244","2,058","2,742","1,334",995
2020년09월_여_60~69세,"18,751",345,296,282,292,285,593,315,294,242,314,313,261,609,722,620,427,947,"1,334",757,534,265,"2,281","1,113","1,676","1,733","1,015",886
2020년09월_여_70~79세,"12,467",304,193,268,238,236,487,251,237,203,221,295,241,461,535,562,316,679,704,577,311,180,"1,226",636,959,997,582,568
2020년09월_여_80~89세,"6,586",216,157,201,193,219,335,178,152,173,105,185,93,206,234,273,130,270,335,211,127,98,588,261,585,483,255,323
2020년09월_여_90~99세,"1,224",45,36,42,48,46,69,31,31,33,15,30,16,39,41,43,26,43,67,35,32,21,114,53,88,67,65,48
2020년09월_여_100세 이상,84,3,0,0,4,6,6,4,2,2,2,5,4,7,4,2,2,2,4,2,0,1,3,0,3,2,6,8
