카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 문무대왕면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2021년11월_계_100세 이상,53,4,7,1,4,4,3,1,0,1,1,2,1,0,2,2,2,1,4,4,1,4,3,1
2021년11월_남_총인구수,"126,155","2,689","11,914","4,704","11,679","2,199","3,330","2,367","1,601","1,552","10,685","3,093","2,959","2,539","3,056","6,795","2,230","7,381","2,857","11,874","13,931","11,085","4,783",852
2021년11월_남_연령구간인구수,"126,155","2,689","11,914","4,704","11,679","2,199","3,330","2,367","1,601","1,552","10,685","3,093","2,959","2,539","3,056","6,795","2,230","7,381","2,857","11,874","13,931","11,085","4,783",852
2021년11월_남_0~9세,"7,888",74,527,158,695,113,126,52,27,22,"1,208",82,128,86,73,218,40,561,172,"1,440","1,204",551,308,23
2021년11월_남_10~19세,"10,546",115,990,277,642,110,164,98,42,83,"1,192",147,149,162,163,407,91,855,185,"1,350","1,862","1,129",296,37
2021년11월_남_20~29세,"14,569",203,"1,203",413,"1,205",282,375,169,79,93,"1,215",272,284,285,322,"1,142",195,"1,053",259,"1,428","1,992","1,601",411,88
2021년11월_남_30~39세,"13,182",182,903,390,"1,564",247,291,146,55,75,"1,386",190,315,269,302,712,154,746,228,"1,657","1,523","1,213",568,66
2021년11월_남_40~49세,"18,630",365,"1,629",565,"1,754",219,405,230,109,162,"1,832",393,388,339,393,928,259,"1,192",406,"2,188","2,316","1,720",729,109
2021년11월_남_50~59세,"24,075",566,"2,520",870,"2,387",393,754,473,298,310,"1,844",672,591,427,577,"1,158",443,"1,426",528,"1,950","2,663","2,168",885,172
2021년11월_남_60~69세,"21,429",619,"2,255","1,054","2,125",441,715,617,539,379,"1,244",723,610,501,658,"1,162",528,932,569,"1,279","1,632","1,741",902,204
2021년11월_남_70~79세,"11,186",375,"1,306",668,971,268,349,389,308,282,558,416,346,338,400,797,337,430,353,430,545,723,482,115
2021년11월_남_80~89세,"4,283",171,541,283,306,116,134,174,133,138,200,177,133,126,152,256,169,176,143,136,179,215,188,37
2021년11월_남_90~99세,362,18,39,25,30,9,17,19,11,8,6,21,15,6,16,15,14,10,14,16,15,23,14,1
2021년11월_남_100세 이상,5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2021년11월_여_총인구수,"126,007","2,688","12,236","4,556","10,459","2,008","2,932","2,338","1,631","1,566","11,036","2,994","2,704","2,586","3,267","6,879","2,281","7,332","2,952","12,216","14,453","11,095","4,935",863
2021년11월_여_연령구간인구수,"126,007","2,688","12,236","4,556","10,459","2,008","2,932","2,338","1,631","1,566","11,036","2,994","2,704","2,586","3,267","6,879","2,281","7,332","2,952","12,216","14,453","11,095","4,935",863
2021년11월_여_0~9세,"7,539",62,480,146,654,85,132,44,17,33,"1,100",89,130,91,84,173,38,529,174,"1,415","1,181",547,308,27
2021년11월_여_10~19세,"9,689",105,956,214,548,66,153,99,40,38,"1,191",151,155,128,141,367,92,742,160,"1,309","1,662","1,038",293,41
2021년11월_여_20~29세,"11,246",125,944,261,902,153,187,101,52,67,"1,033",189,213,233,256,826,131,830,192,"1,150","1,689","1,271",367,74
2021년11월_여_30~39세,"11,469",141,752,250,"1,118",195,195,94,57,61,"1,442",134,235,194,218,497,101,655,244,"1,735","1,617",964,525,45
2021년11월_여_40~49세,"17,180",213,"1,514",401,"1,227",128,281,170,79,112,"1,937",282,284,279,311,789,214,"1,271",344,"2,225","2,670","1,746",613,90
2021년11월_여_50~59세,"22,510",415,"2,340",746,"2,037",275,551,385,256,213,"1,830",535,465,420,553,"1,140",340,"1,397",472,"2,113","2,789","2,282",810,146
2021년11월_여_60~69세,"21,813",640,"2,307","1,053","1,932",414,700,539,493,386,"1,338",662,541,565,773,"1,520",515,953,590,"1,276","1,628","1,839",949,200
2021년11월_여_70~79세,"13,823",561,"1,627",808,"1,076",328,387,434,338,375,649,493,373,428,583,"1,048",450,569,435,571,709,868,577,136
2021년11월_여_80~89세,"9,186",360,"1,153",592,810,305,282,405,262,244,438,396,270,218,301,441,351,327,286,354,422,467,415,87
2021년11월_여_90~99세,"1,504",63,157,85,151,56,61,66,37,36,77,61,37,30,45,76,47,58,51,64,85,70,75,16
2021년11월_여_100세 이상,48,3,6,0,4,3,3,1,0,1,1,2,1,0,2,2,2,1,4,4,1,3,3,1
