,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2021년06월_계_80~89세,"12,106",615,499,516,"1,004",616,327,542,351,599,313,571,563,478,781,238,371,409,"1,232",387,526,447,721
2021년06월_계_90~99세,"2,201",98,72,82,163,106,61,81,70,101,44,91,80,91,142,47,79,73,262,113,110,75,160
2021년06월_계_100세 이상,132,5,6,5,9,10,3,9,5,5,1,10,7,3,8,7,6,5,7,4,6,6,5
2021년06월_남_총인구수,"254,139","7,525","10,630","9,986","12,311","12,335","6,474","14,108","12,312","18,507","9,417","17,177","16,950","10,308","15,563","3,160","10,522","11,523","20,754","11,613","7,533","8,654","6,777"
2021년06월_남_연령구간인구수,"254,139","7,525","10,630","9,986","12,311","12,335","6,474","14,108","12,312","18,507","9,417","17,177","16,950","10,308","15,563","3,160","10,522","11,523","20,754","11,613","7,533","8,654","6,777"
2021년06월_남_0~9세,"18,243",492,332,549,"1,002","1,130",438,"1,244",976,"1,056",341,490,"1,414",831,"1,435",191,857,856,"2,113","1,133",368,692,303
2021년06월_남_10~19세,"30,283",785,426,659,"1,336","1,173",731,"1,882","3,068","3,560","1,297",694,"2,619","1,097","2,089",302,"1,172","1,153","2,302","1,924",652,"1,084",278
2021년06월_남_20~29세,"34,200","1,014","2,039","1,550","1,440","1,691",969,"1,808","1,269","2,501","1,598","3,208","1,863","1,358","1,773",358,"1,420","1,649","2,523","1,332","1,092",979,766
2021년06월_남_30~39세,"36,279","1,001","2,679","1,994","1,343","1,812",897,"2,009",571,"1,496","1,495","4,927","2,155","1,384","1,395",303,"1,264","1,770","2,973","1,300","1,167","1,228","1,116"
2021년06월_남_40~49세,"45,249","1,251","1,872","1,838","2,108","2,145",975,"2,852","2,558","2,961","1,698","3,098","3,903","1,808","2,844",443,"1,683","1,878","3,844","2,043","1,063","1,524",860
2021년06월_남_50~59세,"40,284","1,220","1,401","1,438","2,033","1,878","1,052","2,164","2,190","3,381","1,649","2,204","2,734","1,736","2,772",523,"1,766","1,969","2,927","1,814","1,183","1,258",992
2021년06월_남_60~69세,"27,665",826,999,988,"1,405","1,383",780,"1,132",930,"2,174",706,"1,473","1,182","1,256","1,732",557,"1,480","1,421","2,257","1,341","1,152","1,098","1,393"
2021년06월_남_70~79세,"16,232",613,642,718,"1,118",810,462,740,561,"1,088",480,797,787,611,"1,098",365,710,637,"1,313",569,665,638,810
2021년06월_남_80~89세,"5,166",294,218,228,483,288,150,257,171,266,146,266,274,197,384,106,156,174,437,139,168,138,226
2021년06월_남_90~99세,509,29,22,21,43,23,19,18,16,23,7,19,19,29,40,11,12,15,60,17,21,14,31
2021년06월_남_100세 이상,29,0,0,3,0,2,1,2,2,1,0,1,0,1,1,1,2,1,5,1,2,1,2
2021년06월_여_총인구수,"277,236","8,660","11,933","11,413","14,309","14,044","6,631","15,421","12,132","18,011","10,580","18,318","19,260","11,482","17,940","3,319","11,357","12,234","23,028","11,951","7,832","9,210","8,171"
2021년06월_여_연령구간인구수,"277,236","8,660","11,933","11,413","14,309","14,044","6,631","15,421","12,132","18,011","10,580","18,318","19,260","11,482","17,940","3,319","11,357","12,234","23,028","11,951","7,832","9,210","8,171"
2021년06월_여_0~9세,"17,141",423,356,538,"1,083",947,393,"1,059",828,907,355,485,"1,385",881,"1,373",168,830,836,"2,088",946,349,620,291
2021년06월_여_10~19세,"27,900",812,458,640,"1,429","1,053",518,"1,550","2,408","2,470","1,141",704,"2,834","1,255","2,673",285,"1,282","1,126","2,363","1,425",504,682,288
2021년06월_여_20~29세,"37,466","1,177","2,524","1,895","1,611","2,050",841,"1,991","1,172","2,090","1,743","4,202","2,589","1,531","2,105",353,"1,347","1,638","2,762","1,222","1,040",844,739
2021년06월_여_30~39세,"42,784","1,256","2,921","2,384","1,827","2,402","1,002","2,717",871,"1,768","1,818","5,089","2,833","1,717","2,004",354,"1,438","1,884","3,512","1,523","1,047","1,337","1,080"
2021년06월_여_40~49세,"52,465","1,574","1,958","2,015","2,547","2,566","1,126","3,396","3,335","3,982","2,255","3,038","4,568","2,047","3,599",484,"1,956","2,107","4,050","2,431","1,032","1,620",779
2021년06월_여_50~59세,"40,003","1,277","1,415","1,521","2,118","2,081","1,129","2,106","1,721","3,128","1,602","1,965","2,294","1,754","2,735",513,"1,939","1,996","3,037","1,902","1,254","1,331","1,185"
2021년06월_여_60~69세,"32,720",967,"1,252","1,283","1,778","1,625",922,"1,342","1,028","2,181",859,"1,594","1,460","1,333","1,897",641,"1,632","1,652","2,797","1,587","1,407","1,493","1,990"
2021년06월_여_70~79세,"18,022",779,712,786,"1,266",901,479,905,532,"1,070",602,855,940,619,"1,048",347,647,698,"1,420",568,748,908,"1,192"
2021년06월_여_80~89세,"6,940",321,281,288,521,328,177,285,180,333,167,305,289,281,397,132,215,235,795,248,358,309,495
2021년06월_여_90~99세,"1,692",69,50,61,120,83,42,63,54,78,37,72,61,62,102,36,67,58,202,96,89,61,129
2021년06월_여_100세 이상,103,5,6,2,9,8,2,7,3,4,1,9,7,2,7,6,4,4,2,3,4,5,3
