카테고리,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2020년11월_계_90~99세,"1,632",132,88,72,108,69,72,60,71,143,236,66,82,84,163,86,100
2020년11월_계_100세 이상,370,31,22,32,34,19,14,14,13,43,33,14,22,15,35,6,23
2020년11월_남_총인구수,"110,776","8,601","4,826","4,648","9,322","7,743","6,696","4,861","5,868","9,787","13,176","4,104","3,298","4,261","10,189","6,354","7,042"
2020년11월_남_연령구간인구수,"110,776","8,601","4,826","4,648","9,322","7,743","6,696","4,861","5,868","9,787","13,176","4,104","3,298","4,261","10,189","6,354","7,042"
2020년11월_남_0~9세,"7,011",497,195,95,330,672,468,409,385,579,"1,450",289,123,227,636,403,253
2020년11월_남_10~19세,"7,991",710,282,144,635,449,506,400,437,526,"1,471",261,145,236,586,756,447
2020년11월_남_20~29세,"15,920","1,300",809,461,"1,696","1,030",882,731,882,"1,404","1,470",479,535,693,"1,406",894,"1,248"
2020년11월_남_30~39세,"19,017","1,481",906,555,"1,686","1,797","1,054",919,996,"1,899","1,636",741,627,823,"1,975",735,"1,187"
2020년11월_남_40~49세,"17,537","1,343",713,703,"1,395","1,365","1,128",742,910,"1,389","2,214",622,440,668,"1,676","1,174","1,055"
2020년11월_남_50~59세,"18,332","1,397",674,"1,146","1,543","1,083","1,163",757,980,"1,719","2,201",650,535,577,"1,576","1,113","1,218"
2020년11월_남_60~69세,"13,705","1,050",648,954,"1,105",793,816,491,699,"1,273","1,430",596,476,501,"1,295",698,880
2020년11월_남_70~79세,"7,440",588,417,402,632,376,468,263,409,660,743,336,244,352,697,326,527
2020년11월_남_80~89세,"3,209",193,154,143,265,151,187,123,151,271,461,117,144,157,284,221,187
2020년11월_남_90~99세,507,36,22,29,25,22,20,24,14,53,92,11,23,24,48,31,33
2020년11월_남_100세 이상,107,6,6,16,10,5,4,2,5,14,8,2,6,3,10,3,7
2020년11월_여_총인구수,"119,375","9,096","5,210","2,994","10,539","8,326","7,543","5,382","6,443","10,501","15,007","4,643","3,662","4,993","10,996","6,864","7,176"
2020년11월_여_연령구간인구수,"119,375","9,096","5,210","2,994","10,539","8,326","7,543","5,382","6,443","10,501","15,007","4,643","3,662","4,993","10,996","6,864","7,176"
2020년11월_여_0~9세,"6,559",468,176,100,349,648,468,369,387,529,"1,312",274,121,211,557,380,210
2020년11월_여_10~19세,"7,714",569,267,120,552,425,769,371,409,466,"1,460",253,143,252,576,737,345
2020년11월_여_20~29세,"17,508","1,290",745,504,"2,544","1,406",986,854,958,"1,710","1,538",494,511,707,"1,382",901,978
2020년11월_여_30~39세,"19,086","1,351",863,488,"1,446","1,893","1,024",959,"1,030","2,116","2,035",731,526,830,"2,051",783,960
2020년11월_여_40~49세,"18,203","1,447",684,393,"1,371","1,268","1,180",827,944,"1,459","2,725",632,451,752,"1,718","1,306","1,046"
2020년11월_여_50~59세,"18,725","1,469",783,481,"1,581","1,109","1,197",819,"1,005","1,725","2,384",755,611,716,"1,705","1,107","1,278"
2020년11월_여_60~69세,"15,049","1,217",802,412,"1,273",836,910,560,846,"1,236","1,556",745,599,694,"1,487",723,"1,153"
2020년11월_여_70~79세,"9,808",756,507,294,901,467,592,375,560,758,"1,092",442,396,497,936,487,748
2020년11월_여_80~89세,"5,335",408,301,143,415,213,355,200,239,383,736,250,229,262,444,382,375
2020년11월_여_90~99세,"1,125",96,66,43,83,47,52,36,57,90,144,55,59,60,115,55,67
2020년11월_여_100세 이상,263,25,16,16,24,14,10,12,8,29,25,12,16,12,25,3,16
