,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2020년11월_계_100세 이상,109,23,5,0,5,7,3,2,5,6,6,0,8,8,5,0,0,3,2,14,7,0
2020년11월_남_총인구수,"105,726","7,887","1,750",852,"2,131","2,268","1,831","2,366","3,312","7,527","2,385","1,732","12,806","3,934","5,187","6,430","2,378","4,856","8,296","9,066","14,211","4,521"
2020년11월_남_연령구간인구수,"105,726","7,887","1,750",852,"2,131","2,268","1,831","2,366","3,312","7,527","2,385","1,732","12,806","3,934","5,187","6,430","2,378","4,856","8,296","9,066","14,211","4,521"
2020년11월_남_0~9세,"6,976",312,71,23,113,56,64,106,195,706,83,52,949,188,236,306,126,442,743,464,"1,344",397
2020년11월_남_10~19세,"10,019",508,109,14,155,97,97,121,261,797,142,95,"1,571",342,400,655,214,548,789,853,"1,864",387
2020년11월_남_20~29세,"13,777",838,187,56,222,266,164,252,282,894,307,184,"1,937",488,675,875,333,612,"1,389","1,150","1,884",782
2020년11월_남_30~39세,"11,390",628,115,56,164,189,130,226,314,"1,050",249,165,"1,331",434,509,693,298,638,"1,080",891,"1,676",554
2020년11월_남_40~49세,"16,467","1,081",222,72,281,284,186,325,508,"1,272",325,238,"2,137",528,781,958,344,804,"1,419","1,379","2,576",747
2020년11월_남_50~59세,"18,410","1,498",356,178,387,436,393,445,578,"1,211",425,324,"2,258",735,980,"1,205",454,763,"1,211","1,621","2,245",707
2020년11월_남_60~69세,"16,065","1,612",373,245,457,488,449,497,643,915,436,313,"1,478",685,868,"1,048",364,670,"1,020","1,385","1,597",522
2020년11월_남_70~79세,"8,722",960,213,144,237,295,246,263,374,477,286,249,766,374,522,511,161,250,458,908,715,313
2020년11월_남_80~89세,"3,542",398,93,59,98,132,93,123,140,187,109,110,360,148,196,170,75,115,174,379,282,101
2020년11월_남_90~99세,330,48,10,5,15,20,9,7,14,17,22,2,19,10,19,9,9,14,13,32,25,11
2020년11월_남_100세 이상,28,4,1,0,2,5,0,1,3,1,1,0,0,2,1,0,0,0,0,4,3,0
2020년11월_여_총인구수,"107,463","8,215","1,684",742,"2,011","2,032","1,734","2,184","3,308","7,876","2,647","1,653","13,395","3,946","5,351","6,627","2,463","5,178","8,421","9,085","14,564","4,347"
2020년11월_여_연령구간인구수,"107,463","8,215","1,684",742,"2,011","2,032","1,734","2,184","3,308","7,876","2,647","1,653","13,395","3,946","5,351","6,627","2,463","5,178","8,421","9,085","14,564","4,347"
2020년11월_여_0~9세,"6,551",286,56,6,83,44,56,94,197,664,82,47,893,179,203,296,164,469,732,487,"1,158",355
2020년11월_여_10~19세,"9,057",434,93,21,130,88,68,96,228,757,153,70,"1,492",304,363,557,193,497,766,722,"1,666",359
2020년11월_여_20~29세,"11,374",602,116,43,139,143,96,160,223,853,288,131,"1,662",431,630,786,235,530,"1,186",868,"1,598",654
2020년11월_여_30~39세,"10,275",505,86,22,167,108,87,177,275,"1,002",200,126,"1,292",325,400,572,247,665,"1,100",756,"1,661",502
2020년11월_여_40~49세,"15,887",886,162,42,205,148,137,255,449,"1,391",307,169,"2,467",526,682,927,386,866,"1,305","1,203","2,660",714
2020년11월_여_50~59세,"18,293","1,445",342,147,326,339,302,405,590,"1,230",383,278,"2,214",717,"1,030","1,275",487,888,"1,315","1,571","2,341",668
2020년11월_여_60~69세,"17,482","1,826",344,219,436,470,407,478,672,998,560,372,"1,705",749,"1,070","1,207",379,702,"1,072","1,536","1,718",562
2020년11월_여_70~79세,"10,863","1,315",218,138,272,380,315,281,382,594,392,309,"1,016",432,635,602,210,325,558,"1,175","1,017",297
2020년11월_여_80~89세,"6,293",739,225,86,194,261,228,194,249,314,215,128,536,228,281,323,135,188,324,641,622,182
2020년11월_여_90~99세,"1,307",158,38,18,56,49,35,43,41,68,62,23,110,49,53,82,27,45,61,116,119,54
2020년11월_여_100세 이상,81,19,4,0,3,2,3,1,2,5,5,0,8,6,4,0,0,3,2,10,4,0
