,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 유천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2021년11월_여_0~9세,"18,002",784,250,160,"1,020",290,597,906,800,569,409,625,"1,055","1,894",231,"2,017","2,471","1,294",503,139,"1,008",379,324,277
2021년11월_여_10~19세,"25,467","1,038",348,249,"1,060",434,766,"1,555","1,297","1,149",626,"1,079","1,120","3,547",528,"2,277","2,296","1,970",642,260,"1,629",596,582,419
2021년11월_여_20~29세,"35,560","1,348","1,214",626,"2,018","1,069","1,118","2,251","2,070","1,817","1,098","3,250","1,133","1,752",766,"3,228","1,156","2,171","1,594",472,"2,206","1,361","1,146",696
2021년11월_여_30~39세,"29,866","1,231",874,437,"1,758",752,"1,006","1,514","1,457","1,154",901,"1,473","1,375","1,963",531,"3,156","2,584","1,824","1,237",432,"1,789",958,849,611
2021년11월_여_40~49세,"43,913","1,719",785,509,"1,988",908,"1,372","2,632","2,289","1,874","1,137","2,045","1,949","4,934","1,029","4,174","3,695","3,235","1,276",549,"2,592","1,244","1,133",845
2021년11월_여_50~59세,"52,635","2,027","1,239",767,"2,659","1,419","1,757","3,432","3,377","2,657","1,831","3,121","1,869","2,595","1,465","5,038","1,608","3,649","2,048","1,152","3,974","1,913","1,774","1,264"
2021년11월_여_60~69세,"40,295","2,091","1,338",744,"2,010","1,181","1,241","1,921","1,824","1,334","1,375","2,060","1,407","1,427","1,755","3,788",975,"2,668","1,645","1,480","3,125","1,839","1,898","1,169"
2021년11월_여_70~79세,"19,401","1,148",856,509,847,536,574,819,798,609,509,"1,081",547,685,"1,266","1,723",414,"1,139",695,770,"1,229",965,"1,072",610
2021년11월_여_80~89세,"10,242",558,416,252,373,259,267,416,418,336,231,647,256,335,691,902,137,638,373,496,748,511,612,370
2021년11월_여_90~99세,"1,467",72,53,29,53,28,38,56,45,40,29,94,47,63,86,137,21,108,64,76,108,69,88,63
2021년11월_여_100세 이상,42,8,6,0,1,0,1,1,1,2,2,1,0,2,3,2,2,1,3,1,2,2,1,0
