,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2021년03월_남_60~69세,"4,260",490,32,699,36,26,129,32,325,249,379,258,25,216,40,26,34,37,181,165,178,306,36,120,241
2021년03월_남_70~79세,"2,849",309,13,391,20,25,115,28,217,191,288,186,17,132,14,10,19,21,140,94,128,212,25,95,159
2021년03월_남_80~89세,"1,202",139,11,175,6,13,55,13,64,98,105,81,2,63,7,3,6,2,49,30,59,105,5,35,76
2021년03월_남_90~99세,93,10,0,12,1,1,3,0,2,5,6,7,0,2,0,0,1,1,5,4,5,11,2,3,12
2021년03월_남_100세 이상,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2021년03월_여_총인구수,"18,055","2,009",115,"2,643",119,100,669,130,"1,497","1,074","1,663","1,226",92,997,158,97,204,131,813,700,738,"1,295",124,487,974
2021년03월_여_연령구간인구수,"18,055","2,009",115,"2,643",119,100,669,130,"1,497","1,074","1,663","1,226",92,997,158,97,204,131,813,700,738,"1,295",124,487,974
2021년03월_여_0~9세,761,62,3,99,5,4,23,4,96,34,68,55,2,44,4,7,15,6,37,39,37,57,5,11,44
2021년03월_여_10~19세,975,115,4,157,3,2,20,1,105,47,104,112,3,47,9,6,10,10,47,50,36,43,2,14,28
2021년03월_여_20~29세,"1,080",99,3,200,4,2,42,9,89,60,104,64,5,78,17,7,22,12,43,57,33,76,5,6,43
2021년03월_여_30~39세,953,100,6,141,5,3,24,2,88,40,80,59,7,65,9,4,14,11,49,49,39,70,10,28,50
2021년03월_여_40~49세,"1,416",155,5,223,6,6,49,9,134,78,149,104,6,84,20,5,24,8,65,66,50,71,10,30,59
2021년03월_여_50~59세,"2,717",298,15,461,15,13,99,22,224,183,230,161,20,153,29,16,40,18,113,106,82,171,23,65,160
2021년03월_여_60~69세,"3,450",392,22,551,29,24,116,36,273,221,319,200,21,154,28,18,34,27,148,120,158,247,28,96,188
2021년03월_여_70~79세,"3,453",414,28,430,34,30,160,29,286,224,328,222,13,183,26,13,21,19,146,106,150,267,19,118,187
2021년03월_여_80~89세,"2,830",322,27,320,17,15,121,17,185,169,239,226,13,145,16,19,24,15,147,96,134,245,21,102,195
2021년03월_여_90~99세,413,52,2,60,1,1,15,1,17,17,42,22,2,42,0,2,0,5,18,10,18,48,1,17,20
2021년03월_여_100세 이상,7,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0
