,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2020년03월_계_100세 이상,123,4,11,1,10,9,3,14,11,2,15,9,3,1,6,1,4,3,4,8,4
2020년03월_남_총인구수,"264,508","15,818","18,043","14,391","7,953","11,658","11,335","14,533","14,620","7,790","12,415","9,230","10,814","8,113","12,405","10,343","19,750","11,187","16,447","16,832","20,831"
2020년03월_남_연령구간인구수,"264,508","15,818","18,043","14,391","7,953","11,658","11,335","14,533","14,620","7,790","12,415","9,230","10,814","8,113","12,405","10,343","19,750","11,187","16,447","16,832","20,831"
2020년03월_남_0~9세,"23,036","1,759","1,974",890,415,761,922,903,986,412,975,739,805,392,855,916,"3,207",737,"1,533","1,415","2,440"
2020년03월_남_10~19세,"26,169","1,479","2,374",873,637,900,"1,139","1,098","1,218",585,"1,259",886,"1,089",544,"1,236","1,185","1,859","1,105","1,914","1,853","2,936"
2020년03월_남_20~29세,"37,338","2,126","2,298","2,922","1,156","1,706","1,563","2,162","2,221","1,026","1,777","1,325","1,624","1,244","1,887","1,328","1,967","1,654","2,290","2,499","2,563"
2020년03월_남_30~39세,"39,047","2,470","2,248","3,018","1,025","1,840","1,501","2,132","2,264","1,048","1,691","1,295","1,566","1,126","1,578","1,313","3,949","1,269","2,495","2,591","2,628"
2020년03월_남_40~49세,"45,918","2,897","3,308","2,427","1,299","1,883","2,040","2,367","2,314","1,237","2,143","1,493","1,667","1,211","1,875","1,787","3,743","1,862","3,023","2,989","4,353"
2020년03월_남_50~59세,"44,858","2,526","2,943","2,133","1,623","2,022","1,898","2,758","2,608","1,538","2,120","1,670","1,865","1,560","2,389","1,697","2,309","2,252","2,747","2,781","3,419"
2020년03월_남_60~69세,"30,215","1,654","1,824","1,331","1,063","1,478","1,376","1,912","1,908","1,163","1,538","1,165","1,381","1,233","1,648","1,356","1,829","1,460","1,596","1,622","1,678"
2020년03월_남_70~79세,"13,475",692,830,589,544,802,676,899,828,565,707,516,601,614,680,564,724,638,629,775,602
2020년03월_남_80~89세,"4,024",195,210,185,177,253,185,272,246,199,182,125,188,181,229,180,151,194,199,279,194
2020년03월_남_90~99세,399,20,30,23,13,12,34,24,25,17,19,12,28,8,28,17,11,14,20,26,18
2020년03월_남_100세 이상,29,0,4,0,1,1,1,6,2,0,4,4,0,0,0,0,1,2,1,2,0
2020년03월_여_총인구수,"267,452","16,614","18,536","14,413","7,734","11,916","11,189","14,498","14,647","8,321","12,853","9,125","11,256","7,991","13,028","10,481","20,087","10,593","16,343","16,510","21,317"
2020년03월_여_연령구간인구수,"267,452","16,614","18,536","14,413","7,734","11,916","11,189","14,498","14,647","8,321","12,853","9,125","11,256","7,991","13,028","10,481","20,087","10,593","16,343","16,510","21,317"
2020년03월_여_0~9세,"21,738","1,707","1,823",762,355,667,849,880,933,378,968,693,812,351,799,890,"3,052",720,"1,508","1,306","2,285"
2020년03월_여_10~19세,"25,020","1,562","2,189",886,548,822,"1,019","1,139","1,209",546,"1,272",847,"1,001",538,"1,221","1,101","1,683",936,"1,820","1,671","3,010"
2020년03월_여_20~29세,"34,883","2,145","2,098","3,463","1,038","1,630","1,396","2,052","2,136","1,000","1,606","1,226","1,394","1,043","1,697","1,151","2,029","1,324","2,013","2,143","2,299"
2020년03월_여_30~39세,"37,029","2,665","2,542","2,489",814,"1,587","1,436","1,906","1,992",934,"1,579","1,117","1,416",866,"1,470","1,300","4,181","1,164","2,277","2,199","3,095"
2020년03월_여_40~49세,"44,326","2,716","3,546","2,083","1,139","1,740","1,912","2,109","2,275","1,117","2,148","1,422","1,795","1,025","2,064","1,775","3,385","1,694","2,924","2,854","4,603"
2020년03월_여_50~59세,"46,192","2,676","2,931","2,216","1,576","2,152","1,905","2,750","2,710","1,585","2,322","1,695","2,063","1,639","2,604","1,837","2,644","2,155","2,779","2,804","3,149"
2020년03월_여_60~69세,"32,244","1,829","2,028","1,441","1,149","1,685","1,480","1,988","1,884","1,287","1,742","1,190","1,549","1,398","1,634","1,426","1,920","1,416","1,699","1,840","1,659"
2020년03월_여_70~79세,"16,434",807,932,722,711,"1,023",779,"1,096",926,875,799,620,729,767,881,646,781,740,824,"1,030",746
2020년03월_여_80~89세,"7,955",413,353,303,341,500,342,486,476,522,336,258,417,305,533,302,343,383,400,553,389
2020년03월_여_90~99세,"1,537",90,87,47,54,102,69,84,97,75,70,52,77,58,119,52,66,60,96,104,78
2020년03월_여_100세 이상,94,4,7,1,9,8,2,8,9,2,11,5,3,1,6,1,3,1,3,6,4
