,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2020년08월_남_10~19세,"20,634","2,303","1,635","1,350","1,386","1,991",981,"1,409",501,"1,005",958,"1,000",686,928,590,"1,083","1,624",5,"1,199"
2020년08월_남_20~29세,"30,350","1,983","1,875","1,653","1,125","1,372","1,217","2,535",984,989,"1,923","2,411","1,871","1,336","1,800","1,896","3,440",10,"1,930"
2020년08월_남_30~39세,"35,698","1,552","2,524","2,138",921,"1,747","1,793","2,836","1,434","1,214","2,182","3,252","2,408","1,634","2,269","1,809","3,937",13,"2,035"
2020년08월_남_40~49세,"36,929","2,629","2,883","2,058","1,393","2,761","1,854","2,898","1,231","1,613","2,152","2,635","2,000","1,651","1,833","1,779","3,534",25,"2,000"
2020년08월_남_50~59세,"35,313","2,470","2,288","1,960","1,365","1,800","1,614","2,995","1,072","1,300","2,216","2,952","2,249","1,444","1,922","1,884","3,638",18,"2,126"
2020년08월_남_60~69세,"29,377","1,764","1,919","1,650","1,175","1,342","1,349","2,360",893,"1,128","2,052","2,389","1,895","1,162","1,720","1,421","3,250",25,"1,883"
2020년08월_남_70~79세,"14,613",946,753,769,507,518,567,"1,236",518,519,"1,082","1,290",993,652,917,804,"1,635",14,893
2020년08월_남_80~89세,"3,778",332,148,204,112,161,130,308,131,133,266,352,255,172,268,176,403,8,219
2020년08월_남_90~99세,386,43,13,22,18,25,21,36,12,12,19,29,15,25,19,18,33,1,25
2020년08월_남_100세 이상,64,4,3,2,0,10,3,5,2,4,4,8,5,0,5,3,4,1,1
2020년08월_여_총인구수,"232,227","16,374","16,666","13,544","8,862","12,992","10,462","18,108","7,994","9,364","14,044","17,653","13,680","10,447","12,366","11,919","23,889",136,"13,727"
2020년08월_여_연령구간인구수,"232,227","16,374","16,666","13,544","8,862","12,992","10,462","18,108","7,994","9,364","14,044","17,653","13,680","10,447","12,366","11,919","23,889",136,"13,727"
2020년08월_여_0~9세,"16,706","1,218","1,996","1,036",586,"1,528","1,155","1,144",706,"1,000",766,877,657,745,521,628,"1,263",2,878
2020년08월_여_10~19세,"18,620","2,160","1,620","1,225","1,161","1,486",890,"1,309",540,936,870,927,673,856,632,742,"1,489",4,"1,100"
2020년08월_여_20~29세,"31,011","1,971","1,740","1,655","1,067","1,157","1,083","2,347","1,043",994,"1,942","2,644","2,339","1,394","2,188","1,760","3,739",8,"1,940"
2020년08월_여_30~39세,"35,861","1,798","2,923","2,081",945,"2,027","1,845","2,662","1,476","1,429","1,963","3,055","2,397","1,720","2,058","1,767","3,729",12,"1,974"
2020년08월_여_40~49세,"36,658","2,851","2,848","2,237","1,717","2,706","1,687","2,765","1,221","1,635","1,966","2,467","1,825","1,751","1,676","1,882","3,381",26,"2,017"
2020년08월_여_50~59세,"37,280","2,530","2,528","2,164","1,407","1,761","1,595","3,091","1,181","1,393","2,442","2,925","2,145","1,618","1,965","2,090","4,052",12,"2,381"
2020년08월_여_60~69세,"32,443","2,018","1,989","1,887","1,234","1,364","1,376","2,632","1,016","1,192","2,300","2,603","2,036","1,379","1,903","1,771","3,670",28,"2,045"
2020년08월_여_70~79세,"15,549","1,109",673,810,445,569,527,"1,450",575,532,"1,202","1,472","1,069",660,973,875,"1,702",26,880
2020년08월_여_80~89세,"6,459",594,270,349,224,274,236,587,193,196,474,545,448,266,368,332,688,4,411
2020년08월_여_90~99세,"1,454",114,75,92,69,103,67,100,33,53,109,121,81,53,68,63,157,7,89
2020년08월_여_100세 이상,186,11,4,8,7,17,1,21,10,4,10,17,10,5,14,9,19,7,12
