,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2020년09월_여_총인구수,"174,401","20,820","1,169","1,523","2,778","4,157","2,860","3,426","2,680","1,661","1,154","9,891","15,281","16,998","12,084","15,370","17,726","15,856","9,991","5,519","13,457"
2020년09월_여_연령구간인구수,"174,401","20,820","1,169","1,523","2,778","4,157","2,860","3,426","2,680","1,661","1,154","9,891","15,281","16,998","12,084","15,370","17,726","15,856","9,991","5,519","13,457"
2020년09월_여_0~9세,"22,822","1,604",46,50,171,160,107,179,97,45,49,"1,326","2,122","2,075","1,815","2,386","3,054","2,745","1,607",785,"2,399"
2020년09월_여_10~19세,"20,713","2,070",49,62,165,199,146,202,173,61,95,"1,675","1,966","2,291","2,076","2,093","2,313","1,643","1,252",523,"1,659"
2020년09월_여_20~29세,"17,902","2,752",146,118,246,355,371,314,237,121,113,835,"2,066","2,168",860,"1,386","1,373","1,594",986,653,"1,208"
2020년09월_여_30~39세,"31,112","2,478",107,124,261,340,270,259,202,98,73,"1,467","3,244","3,163","2,027","3,048","3,669","3,872","2,076","1,171","3,163"
2020년09월_여_40~49세,"32,825","3,241",108,126,329,385,310,362,283,134,138,"2,354","3,018","3,602","3,122","3,159","3,714","2,901","1,944",945,"2,650"
2020년09월_여_50~59세,"21,162","3,167",218,242,467,729,564,540,482,290,195,"1,209","1,591","1,851","1,203","1,595","1,801","1,757","1,123",817,"1,321"
2020년09월_여_60~69세,"14,650","2,659",220,313,498,838,503,663,448,388,186,586,821,"1,011",604,"1,022","1,205",876,657,411,741
2020년09월_여_70~79세,"7,629","1,744",144,227,359,614,309,510,385,263,156,273,275,484,238,423,421,292,212,114,186
2020년09월_여_80~89세,"4,627",926,107,211,252,448,240,336,302,213,130,139,142,285,111,222,139,136,106,78,104
2020년09월_여_90~99세,916,167,22,47,29,85,38,58,66,43,19,25,36,68,28,36,37,37,28,22,25
2020년09월_여_100세 이상,43,12,2,3,1,4,2,3,5,5,0,2,0,0,0,0,0,3,0,0,1
