카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 산동읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 공단동
2021년02월_남_50~59세,"35,647","1,461","3,872","1,130",209,177,241,489,341,"2,105",504,328,"2,810",258,"3,587","1,430","1,835",345,345,"1,109",398,"3,204","1,705","3,612",949,"2,870",333
2021년02월_남_60~69세,"20,697","1,394","2,303",547,255,235,257,495,331,"1,588",370,369,"1,821",261,"2,036",926,"1,153",245,223,506,243,"1,147",665,"1,753",417,974,183
2021년02월_남_70~79세,"7,094",645,695,184,129,135,171,268,219,551,145,179,520,110,579,322,306,100,71,149,109,322,163,540,146,299,37
2021년02월_남_80~89세,"2,537",288,287,77,77,77,91,175,100,133,34,58,184,35,166,84,69,33,35,29,29,105,57,162,30,117,5
2021년02월_남_90~99세,218,19,26,12,11,8,10,15,7,4,2,5,15,0,9,4,7,1,3,2,4,12,5,17,7,13,0
2021년02월_남_100세 이상,6,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2021년02월_여_총인구수,"202,081","7,532","18,268","12,727",940,834,"1,080","1,967","1,546","12,321","1,674","1,516","15,155","1,072","19,327","7,377","8,395","1,478","1,495","6,306","2,013","14,894","9,037","23,375","7,497","22,276","1,979"
2021년02월_여_연령구간인구수,"202,081","7,532","18,268","12,727",940,834,"1,080","1,967","1,546","12,321","1,674","1,516","15,155","1,072","19,327","7,377","8,395","1,478","1,495","6,306","2,013","14,894","9,037","23,375","7,497","22,276","1,979"
2021년02월_여_0~9세,"19,761",428,"1,637","2,769",21,7,24,32,24,894,33,36,"1,093",41,"1,867",515,386,74,135,828,148,"1,427","1,061","2,211",453,"3,345",272
2021년02월_여_10~19세,"21,447",562,"1,813","1,088",31,33,42,75,96,"1,214",48,61,"1,752",62,"2,368",756,889,84,100,565,178,"1,794","1,155","2,852",534,"3,183",112
2021년02월_여_20~29세,"24,966",584,"1,960","1,327",40,32,54,115,107,"1,556",224,123,"1,698",82,"2,323",858,"1,160",235,198,821,269,"2,027","1,050","3,276","2,080","2,495",272
2021년02월_여_30~39세,"30,322",612,"2,207","3,753",35,26,34,74,79,"1,571",227,82,"1,706",59,"2,513",825,734,173,207,"1,254",265,"1,985","1,441","4,019","1,722","4,250",469
2021년02월_여_40~49세,"36,124",942,"3,033","1,935",49,47,74,155,170,"2,035",294,143,"2,701",124,"3,785","1,329","1,513",184,195,"1,026",337,"3,145","1,941","4,626","1,193","4,854",294
2021년02월_여_50~59세,"34,214","1,478","3,902",941,156,152,161,331,278,"2,362",344,299,"3,199",229,"3,587","1,578","2,035",292,291,"1,106",404,"2,804","1,429","3,382",774,"2,394",306
2021년02월_여_60~69세,"19,639","1,330","1,975",471,228,192,255,430,307,"1,769",276,383,"1,879",258,"1,798",953,"1,105",234,192,470,242,"1,000",568,"1,718",454,965,187
2021년02월_여_70~79세,"8,979",799,929,213,171,143,208,390,247,614,145,252,695,126,667,346,375,141,109,142,115,429,241,791,176,468,47
2021년02월_여_80~89세,"5,635",658,673,201,179,173,198,315,205,267,62,122,381,75,353,193,170,50,59,81,49,238,130,429,88,273,13
2021년02월_여_90~99세,948,134,133,27,30,28,29,47,31,36,18,14,50,15,64,24,25,11,6,13,6,44,20,69,21,47,6
2021년02월_여_100세 이상,46,5,6,2,0,1,1,3,2,3,3,1,1,1,2,0,3,0,3,0,0,1,1,2,2,2,1
