카테고리,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 진월동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2021년09월_남_연령구간인구수,"102,962","3,236","3,182","4,247","6,366","13,403","2,702","3,833","4,398","3,219","5,784","3,164","10,561","4,014","13,743","7,737","10,262","3,111"
2021년09월_남_0~9세,"8,600",212,259,238,414,"1,404",130,194,161,119,472,246,853,225,"1,036",802,"1,620",215
2021년09월_남_10~19세,"11,312",375,324,382,644,"2,439",157,232,307,177,545,210,"1,146",283,"1,910",905,"1,088",188
2021년09월_남_20~29세,"14,147",396,434,616,999,"1,650",348,487,630,478,751,448,"1,593",580,"2,193","1,001","1,252",291
2021년09월_남_30~39세,"12,461",312,381,440,781,"1,198",336,465,577,421,693,465,"1,305",488,"1,345","1,105","1,834",315
2021년09월_남_40~49세,"16,775",500,525,609,985,"2,508",417,624,640,467,908,492,"1,707",549,"2,185","1,348","1,859",452
2021년09월_남_50~59세,"15,588",494,469,676,961,"1,982",470,640,743,563,884,470,"1,652",644,"2,233",965,"1,237",505
2021년09월_남_60~69세,"13,184",426,398,624,871,"1,308",407,569,733,584,836,424,"1,361",682,"1,524",925,900,612
2021년09월_남_70~79세,"7,787",364,284,476,471,627,310,452,449,304,473,294,714,415,922,519,357,356
2021년09월_남_80~89세,"2,861",139,98,171,217,261,119,157,143,99,202,110,223,136,363,150,106,167
2021년09월_남_90~99세,240,16,8,15,23,26,8,13,15,7,20,5,6,11,32,17,9,9
2021년09월_남_100세 이상,7,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
2021년09월_여_총인구수,"111,333","3,828","3,497","4,745","7,176","15,275","2,524","3,617","4,169","3,223","6,481","3,243","11,260","4,089","15,670","8,409","10,936","3,191"
2021년09월_여_연령구간인구수,"111,333","3,828","3,497","4,745","7,176","15,275","2,524","3,617","4,169","3,223","6,481","3,243","11,260","4,089","15,670","8,409","10,936","3,191"
2021년09월_여_0~9세,"8,326",224,249,219,389,"1,426",132,192,158,116,447,222,810,238,"1,085",767,"1,482",170
2021년09월_여_10~19세,"11,291",373,325,365,634,"2,417",133,188,257,164,584,216,"1,085",267,"2,161",825,"1,082",215
2021년09월_여_20~29세,"13,463",405,404,587,966,"1,543",293,372,521,438,728,544,"1,577",483,"2,026","1,102","1,251",223
2021년09월_여_30~39세,"12,609",328,416,396,750,"1,523",275,386,438,327,705,432,"1,276",410,"1,545","1,152","1,982",268
2021년09월_여_40~49세,"17,272",532,533,615,"1,041","3,038",313,393,485,342,950,376,"1,762",530,"2,744","1,388","1,880",350
2021년09월_여_50~59세,"17,238",602,502,798,"1,163","2,318",385,536,710,592,999,465,"1,908",721,"2,487","1,137","1,442",473
2021년09월_여_60~69세,"15,679",589,519,808,"1,087","1,640",422,619,797,646,"1,073",491,"1,522",763,"1,928","1,101","1,092",582
2021년09월_여_70~79세,"9,680",498,359,601,662,812,366,593,521,391,656,324,880,465,"1,071",597,423,461
2021년09월_여_80~89세,"4,846",234,166,304,405,457,183,288,244,176,274,145,368,186,525,275,237,379
2021년09월_여_90~99세,897,43,20,50,76,99,21,49,36,31,64,28,69,25,98,59,63,66
2021년09월_여_100세 이상,32,0,4,2,3,2,1,1,2,0,1,0,3,1,0,6,2,4
