,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2021년09월_여_연령구간인구수,"149,003","1,905","2,363","5,494","2,365","3,994","5,391","15,840","12,434","12,224","8,198","10,317","5,106","8,047","2,812","10,576","14,681","18,701","8,555"
2021년09월_여_0~9세,"9,850",49,172,278,75,237,373,"1,058",798,534,397,"1,073",229,483,184,582,"1,203","1,373",752
2021년09월_여_10~19세,"14,349",70,153,265,90,295,604,"1,416","1,216",800,505,"1,015",449,682,187,945,"2,069","2,373","1,215"
2021년09월_여_20~29세,"21,896",171,215,807,403,499,837,"2,914","2,336","2,263","1,707","1,083",680,990,325,"1,346","1,865","2,553",902
2021년09월_여_30~39세,"17,314",144,283,702,255,450,646,"2,075","1,611","1,360","1,136","1,468",518,811,321,"1,022","1,584","2,012",916
2021년09월_여_40~49세,"24,383",170,323,705,274,543,948,"2,589","1,936","1,552","1,040","1,884",668,"1,166",329,"1,607","3,025","3,847","1,777"
2021년09월_여_50~59세,"25,180",271,335,838,411,740,898,"2,843","1,973","2,002","1,210","1,495",905,"1,452",554,"2,104","2,627","3,196","1,326"
2021년09월_여_60~69세,"18,872",411,439,879,422,630,504,"1,501","1,446","1,824","1,078","1,326",894,"1,441",444,"1,611","1,288","1,750",984
2021년09월_여_70~79세,"10,772",420,301,650,265,376,364,869,737,"1,183",688,662,472,636,247,813,624,"1,007",458
2021년09월_여_80~89세,"5,402",177,121,318,144,191,184,510,317,602,368,251,233,322,174,476,326,507,181
2021년09월_여_90~99세,941,21,21,49,25,30,33,63,61,95,67,58,55,61,45,68,64,82,43
2021년09월_여_100세 이상,44,1,0,3,1,3,0,2,3,9,2,2,3,3,2,2,6,1,1
