,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020년07월_남_70~79세,"5,472",413,129,282,250,68,197,341,135,151,172,113,46,158,176,85,27,198,108,35,192,186,65,475,306,303,353,215,293
2020년07월_남_80~89세,"2,615",214,53,152,125,56,115,163,70,83,80,66,25,72,112,53,13,98,55,31,94,100,30,159,128,132,141,81,114
2020년07월_남_90~99세,242,18,5,8,13,4,12,16,10,6,7,8,0,10,14,4,0,12,2,3,8,16,5,13,7,11,11,6,13
2020년07월_남_100세 이상,10,2,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020년07월_여_총인구수,"49,961","3,447",742,"1,982","1,594",510,"1,391","2,030",841,963,"1,299",869,397,"1,016","1,440",614,165,"1,488",619,183,"1,138","1,101",435,"6,375","4,618","4,111","4,223","1,867","4,503"
2020년07월_여_연령구간인구수,"49,961","3,447",742,"1,982","1,594",510,"1,391","2,030",841,963,"1,299",869,397,"1,016","1,440",614,165,"1,488",619,183,"1,138","1,101",435,"6,375","4,618","4,111","4,223","1,867","4,503"
2020년07월_여_0~9세,"2,551",137,14,58,47,14,39,45,31,34,51,28,11,33,57,17,4,53,13,5,18,20,12,469,368,268,251,87,367
2020년07월_여_10~19세,"3,687",276,36,66,76,20,43,83,25,29,76,34,20,55,80,28,5,81,19,5,50,61,21,604,409,415,409,163,498
2020년07월_여_20~29세,"3,490",193,26,63,68,20,57,83,38,40,64,38,18,51,78,40,4,47,20,4,35,42,30,590,446,338,376,128,553
2020년07월_여_30~39세,"3,506",210,31,92,53,16,70,81,41,44,60,32,24,44,79,22,6,71,17,4,39,27,20,618,533,348,356,136,432
2020년07월_여_40~49세,"5,483",343,38,113,116,28,82,111,34,59,105,67,18,71,125,55,11,141,35,11,59,82,23,947,685,576,622,227,699
2020년07월_여_50~59세,"8,116",521,97,295,236,86,209,305,128,185,246,152,88,162,263,118,29,240,82,25,156,145,72,"1,078",765,693,708,303,729
2020년07월_여_60~69세,"9,141",650,171,412,311,110,304,504,181,213,306,198,76,225,287,132,44,304,143,33,253,208,89,"1,002",709,638,686,358,594
2020년07월_여_70~79세,"7,290",577,182,416,317,94,290,427,172,180,214,167,68,193,247,103,33,266,162,44,254,249,75,643,401,448,474,257,337
2020년07월_여_80~89세,"5,655",458,126,395,302,108,244,332,160,151,153,138,63,146,197,79,24,242,105,45,227,218,72,351,257,335,298,176,253
2020년07월_여_90~99세,994,76,21,69,64,12,50,58,31,28,22,15,11,36,26,18,5,40,21,7,46,48,20,66,45,51,39,29,40
2020년07월_여_100세 이상,48,6,0,3,4,2,3,1,0,0,2,0,0,0,1,2,0,3,2,0,1,1,1,7,0,1,4,3,1
