,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2021년03월_남_60~69세,"28,439","2,268","1,995","1,501","1,118",949,412,"1,088",615,587,"2,252","1,563",963,629,"1,379",375,469,"1,485",758,353,"2,949","2,487",776,"1,468"
2021년03월_남_70~79세,"12,484","1,195",829,650,539,487,217,490,316,381,953,751,330,291,569,172,265,683,376,200,"1,077",930,248,535
2021년03월_남_80~89세,"5,062",562,352,218,186,171,90,190,153,155,335,307,136,119,233,86,124,279,154,70,375,442,78,247
2021년03월_남_90~99세,466,40,29,29,24,13,6,12,22,15,31,38,12,7,30,12,15,21,10,7,35,34,6,18
2021년03월_남_100세 이상,28,3,0,0,0,0,0,1,1,0,0,2,0,0,6,3,10,0,0,0,1,1,0,0
2021년03월_여_총인구수,"262,126","13,144","21,114","9,611","12,749","5,067","1,638","11,604","3,098","2,466","21,358","12,511","9,607","5,789","10,975","3,640","2,823","10,982","5,061","1,952","43,059","27,273","12,139","14,466"
2021년03월_여_연령구간인구수,"262,126","13,144","21,114","9,611","12,749","5,067","1,638","11,604","3,098","2,466","21,358","12,511","9,607","5,789","10,975","3,640","2,823","10,982","5,061","1,952","43,059","27,273","12,139","14,466"
2021년03월_여_0~9세,"24,301",777,"1,966",943,"1,948",249,58,"1,419",136,64,"1,420",647,"1,168",366,790,280,76,486,270,65,"5,513","2,818","1,594","1,248"
2021년03월_여_10~19세,"25,977",845,"2,857",892,"1,570",375,82,983,235,143,"2,353","1,117",922,458,"1,085",240,125,813,312,87,"4,571","2,957","1,529","1,426"
2021년03월_여_20~29세,"33,742","1,309","2,692","1,104","1,057",568,121,"1,548",291,172,"3,157","1,662","1,199","1,080","1,324",470,319,"1,817",714,261,"5,633","3,554","1,620","2,070"
2021년03월_여_30~39세,"37,416","1,343","2,521","1,303","2,352",496,140,"2,177",236,144,"2,323","1,325","1,625",880,"1,289",563,246,"1,231",604,165,"8,185","4,039","2,228","2,001"
2021년03월_여_40~49세,"44,113","1,734","4,158","1,581","2,380",672,164,"1,755",346,222,"3,704","1,917","1,651",896,"1,777",543,305,"1,616",723,231,"8,123","4,889","2,428","2,298"
2021년03월_여_50~59세,"41,545","2,218","3,148","1,418","1,307",938,290,"1,717",547,402,"3,993","2,396","1,549",894,"2,000",541,471,"2,050",876,368,"5,805","4,432","1,503","2,682"
2021년03월_여_60~69세,"28,266","2,256","1,899","1,200","1,109",867,334,"1,057",577,552,"2,330","1,741",825,593,"1,391",469,548,"1,550",774,391,"3,050","2,540",743,"1,470"
2021년03월_여_70~79세,"15,974","1,540","1,103",671,552,533,253,529,384,402,"1,255","1,061",401,406,808,336,432,894,486,245,"1,347","1,275",296,765
2021년03월_여_80~89세,"9,238",973,657,413,382,319,174,344,300,303,717,570,220,185,432,162,240,463,263,120,719,672,170,440
2021년03월_여_90~99세,"1,485",142,110,82,89,49,22,75,45,59,102,74,46,29,73,32,48,60,38,18,110,90,28,64
2021년03월_여_100세 이상,69,7,3,4,3,1,0,0,1,3,4,1,1,2,6,4,13,2,1,1,3,7,0,2
