,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년02월_여_연령구간인구수,"180,041","20,890","1,208","1,514","2,791","4,227","2,907","3,398","2,656","1,621","1,145","9,713","15,529","21,036","11,914","15,160","17,588","16,833","9,876","5,636","14,399"
2021년02월_여_0~9세,"23,069","1,549",44,46,154,170,102,169,89,40,44,"1,239","2,119","2,828","1,684","2,279","2,939","2,835","1,553",769,"2,417"
2021년02월_여_10~19세,"21,554","2,064",53,64,164,217,155,189,168,55,94,"1,647","2,081","2,713","2,070","2,119","2,357","1,832","1,235",542,"1,735"
2021년02월_여_20~29세,"18,520","2,801",148,110,258,374,371,305,230,127,111,831,"2,017","2,544",905,"1,389","1,327","1,606",968,671,"1,427"
2021년02월_여_30~39세,"31,494","2,475",115,123,268,361,295,269,200,86,70,"1,395","3,200","4,053","1,880","2,858","3,502","4,009","1,962","1,146","3,227"
2021년02월_여_40~49세,"34,344","3,210",121,132,325,391,305,357,278,131,140,"2,335","3,140","4,458","3,108","3,169","3,756","3,207","1,969",980,"2,832"
2021년02월_여_50~59세,"21,888","3,137",215,235,456,726,563,528,450,283,189,"1,228","1,635","2,231","1,266","1,586","1,817","1,883","1,143",855,"1,462"
2021년02월_여_60~69세,"15,595","2,749",238,314,523,849,531,672,474,386,190,604,873,"1,243",629,"1,075","1,278",947,688,447,885
2021년02월_여_70~79세,"7,794","1,760",142,222,355,600,300,503,382,256,154,268,285,562,234,425,431,311,222,119,263
2021년02월_여_80~89세,"4,775",960,104,217,254,441,247,348,309,208,132,137,139,327,112,229,146,153,110,83,119
2021년02월_여_90~99세,969,174,26,48,34,94,36,55,71,45,21,27,40,77,26,31,35,47,26,24,32
2021년02월_여_100세 이상,39,11,2,3,0,4,2,3,5,4,0,2,0,0,0,0,0,3,0,0,0
