,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2020년12월_남_40~49세,"25,883","1,218","1,375","1,130","1,486","1,187","2,122",826,"3,548","1,694","2,002","2,154","1,295","1,608","2,112","2,126"
2020년12월_남_50~59세,"26,600","1,107","1,459","1,242","1,679","1,440","2,530",653,"2,786","1,747","2,006","2,255","1,644","1,550","2,163","2,339"
2020년12월_남_60~69세,"20,219",794,"1,150",991,"1,325","1,167","2,051",573,"1,494","1,336","1,747","1,765","1,436","1,120","1,595","1,675"
2020년12월_남_70~79세,"10,314",480,629,542,699,598,"1,083",337,655,657,793,749,742,643,902,805
2020년12월_남_80~89세,"3,466",165,211,165,200,181,309,126,337,228,217,330,228,220,274,275
2020년12월_남_90~99세,361,21,13,10,13,17,25,19,46,25,26,46,21,18,24,37
2020년12월_남_100세 이상,54,5,1,3,3,2,8,1,3,4,3,4,5,2,5,5
2020년12월_여_총인구수,"179,372","11,924","10,089","8,106","11,549","8,402","14,986","6,281","18,318","11,840","13,145","14,916","8,933","11,512","13,993","15,378"
2020년12월_여_연령구간인구수,"179,372","11,924","10,089","8,106","11,549","8,402","14,986","6,281","18,318","11,840","13,145","14,916","8,933","11,512","13,993","15,378"
2020년12월_여_0~9세,"9,595",199,428,370,585,352,709,283,"1,592",524,789,"1,166",365,414,874,945
2020년12월_여_10~19세,"12,712",383,501,370,699,466,901,262,"2,694",720,886,"1,336",448,599,"1,168","1,279"
2020년12월_여_20~29세,"33,419","5,522","2,365","1,542","2,166","1,366","2,237","1,394","2,090","2,321","1,944","2,009","1,387","2,619","1,921","2,536"
2020년12월_여_30~39세,"28,287","2,082","1,769","1,472","2,024","1,311","2,193","1,471","2,183","1,885","1,989","2,284","1,202","2,106","1,938","2,378"
2020년12월_여_40~49세,"26,599",971,"1,252","1,063","1,520","1,136","2,056",815,"4,144","1,691","2,037","2,440","1,173","1,609","2,246","2,446"
2020년12월_여_50~59세,"27,941",984,"1,440","1,290","1,892","1,481","2,793",762,"2,684","1,881","2,277","2,420","1,476","1,641","2,363","2,557"
2020년12월_여_60~69세,"22,241",907,"1,214","1,093","1,508","1,238","2,312",685,"1,528","1,516","1,863","1,789","1,556","1,321","1,897","1,814"
2020년12월_여_70~79세,"12,114",570,737,632,795,695,"1,222",409,818,879,901,866,877,786,"1,036",891
2020년12월_여_80~89세,"5,384",243,321,222,296,302,458,168,473,356,379,517,380,360,463,446
2020년12월_여_90~99세,916,45,53,46,58,43,86,27,105,57,70,78,57,44,68,79
2020년12월_여_100세 이상,164,18,9,6,6,12,19,5,7,10,10,11,12,13,19,7
