,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2020년10월_계_80~89세,"12,879",518,454,381,517,364,674,479,333,743,642,217,538,579,644,852,705,"1,412",417,493,732,217,968
2020년10월_계_90~99세,"1,456",56,53,47,64,28,69,52,30,69,80,21,75,58,73,84,83,176,53,58,71,37,119
2020년10월_계_100세 이상,123,5,11,2,9,4,7,9,4,11,10,0,4,5,2,5,2,7,5,3,8,2,8
2020년10월_남_총인구수,"168,793","3,850","5,087","4,384","6,635","3,149","6,393","6,211","3,758","7,014","6,953","2,223","10,721","7,472","7,998","8,872","7,680","21,470","5,770","10,416","14,661","9,335","8,741"
2020년10월_남_연령구간인구수,"168,793","3,850","5,087","4,384","6,635","3,149","6,393","6,211","3,758","7,014","6,953","2,223","10,721","7,472","7,998","8,872","7,680","21,470","5,770","10,416","14,661","9,335","8,741"
2020년10월_남_0~9세,"13,001",150,540,386,220,114,425,471,87,306,363,92,"1,159",352,459,440,394,"2,028",335,"1,251","1,349","1,588",492
2020년10월_남_10~19세,"14,002",255,454,304,386,229,512,592,208,451,509,144,"1,178",500,481,687,507,"1,944",367,"1,345","1,543",734,672
2020년10월_남_20~29세,"22,392",500,539,493,963,461,846,907,596,990,981,405,"1,239","1,107","1,201","1,318","1,013","2,860",814,"1,127","2,071",939,"1,022"
2020년10월_남_30~39세,"23,279",400,717,689,844,316,816,798,608,835,858,272,"1,381",906,"1,084",963,936,"2,984",786,"1,540","2,205","2,398",943
2020년10월_남_40~49세,"26,571",537,966,638,998,433,984,956,553,894,"1,051",288,"2,010",987,"1,090","1,182","1,074","3,527",791,"2,054","2,462","1,859","1,237"
2020년10월_남_50~59세,"27,718",704,714,692,"1,319",560,"1,038","1,096",686,"1,283","1,167",374,"1,634","1,425","1,434","1,637","1,422","3,411","1,071","1,457","2,242",765,"1,587"
2020년10월_남_60~69세,"23,729",662,595,642,"1,104",565,911,792,551,"1,192","1,119",358,"1,287","1,317","1,310","1,498","1,332","2,885",905,879,"1,677",687,"1,461"
2020년10월_남_70~79세,"13,152",445,390,382,584,343,587,407,336,757,644,204,625,672,691,826,746,"1,378",497,557,837,294,950
2020년10월_남_80~89세,"4,600",186,155,152,196,121,254,177,125,288,233,83,193,191,234,301,240,423,189,192,249,65,353
2020년10월_남_90~99세,314,11,13,6,17,5,18,11,7,16,25,3,15,14,14,20,15,28,13,14,22,6,21
2020년10월_남_100세 이상,35,0,4,0,4,2,2,4,1,2,3,0,0,1,0,0,1,2,2,0,4,0,3
2020년10월_여_총인구수,"173,759","3,870","5,642","4,495","6,493","3,432","6,947","6,347","3,760","7,185","7,490","1,958","11,092","7,547","7,929","9,472","7,593","22,322","5,638","10,983","14,954","9,526","9,084"
2020년10월_여_연령구간인구수,"173,759","3,870","5,642","4,495","6,493","3,432","6,947","6,347","3,760","7,185","7,490","1,958","11,092","7,547","7,929","9,472","7,593","22,322","5,638","10,983","14,954","9,526","9,084"
2020년10월_여_0~9세,"12,473",136,514,335,216,114,395,439,76,241,371,104,"1,173",350,412,449,370,"1,853",332,"1,242","1,291","1,531",529
2020년10월_여_10~19세,"12,708",201,388,283,324,186,413,442,164,413,505,108,"1,140",449,455,619,419,"1,770",309,"1,349","1,442",717,612
2020년10월_여_20~29세,"19,377",384,470,502,905,339,709,762,687,832,854,211,"1,033",901,957,"1,081",863,"2,482",647,"1,080","1,799","1,070",809
2020년10월_여_30~39세,"20,939",280,763,588,645,260,755,789,456,618,746,185,"1,521",691,843,815,704,"2,851",638,"1,634","2,043","2,267",847
2020년10월_여_40~49세,"24,973",445,899,584,773,417,947,"1,002",442,836,"1,011",207,"1,967",851,950,"1,154",890,"3,374",690,"2,172","2,495","1,622","1,245"
2020년10월_여_50~59세,"29,478",653,827,718,"1,285",676,"1,194","1,130",614,"1,304","1,282",372,"1,682","1,577","1,567","1,923","1,397","3,705","1,129","1,393","2,433",954,"1,663"
2020년10월_여_60~69세,"27,277",757,811,737,"1,218",710,"1,174",864,698,"1,447","1,387",354,"1,407","1,467","1,400","1,762","1,449","3,298","1,011","1,069","1,878",805,"1,574"
2020년10월_여_70~79세,"17,025",632,624,476,754,462,884,571,389,977,863,265,760,825,874,"1,049",967,"1,847",611,696,"1,037",375,"1,087"
2020년10월_여_80~89세,"8,279",332,299,229,321,243,420,302,208,455,409,134,345,388,410,551,465,989,228,301,483,152,615
2020년10월_여_90~99세,"1,142",45,40,41,47,23,51,41,23,53,55,18,60,44,59,64,68,148,40,44,49,31,98
2020년10월_여_100세 이상,88,5,7,2,5,2,5,5,3,9,7,0,4,4,2,5,1,5,3,3,4,2,5
