카테고리,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020년09월_남_총인구수,"163,138","3,425","38,459","2,173","11,420","10,654","12,059","2,939","3,604","1,640","2,283","10,388","4,949","5,577","18,382","9,660","11,092","14,434"
2020년09월_남_연령구간인구수,"163,138","3,425","38,459","2,173","11,420","10,654","12,059","2,939","3,604","1,640","2,283","10,388","4,949","5,577","18,382","9,660","11,092","14,434"
2020년09월_남_0~9세,"17,200",195,"4,940",105,"1,555","1,312","1,281",78,151,38,55,852,465,220,"2,132",860,"1,233","1,728"
2020년09월_남_10~19세,"17,656",253,"4,740",191,"1,496",894,725,162,215,57,85,"1,040",392,432,"2,437","1,297","1,462","1,778"
2020년09월_남_20~29세,"20,026",344,"4,948",175,"1,505","1,221","1,421",263,370,106,209,"1,341",556,971,"2,346","1,233","1,543","1,474"
2020년09월_남_30~39세,"26,000",385,"7,156",140,"2,068","2,009","2,817",240,410,112,185,"1,298",984,708,"2,620","1,148","1,583","2,137"
2020년09월_남_40~49세,"30,352",517,"7,593",322,"2,555","2,004","2,158",375,605,182,234,"1,856",860,797,"3,563","1,806","2,062","2,863"
2020년09월_남_50~59세,"24,740",626,"4,997",432,"1,381","1,489","1,732",566,760,312,491,"1,790",717,"1,040","2,725","1,668","1,712","2,302"
2020년09월_남_60~69세,"15,523",568,"2,513",398,506,"1,072","1,188",647,576,369,503,"1,245",535,786,"1,502",945,880,"1,290"
2020년09월_남_70~79세,"7,933",339,"1,131",273,242,468,512,375,320,289,323,661,311,449,742,483,422,593
2020년09월_남_80~89세,"3,383",182,398,125,103,172,208,214,180,159,188,278,114,159,285,195,178,245
2020년09월_남_90~99세,292,14,36,12,9,13,17,17,16,11,10,26,10,13,29,22,16,21
2020년09월_남_100세 이상,33,2,7,0,0,0,0,2,1,5,0,1,5,2,1,3,1,3
2020년09월_여_총인구수,"151,144","3,136","36,244","2,073","9,662","9,075","9,479","2,630","2,888","1,505","2,177","9,556","4,529","5,210","18,442","9,252","10,625","14,661"
2020년09월_여_연령구간인구수,"151,144","3,136","36,244","2,073","9,662","9,075","9,479","2,630","2,888","1,505","2,177","9,556","4,529","5,210","18,442","9,252","10,625","14,661"
2020년09월_여_0~9세,"16,303",203,"4,682",108,"1,482","1,327","1,197",73,142,24,60,807,454,230,"2,015",751,"1,101","1,647"
2020년09월_여_10~19세,"16,625",239,"4,476",166,"1,405",791,715,115,184,57,95,"1,015",336,383,"2,385","1,188","1,306","1,769"
2020년09월_여_20~29세,"16,011",228,"4,357",134,"1,000",771,980,163,206,86,152,"1,021",510,723,"2,107",924,"1,228","1,421"
2020년09월_여_30~39세,"22,619",254,"6,621",124,"1,945","1,631","1,814",150,224,59,123,"1,126",778,497,"2,639","1,056","1,470","2,108"
2020년09월_여_40~49세,"25,507",372,"6,753",248,"1,893","1,364","1,291",225,339,90,165,"1,568",655,674,"3,411","1,717","2,002","2,740"
2020년09월_여_50~59세,"21,111",534,"4,454",328,889,"1,234","1,338",455,527,221,371,"1,421",619,992,"2,541","1,522","1,612","2,053"
2020년09월_여_60~69세,"15,641",572,"2,603",400,506,989,"1,029",562,507,392,456,"1,165",565,835,"1,696","1,025",940,"1,399"
2020년09월_여_70~79세,"10,003",383,"1,397",297,307,520,623,454,384,286,407,841,369,553,"1,032",642,609,899
2020년09월_여_80~89세,"6,243",299,770,221,198,375,406,367,325,247,307,517,185,269,535,366,297,559
2020년09월_여_90~99세,"1,001",50,128,43,37,72,83,64,48,39,38,68,49,46,71,54,51,60
2020년09월_여_100세 이상,80,2,3,4,0,1,3,2,2,4,3,7,9,8,10,7,9,6
