,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2021년02월_남_40~49세,"257,146","2,942","7,597","6,341","7,862","26,085","21,153","20,927","19,960","31,157","23,464","15,968","13,484","15,598","12,523","15,370","16,715"
2021년02월_남_50~59세,"275,097","3,522","9,107","7,456","9,896","28,267","21,033","20,876","25,423","33,345","26,789","19,118","8,742","16,149","12,693","20,346","12,335"
2021년02월_남_60~69세,"253,816","3,731","8,988","7,647","10,677","26,560","19,218","18,908","22,749","27,572","24,898","18,219","8,180","15,069","12,794","18,482","10,124"
2021년02월_남_70~79세,"132,717","2,223","5,399","4,591","6,330","14,080","10,311","11,190","9,810","13,624","12,144","9,891","3,469","8,329","7,637","7,997","5,692"
2021년02월_남_80~89세,"42,571",785,"2,011","1,615","2,116","4,769","3,202","3,698","2,838","4,693","3,457","3,253",930,"2,767","2,617","2,015","1,805"
2021년02월_남_90~99세,"3,394",109,173,146,157,362,264,259,216,386,268,295,83,202,226,115,133
2021년02월_남_100세 이상,419,20,36,30,33,48,22,23,22,46,33,42,13,20,14,9,8
2021년02월_여_총인구수,"1,729,221","21,289","55,630","45,269","57,238","186,262","138,966","136,366","142,971","208,208","155,980","118,524","67,206","108,293","93,191","104,910","88,918"
2021년02월_여_연령구간인구수,"1,729,221","21,289","55,630","45,269","57,238","186,262","138,966","136,366","142,971","208,208","155,980","118,524","67,206","108,293","93,191","104,910","88,918"
2021년02월_여_0~9세,"111,971",618,"2,652","1,904","2,485","10,430","9,435","8,691","9,031","13,665","9,548","6,288","9,736","7,154","4,982","5,967","9,385"
2021년02월_여_10~19세,"130,951","1,027","3,583","2,434","3,550","12,243","11,907","11,051","11,040","18,378","12,119","8,491","5,854","7,980","5,680","7,132","8,482"
2021년02월_여_20~29세,"205,230","2,885","6,821","5,155","5,348","26,964","15,482","16,476","17,147","23,146","18,300","15,132","5,717","12,787","12,480","13,350","8,040"
2021년02월_여_30~39세,"203,211","2,066","5,359","4,819","4,827","23,546","16,339","14,546","16,047","23,799","17,145","11,985","13,337","13,399","11,905","11,536","12,556"
2021년02월_여_40~49세,"253,339","2,434","7,070","5,498","7,176","25,548","22,135","20,779","20,226","34,427","22,345","16,068","10,664","16,292","12,912","13,871","15,894"
2021년02월_여_50~59세,"291,497","3,484","8,731","7,187","9,478","30,019","23,218","21,885","28,066","36,774","27,842","21,159","8,317","17,951","14,887","20,474","12,025"
2021년02월_여_60~69세,"282,791","4,204","10,258","8,528","11,591","29,951","22,154","22,213","23,351","30,816","26,825","20,857","7,927","17,768","15,974","18,738","11,636"
2021년02월_여_70~79세,"161,610","2,885","7,015","6,117","8,232","17,763","12,104","13,776","11,602","17,242","14,252","11,810","3,440","9,902","9,408","9,267","6,795"
2021년02월_여_80~89세,"75,167","1,349","3,486","3,106","3,854","8,392","5,228","5,929","5,530","8,472","6,369","5,655","1,804","4,332","4,251","3,955","3,455"
2021년02월_여_90~99세,"11,965",269,567,451,594,"1,220",845,910,843,"1,372","1,106",921,376,657,664,557,613
2021년02월_여_100세 이상,"1,489",68,88,70,103,186,119,110,88,117,129,158,34,71,48,63,37
