,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020년10월_여_연령구간인구수,"137,478","1,350","4,170",982,"10,040","3,048","3,162","1,393",685,418,914,"2,279","1,598","2,235","1,978","3,007","1,953","2,702","5,842","3,521","9,695","9,967","5,589","5,170","5,227","15,972","18,706","10,200","3,987","1,115",573
2020년10월_여_0~9세,"10,419",29,294,18,"1,010",134,66,31,6,12,27,123,56,75,51,105,90,92,379,241,662,736,340,401,526,"1,385","2,341",622,510,38,19
2020년10월_여_10~19세,"12,719",50,321,37,"1,018",139,138,62,21,20,37,131,96,138,109,130,136,144,442,317,933,"1,062",514,579,444,"1,908","2,138","1,041",520,59,35
2020년10월_여_20~29세,"14,653",81,321,57,947,186,240,52,31,26,68,181,186,166,153,305,186,196,557,330,"1,120","1,158",723,668,489,"2,148","2,205","1,356",385,88,44
2020년10월_여_30~39세,"14,407",46,378,40,"1,282",194,145,45,19,16,55,192,121,158,106,233,136,202,527,352,984,"1,045",536,528,674,"1,909","2,890",918,597,61,18
2020년10월_여_40~49세,"19,917",78,522,47,"1,519",235,234,83,26,31,62,227,148,249,183,311,195,223,721,439,"1,426","1,658",838,906,724,"2,883","3,390","1,620",796,108,35
2020년10월_여_50~59세,"23,154",208,648,157,"1,686",447,512,173,86,45,188,346,223,346,303,493,298,404,"1,103",598,"1,815","1,665","1,017",949,777,"2,847","2,958","2,131",447,191,93
2020년10월_여_60~69세,"20,418",306,808,211,"1,221",617,626,318,128,86,207,519,327,529,457,690,447,684,"1,109",687,"1,530","1,364",792,680,800,"1,651","1,612","1,324",369,217,102
2020년10월_여_70~79세,"13,318",327,552,215,774,582,634,345,181,100,143,377,309,397,417,497,288,505,693,394,770,790,508,306,501,756,701,704,247,187,118
2020년10월_여_80~89세,"7,072",185,277,167,502,415,471,246,149,69,99,151,115,153,169,203,143,214,265,136,387,401,276,120,235,394,386,414,101,139,90
2020년10월_여_90~99세,"1,309",38,48,32,76,96,92,35,36,12,25,30,16,16,26,35,32,31,38,24,67,88,44,32,49,86,83,69,15,19,19
2020년10월_여_100세 이상,92,2,1,1,5,3,4,3,2,1,3,2,1,8,4,5,2,7,8,3,1,0,1,1,8,5,2,1,0,8,0
