,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2021년03월_여_총인구수,"248,872","111,726","3,716","14,943","25,881","1,681","4,903","2,082",962,"11,983","8,357","6,218","2,152","1,173","15,085","12,590","137,146","20,308","1,443","2,433","1,293","2,563","1,069",294,670,"8,005","8,654","10,053","11,303","16,602","11,619","36,029","4,808"
2021년03월_여_연령구간인구수,"248,872","111,726","3,716","14,943","25,881","1,681","4,903","2,082",962,"11,983","8,357","6,218","2,152","1,173","15,085","12,590","137,146","20,308","1,443","2,433","1,293","2,563","1,069",294,670,"8,005","8,654","10,053","11,303","16,602","11,619","36,029","4,808"
2021년03월_여_0~9세,"18,770","8,275",65,"1,100","2,705",36,257,27,15,545,290,188,95,57,"1,820","1,075","10,495","1,809",32,51,24,45,21,3,10,288,594,373,701,"1,431",777,"3,899",437
2021년03월_여_10~19세,"22,131","10,023",102,"1,756","2,753",70,386,71,28,705,361,332,130,98,"1,837","1,394","12,108","1,755",30,90,44,108,26,7,13,396,848,448,936,"1,469","1,153","4,238",547
2021년03월_여_20~29세,"24,112","10,808",168,"1,482","2,644",104,428,70,35,"1,364",666,451,209,148,"1,451","1,588","13,304","1,760",62,120,68,121,17,15,27,752,897,"1,079","1,010","1,747","1,247","3,975",407
2021년03월_여_30~39세,"27,767","12,220",198,"1,478","3,680",98,440,77,34,"1,221",634,418,193,120,"2,019","1,610","15,547","2,422",52,113,35,80,28,0,23,752,893,977,"1,062","2,223","1,177","5,114",596
2021년03월_여_40~49세,"38,242","17,226",277,"2,661","4,693",120,578,103,61,"1,513",931,652,204,162,"2,868","2,403","21,016","3,091",79,184,73,145,42,13,42,924,"1,455","1,176","1,705","2,595","1,770","6,880",842
2021년03월_여_50~59세,"44,589","19,760",597,"2,922","3,967",317,877,304,131,"2,246","1,638","1,113",368,229,"2,635","2,416","24,829","3,531",229,400,198,442,166,50,88,"1,354","1,809","1,814","2,140","3,224","2,503","6,140",741
2021년03월_여_60~69세,"40,961","18,881",991,"2,150","3,149",438,899,506,227,"2,786","2,269","1,699",502,200,"1,791","1,274","22,080","3,026",363,578,326,609,301,107,177,"1,783","1,340","2,364","2,251","2,362","1,881","3,850",762
2021년03월_여_70~79세,"19,896","9,098",769,848,"1,383",281,622,431,234,"1,182","1,122",916,308,105,415,482,"10,798","1,651",273,487,261,507,236,51,146,"1,171",537,"1,259","1,000",949,735,"1,196",339
2021년03월_여_80~89세,"10,532","4,642",475,475,790,178,352,416,167,350,389,382,121,47,193,307,"5,890","1,060",266,342,222,429,199,39,120,492,229,475,431,518,331,619,118
2021년03월_여_90~99세,"1,813",763,74,68,109,37,62,73,29,68,54,67,22,7,54,39,"1,050",201,56,67,42,76,32,9,21,90,48,85,65,82,44,114,18
2021년03월_여_100세 이상,59,30,0,3,8,2,2,4,1,3,3,0,0,0,2,2,29,2,1,1,0,1,1,0,3,3,4,3,2,2,1,4,1
