카테고리,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2020년10월_남_80~89세,"22,247","7,898","2,091","2,103","1,919","1,785","3,344","2,228","1,066","1,255","1,325",491,"1,170","1,160","1,574",736
2020년10월_남_90~99세,"2,056",700,228,172,155,145,306,182,107,148,129,46,85,106,176,71
2020년10월_남_100세 이상,158,50,12,15,6,17,17,23,1,7,11,4,5,7,25,8
2020년10월_여_총인구수,"788,574","419,003","95,024","98,915","130,713","94,351","103,934","66,392","16,148","25,177","23,941","17,782","39,568","18,261","43,936","14,432"
2020년10월_여_연령구간인구수,"788,574","419,003","95,024","98,915","130,713","94,351","103,934","66,392","16,148","25,177","23,941","17,782","39,568","18,261","43,936","14,432"
2020년10월_여_0~9세,"60,840","36,674","7,951","6,962","11,881","9,880","7,236","4,322",713,"1,268","1,163","1,617","3,752",633,"2,886",576
2020년10월_여_10~19세,"71,903","41,461","9,446","9,869","12,782","9,364","9,141","5,702","1,000","1,846","1,664","1,619","3,835",971,"3,719",945
2020년10월_여_20~29세,"88,073","54,406","11,151","13,046","18,771","11,438","10,368","6,557",983,"1,919","1,966","1,903","3,880","1,172","3,965",954
2020년10월_여_30~39세,"91,709","56,569","11,186","11,191","19,494","14,698","10,763","6,279","1,009","1,882","1,560","2,133","5,160","1,069","4,331",954
2020년10월_여_40~49세,"116,401","67,603","15,221","15,782","21,313","15,287","15,099","8,976","1,474","2,916","2,473","2,575","6,074","1,644","6,065","1,502"
2020년10월_여_50~59세,"133,152","69,029","16,481","17,563","21,492","13,493","18,485","11,780","2,668","4,208","4,012","2,860","6,231","3,340","7,884","2,655"
2020년10월_여_60~69세,"109,944","48,803","11,851","12,907","13,829","10,216","15,648","11,339","3,287","4,773","4,468","2,481","4,962","4,026","7,094","3,063"
2020년10월_여_70~79세,"66,204","26,137","6,840","6,937","6,614","5,746","9,721","6,804","2,546","3,424","3,661","1,481","2,998","2,904","4,363","2,165"
2020년10월_여_80~89세,"42,798","15,481","4,091","3,936","3,844","3,610","6,442","3,938","2,054","2,487","2,545",976,"2,286","2,135","3,059","1,395"
2020년10월_여_90~99세,"7,138","2,697",761,689,662,585,976,644,388,433,402,129,376,344,539,210
2020년10월_여_100세 이상,412,143,45,33,31,34,55,51,26,21,27,8,14,23,31,13
