카테고리,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020년11월_계_80~89세,"8,328",673,182,554,426,170,363,502,235,235,234,203,86,212,305,135,37,339,165,80,319,317,102,522,384,473,443,262,370
2020년11월_계_90~99세,"1,277",95,26,83,81,17,61,80,40,29,30,25,13,49,41,22,5,51,26,11,57,63,26,81,57,59,58,36,55
2020년11월_계_100세 이상,61,9,0,3,6,2,4,2,0,0,4,1,0,0,1,2,0,4,2,0,1,2,1,7,0,2,4,3,1
2020년11월_남_총인구수,"47,779","3,193",686,"1,878","1,481",482,"1,311","1,960",835,997,"1,285",881,362,997,"1,351",626,178,"1,290",529,198,"1,015",991,395,"6,052","4,584","3,732","4,079","1,818","4,593"
2020년11월_남_연령구간인구수,"47,779","3,193",686,"1,878","1,481",482,"1,311","1,960",835,997,"1,285",881,362,997,"1,351",626,178,"1,290",529,198,"1,015",991,395,"6,052","4,584","3,732","4,079","1,818","4,593"
2020년11월_남_0~9세,"2,706",149,28,52,52,15,49,39,29,23,47,28,13,31,78,18,2,36,7,0,16,39,13,486,357,300,301,104,394
2020년11월_남_10~19세,"4,025",239,27,103,71,17,69,140,46,45,80,38,20,55,68,34,7,82,28,13,45,40,17,757,469,387,426,196,506
2020년11월_남_20~29세,"4,763",245,42,135,103,32,103,124,47,65,101,68,15,57,94,34,12,73,24,9,71,58,20,748,554,406,466,189,868
2020년11월_남_30~39세,"4,040",263,43,120,83,18,89,112,42,64,65,49,22,63,103,49,6,79,17,5,69,46,11,685,565,386,393,143,450
2020년11월_남_40~49세,"6,141",404,75,222,151,45,139,198,89,73,144,103,37,105,138,60,15,164,54,16,106,112,43,863,697,574,565,285,664
2020년11월_남_50~59세,"8,842",599,146,357,292,117,224,337,177,220,264,188,76,222,267,148,40,262,91,47,162,180,90,"1,013",807,672,829,325,690
2020년11월_남_60~69세,"8,928",653,145,449,339,110,321,492,189,266,325,221,105,229,305,141,59,287,146,39,255,214,102,845,690,554,585,268,594
2020년11월_남_70~79세,"5,448",406,124,273,246,69,189,333,134,154,170,114,49,157,176,82,24,196,107,36,189,184,64,479,308,309,362,217,297
2020년11월_남_80~89세,"2,624",214,51,156,127,55,115,167,73,82,80,62,25,70,107,55,13,100,52,29,95,101,30,163,129,133,139,85,116
2020년11월_남_90~99세,250,18,5,11,15,4,12,17,9,5,8,9,0,8,15,5,0,10,3,4,7,17,5,13,8,11,12,6,13
2020년11월_남_100세 이상,12,3,0,0,2,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020년11월_여_총인구수,"49,704","3,426",730,"1,969","1,580",506,"1,371","2,020",836,947,"1,294",863,396,998,"1,431",609,160,"1,458",621,183,"1,126","1,085",424,"6,296","4,610","4,102","4,284","1,864","4,515"
2020년11월_여_연령구간인구수,"49,704","3,426",730,"1,969","1,580",506,"1,371","2,020",836,947,"1,294",863,396,998,"1,431",609,160,"1,458",621,183,"1,126","1,085",424,"6,296","4,610","4,102","4,284","1,864","4,515"
2020년11월_여_0~9세,"2,519",126,14,54,44,15,37,48,31,33,50,28,11,33,67,15,3,49,13,5,21,22,10,456,361,272,263,77,361
2020년11월_여_10~19세,"3,631",280,34,65,79,20,39,78,23,29,75,34,20,53,78,32,5,79,19,6,49,56,18,590,410,410,402,160,488
2020년11월_여_20~29세,"3,443",179,27,63,70,16,53,83,35,40,59,36,18,44,67,37,4,48,24,3,32,41,30,577,435,330,385,126,581
2020년11월_여_30~39세,"3,445",204,31,90,49,16,73,82,43,40,62,31,24,42,83,23,4,66,16,3,34,27,18,584,532,340,369,138,421
2020년11월_여_40~49세,"5,427",343,33,114,109,29,76,108,36,55,100,71,18,67,116,55,10,129,32,12,61,83,24,948,677,567,641,218,695
2020년11월_여_50~59세,"7,917",509,92,282,230,84,196,302,118,174,239,143,82,155,260,112,26,226,76,24,143,135,69,"1,057",762,702,691,304,724
2020년11월_여_60~69세,"9,317",675,168,416,310,111,310,494,190,217,313,199,82,230,297,133,46,311,146,34,261,213,86,"1,008",728,646,708,367,618
2020년11월_여_70~79세,"7,225",568,179,412,320,85,287,426,167,182,217,164,67,191,238,103,33,267,157,38,250,244,75,642,401,445,472,264,331
2020년11월_여_80~89세,"5,704",459,131,398,299,115,248,335,162,153,154,141,61,142,198,80,24,239,113,51,224,216,72,359,255,340,304,177,254
2020년11월_여_90~99세,"1,027",77,21,72,66,13,49,63,31,24,22,16,13,41,26,17,5,41,23,7,50,46,21,68,49,48,46,30,42
2020년11월_여_100세 이상,49,6,0,3,4,2,3,1,0,0,3,0,0,0,1,2,0,3,2,0,1,2,1,7,0,2,3,3,0
