카테고리,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년06월_여_연령구간인구수,"195,932","13,419","19,727","11,102","11,474","7,456","8,253","11,669","13,067","13,552","9,445","10,856","9,930","8,018","10,095","21,741","16,128"
2021년06월_여_0~9세,"11,909","1,405","1,059",662,"1,122",303,700,841,844,403,480,487,547,298,458,"1,190","1,110"
2021년06월_여_10~19세,"13,958",861,"1,128",758,"1,053",392,726,866,866,625,473,655,785,360,733,"1,621","2,056"
2021년06월_여_20~29세,"34,041","1,745","3,515","1,495","1,192","1,941","1,225","1,650","2,669","3,597","1,887","1,828","1,535","1,742","1,663","3,962","2,395"
2021년06월_여_30~39세,"33,691","2,673","3,367","1,870","1,987","1,193","1,328","1,867","2,168","2,859","1,896","2,020","1,552","1,541","1,690","3,604","2,076"
2021년06월_여_40~49세,"31,159","2,131","2,708","1,611","2,272","1,026","1,460","2,033","2,072","1,883","1,357","1,649","1,628","1,132","1,725","3,347","3,125"
2021년06월_여_50~59세,"27,731","1,962","3,186","1,803","1,494",979,"1,174","1,784","1,883","1,578","1,244","1,503","1,436","1,042","1,497","2,984","2,182"
2021년06월_여_60~69세,"21,661","1,455","2,368","1,440","1,165",779,781,"1,296","1,312","1,242","1,045","1,333","1,232",943,"1,224","2,382","1,664"
2021년06월_여_70~79세,"13,680",697,"1,455",828,730,509,547,857,785,846,669,907,828,595,747,"1,732",948
2021년06월_여_80~89세,"6,896",408,823,534,384,275,266,407,402,426,336,413,342,310,317,772,481
2021년06월_여_90~99세,"1,135",74,107,100,72,52,37,65,64,90,56,58,41,52,40,144,83
2021년06월_여_100세 이상,71,8,11,1,3,7,9,3,2,3,2,3,4,3,1,3,8
