,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2021년01월_계_80~89세,"8,995",996,915,372,801,452,749,595,345,262,312,550,401,425,371,83,528,401,437
2021년01월_계_90~99세,"1,376",169,116,53,138,65,127,81,52,37,52,62,82,38,58,18,89,63,76
2021년01월_계_100세 이상,97,9,21,8,5,4,14,11,4,3,2,2,1,1,1,3,5,3,0
2021년01월_남_총인구수,"263,749","22,635","18,851","5,218","27,323","6,356","21,433","11,601","8,359","12,758","13,241","17,195","12,894","10,588","36,290","1,175","12,141","15,416","10,275"
2021년01월_남_연령구간인구수,"263,749","22,635","18,851","5,218","27,323","6,356","21,433","11,601","8,359","12,758","13,241","17,195","12,894","10,588","36,290","1,175","12,141","15,416","10,275"
2021년01월_남_0~9세,"24,872","1,776",889,229,"3,610",342,"3,001",813,704,587,645,"1,219",894,845,"5,557",25,888,"1,872",976
2021년01월_남_10~19세,"25,887","1,848","1,711",394,"2,868",635,"1,709","1,156",789,597,997,"1,843","1,107","1,395","3,954",27,"1,536","2,064","1,257"
2021년01월_남_20~29세,"37,958","3,571","3,214",771,"3,420",961,"2,165","1,602",989,"2,091","2,379","2,956","1,769","1,846","4,728",101,"1,951","1,971","1,473"
2021년01월_남_30~39세,"41,764","3,630","2,167",560,"4,724",579,"4,200","1,518","1,260","2,746","2,140","2,502","1,898","1,227","7,471",109,"1,324","2,216","1,493"
2021년01월_남_40~49세,"49,208","3,371","2,785",683,"4,878","1,029","4,073","2,150","1,759","2,839","2,850","3,374","2,796","1,814","7,779",127,"2,102","3,053","1,746"
2021년01월_남_50~59세,"46,419","4,265","4,193","1,175","4,262","1,368","2,876","2,134","1,458","2,378","2,594","3,287","2,580","2,191","4,313",291,"2,549","2,643","1,862"
2021년01월_남_60~69세,"25,509","2,891","2,684",897,"2,468",886,"2,268","1,417",859,"1,084","1,198","1,381","1,299",833,"1,899",329,"1,115","1,065",936
2021년01월_남_70~79세,"8,910",932,924,358,845,398,878,585,397,341,332,430,401,285,458,126,460,387,373
2021년01월_남_80~89세,"2,921",320,255,129,226,140,237,209,132,87,96,185,140,139,124,33,199,129,141
2021년01월_남_90~99세,274,30,27,17,21,17,22,14,10,7,9,18,9,13,7,5,15,15,18
2021년01월_남_100세 이상,27,1,2,5,1,1,4,3,2,1,1,0,1,0,0,2,2,1,0
2021년01월_여_총인구수,"241,186","21,969","17,498","4,757","27,287","5,788","20,892","10,529","7,670","7,512","9,241","14,747","9,976","10,760","34,640",755,"11,684","15,068","10,413"
2021년01월_여_연령구간인구수,"241,186","21,969","17,498","4,757","27,287","5,788","20,892","10,529","7,670","7,512","9,241","14,747","9,976","10,760","34,640",755,"11,684","15,068","10,413"
2021년01월_여_0~9세,"24,003","1,688",769,226,"3,494",356,"2,958",756,708,569,665,"1,218",842,801,"5,440",18,838,"1,747",910
2021년01월_여_10~19세,"24,510","1,744","1,554",361,"2,792",571,"1,627","1,058",703,530,924,"1,749","1,020","1,334","3,948",23,"1,387","1,923","1,262"
2021년01월_여_20~29세,"31,901","3,253","2,664",623,"3,221",695,"2,063","1,288",858,"1,110","1,363","2,168","1,323","1,740","4,346",65,"1,759","1,904","1,458"
2021년01월_여_30~39세,"36,448","3,303","1,734",431,"4,824",514,"4,240","1,186","1,121","1,295","1,256","1,818","1,267","1,190","7,232",54,"1,252","2,338","1,393"
2021년01월_여_40~49세,"42,217","3,215","2,547",640,"4,601",920,"3,347","1,725","1,446","1,374","1,742","2,769","1,806","2,038","6,867",51,"2,149","3,075","1,905"
2021년01월_여_50~59세,"41,600","4,325","3,957","1,052","4,322","1,112","2,880","1,960","1,225","1,378","1,709","2,877","1,949","2,140","4,205",173,"2,278","2,302","1,756"
2021년01월_여_60~69세,"22,532","2,523","2,342",749,"2,363",771,"2,196","1,374",911,728,913,"1,137",966,758,"1,743",213,998,959,888
2021년01월_여_70~79세,"10,729","1,095","1,163",393,974,486,954,721,441,321,409,600,469,447,560,94,617,498,487
2021년01월_여_80~89세,"6,074",676,660,243,575,312,512,386,213,175,216,365,261,286,247,50,329,272,296
2021년01월_여_90~99세,"1,102",139,89,36,117,48,105,67,42,30,43,44,73,25,51,13,74,48,58
2021년01월_여_100세 이상,70,8,19,3,4,3,10,8,2,2,1,2,0,1,1,1,3,2,0
