,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년04월_남_90~99세,432,26,43,27,24,16,14,35,26,40,22,24,19,28,16,45,27
2021년04월_남_100세 이상,34,2,2,0,0,4,3,2,0,6,1,1,2,2,2,5,2
2021년04월_여_총인구수,"195,527","13,476","19,785","11,138","11,504","7,426","7,423","11,715","13,054","13,563","9,472","10,893","9,942","8,091","10,134","21,784","16,127"
2021년04월_여_연령구간인구수,"195,527","13,476","19,785","11,138","11,504","7,426","7,423","11,715","13,054","13,563","9,472","10,893","9,942","8,091","10,134","21,784","16,127"
2021년04월_여_0~9세,"11,943","1,419","1,056",664,"1,153",310,613,828,853,406,491,496,546,304,473,"1,201","1,130"
2021년04월_여_10~19세,"14,005",863,"1,140",769,"1,046",410,676,874,876,630,475,663,784,371,727,"1,651","2,050"
2021년04월_여_20~29세,"33,905","1,754","3,545","1,510","1,198","1,892","1,089","1,662","2,635","3,605","1,902","1,838","1,536","1,744","1,667","3,950","2,378"
2021년04월_여_30~39세,"33,753","2,698","3,364","1,888","1,989","1,186","1,190","1,881","2,186","2,862","1,909","2,021","1,561","1,567","1,722","3,635","2,094"
2021년04월_여_40~49세,"31,111","2,137","2,716","1,625","2,295","1,026","1,295","2,055","2,061","1,880","1,347","1,647","1,637","1,159","1,726","3,364","3,141"
2021년04월_여_50~59세,"27,658","1,970","3,222","1,808","1,479",972,"1,034","1,777","1,900","1,585","1,237","1,522","1,437","1,045","1,503","2,989","2,178"
2021년04월_여_60~69세,"21,392","1,447","2,335","1,412","1,156",782,716,"1,283","1,288","1,236","1,047","1,329","1,219",933,"1,203","2,363","1,643"
2021년04월_여_70~79세,"13,728",699,"1,471",830,738,510,513,880,792,844,666,902,832,612,763,"1,725",951
2021년04월_여_80~89세,"6,829",404,818,529,380,278,250,407,398,422,336,416,344,302,310,761,474
2021년04월_여_90~99세,"1,132",76,107,102,67,53,37,65,63,90,60,56,42,51,39,144,80
2021년04월_여_100세 이상,71,9,11,1,3,7,10,3,2,3,2,3,4,3,1,1,8
