,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2020년03월_남_50~59세,"19,426",563,238,361,806,325,207,446,764,290,417,228,325,194,261,"2,216",704,"1,336",526,941,"1,330",430,932,"1,425","3,500",661
2020년03월_남_60~69세,"15,005",578,282,375,643,397,287,513,540,283,445,296,445,261,248,"1,553",587,767,411,896,750,383,699,769,"2,221",376
2020년03월_남_70~79세,"7,679",303,163,232,289,231,201,316,234,136,260,189,238,158,151,752,355,361,251,516,302,207,404,374,881,175
2020년03월_남_80~89세,"3,246",150,64,73,126,120,82,156,95,87,133,100,129,90,69,273,137,158,113,200,93,101,128,139,361,69
2020년03월_남_90~99세,314,14,5,13,17,12,12,13,16,6,15,10,16,4,6,35,16,14,9,15,5,4,6,14,30,7
2020년03월_남_100세 이상,16,2,0,0,3,1,1,0,0,1,1,1,2,0,1,1,0,0,1,1,0,0,0,0,0,0
2020년03월_여_총인구수,"104,003","2,395","1,017","1,539","3,729","1,481","1,168","1,951","6,029","1,727","1,855","1,133","1,606",950,"1,426","11,861","3,592","8,055","2,674","4,826","8,748","1,747","4,576","7,529","19,158","3,231"
2020년03월_여_연령구간인구수,"104,003","2,395","1,017","1,539","3,729","1,481","1,168","1,951","6,029","1,727","1,855","1,133","1,606",950,"1,426","11,861","3,592","8,055","2,674","4,826","8,748","1,747","4,576","7,529","19,158","3,231"
2020년03월_여_0~9세,"7,486",49,25,44,280,18,34,33,929,177,58,23,38,33,61,816,153,694,128,206,"1,020",56,296,545,"1,483",287
2020년03월_여_10~19세,"9,272",130,32,50,162,57,40,65,451,125,96,39,73,33,79,"1,223",286,986,246,358,"1,112",78,388,883,"1,941",339
2020년03월_여_20~29세,"10,472",137,57,86,477,80,55,108,649,166,119,71,89,47,120,"1,202",385,846,257,488,924,202,494,891,"2,196",326
2020년03월_여_30~39세,"11,037",135,50,78,522,67,49,77,"1,278",197,82,53,76,48,100,"1,226",274,869,212,370,"1,280",103,479,764,"2,241",407
2020년03월_여_40~49세,"15,283",206,68,116,474,80,52,151,905,207,144,90,114,62,152,"1,899",450,"1,574",379,569,"1,638",159,645,"1,403","3,183",563
2020년03월_여_50~59세,"18,455",491,207,307,651,275,221,381,746,225,351,223,289,162,235,"2,204",658,"1,351",458,898,"1,352",333,819,"1,390","3,670",558
2020년03월_여_60~69세,"15,022",525,273,376,549,362,302,508,535,262,401,250,376,234,292,"1,629",631,854,442,960,743,336,746,819,"2,268",349
2020년03월_여_70~79세,"9,739",393,164,283,322,279,213,340,285,203,308,208,287,184,217,995,447,529,335,574,398,276,476,498,"1,298",227
2020년03월_여_80~89세,"6,299",296,117,163,260,235,179,247,226,143,252,157,229,131,130,596,273,308,187,338,238,179,203,300,758,154
2020년03월_여_90~99세,886,32,23,35,28,26,20,37,24,20,43,18,31,15,38,67,32,41,26,62,43,24,28,35,119,19
2020년03월_여_100세 이상,52,1,1,1,4,2,3,4,1,2,1,1,4,1,2,4,3,3,4,3,0,1,2,1,1,2
