카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년09월_남_90~99세,335,11,15,6,19,6,22,12,5,20,24,5,14,14,16,23,15,31,13,15,19,4,26
2021년09월_남_100세 이상,13,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,2,0,1,0,2
2021년09월_여_총인구수,"172,702","3,750","5,525","4,973","5,765","3,383","6,840","6,016","3,680","6,963","6,969","1,898","10,970","7,296","7,774","9,761","7,557","21,806","5,543","10,930","14,775","9,455","11,073"
2021년09월_여_연령구간인구수,"172,702","3,750","5,525","4,973","5,765","3,383","6,840","6,016","3,680","6,963","6,969","1,898","10,970","7,296","7,774","9,761","7,557","21,806","5,543","10,930","14,775","9,455","11,073"
2021년09월_여_0~9세,"11,763",122,449,448,169,106,339,407,79,205,344,98,"1,091",305,373,437,351,"1,686",316,"1,148","1,173","1,443",674
2021년09월_여_10~19세,"12,455",158,396,286,276,174,409,426,143,360,464,94,"1,136",420,413,602,413,"1,732",283,"1,371","1,412",782,705
2021년09월_여_20~29세,"19,082",385,475,520,829,339,706,694,681,804,793,195,"1,020",830,961,"1,094",843,"2,405",599,"1,077","1,778",967,"1,087"
2021년09월_여_30~39세,"20,081",256,676,735,592,249,696,724,456,577,658,182,"1,347",626,803,837,668,"2,623",603,"1,505","1,884","2,180","1,204"
2021년09월_여_40~49세,"24,719",416,896,679,664,388,899,953,379,769,941,190,"2,009",787,914,"1,146",888,"3,277",645,"2,172","2,480","1,692","1,535"
2021년09월_여_50~59세,"28,803",616,806,767,"1,071",641,"1,165","1,046",611,"1,271","1,175",345,"1,682","1,451","1,458","1,940","1,329","3,513","1,100","1,417","2,424",961,"2,014"
2021년09월_여_60~69세,"28,570",777,834,797,"1,121",735,"1,242",875,673,"1,474","1,339",372,"1,462","1,565","1,467","1,924","1,514","3,522","1,077","1,116","1,984",832,"1,868"
2021년09월_여_70~79세,"17,140",602,620,473,694,476,875,539,408,976,800,257,780,837,884,"1,098",983,"1,860",623,731,"1,069",401,"1,154"
2021년09월_여_80~89세,"8,825",353,333,232,308,249,445,313,225,476,393,142,371,425,440,610,496,"1,027",256,349,507,164,711
2021년09월_여_90~99세,"1,224",59,39,34,41,25,61,37,24,50,59,23,69,48,61,69,70,157,41,43,64,30,120
2021년09월_여_100세 이상,40,6,1,2,0,1,3,2,1,1,3,0,3,2,0,4,2,4,0,1,0,3,1
