,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2020년10월_계_80~89세,"13,824",543,426,322,367,849,436,428,867,360,631,566,390,469,680,549,340,953,795,755,427,786,845,"1,040"
2020년10월_계_90~99세,"1,832",56,47,52,49,101,42,51,112,30,88,91,51,65,115,85,50,135,98,102,68,110,115,119
2020년10월_계_100세 이상,100,6,2,8,2,3,2,2,6,5,7,6,2,3,5,7,3,6,2,4,3,4,6,6
2020년10월_남_총인구수,"206,015","7,849","7,746","7,902","9,333","11,378","5,781","10,772","8,742","5,935","7,159","11,737","5,378","5,756","8,197","6,253","6,970","10,831","9,115","5,363","7,834","15,391","13,931","16,662"
2020년10월_남_연령구간인구수,"206,015","7,849","7,746","7,902","9,333","11,378","5,781","10,772","8,742","5,935","7,159","11,737","5,378","5,756","8,197","6,253","6,970","10,831","9,115","5,363","7,834","15,391","13,931","16,662"
2020년10월_남_0~9세,"15,382",687,541,992,800,962,282,808,632,598,433,"1,042",276,394,569,511,468,557,585,182,569,"1,157","1,002","1,335"
2020년10월_남_10~19세,"27,365","1,032",976,996,"2,259","1,335",672,"2,628","1,060",880,716,"2,173",433,397,680,556,580,"1,101",952,357,992,"2,458","1,849","2,283"
2020년10월_남_20~29세,"30,042","1,087","1,185","1,072","1,035","1,645","1,070","1,483","1,194",673,"1,124","1,483",866,783,"1,099",707,"1,207","1,783","1,378",751,"1,106","2,413","2,212","2,686"
2020년10월_남_30~39세,"20,941",716,986,946,571,"1,163",655,634,818,531,742,903,690,804,"1,065",774,938,"1,218",960,500,784,"1,374","1,487","1,682"
2020년10월_남_40~49세,"33,397","1,332","1,257","1,532","2,104","1,708",788,"2,020","1,465","1,164",968,"2,184",876,950,"1,202",970,"1,092","1,454","1,298",662,"1,231","2,500","2,104","2,536"
2020년10월_남_50~59세,"36,472","1,435","1,289","1,294","1,451","1,991","1,041","1,805","1,543",937,"1,373","2,092",957,"1,009","1,402",953,"1,320","1,964","1,646",992,"1,378","2,848","2,504","3,248"
2020년10월_남_60~69세,"24,436",830,877,615,619,"1,418",727,787,991,643,987,"1,121",684,783,"1,245",932,861,"1,551","1,356","1,098","1,147","1,662","1,685","1,817"
2020년10월_남_70~79세,"12,498",484,457,314,346,790,386,428,677,360,538,524,418,433,681,631,371,865,621,593,482,661,735,703
2020년10월_남_80~89세,"5,027",227,167,121,134,341,153,164,330,142,244,196,164,184,238,203,122,310,288,206,133,290,322,348
2020년10월_남_90~99세,428,18,11,17,12,25,6,14,31,6,33,16,14,19,16,15,10,28,30,21,11,26,29,20
2020년10월_남_100세 이상,27,1,0,3,2,0,1,1,1,1,1,3,0,0,0,1,1,0,1,1,1,2,2,4
2020년10월_여_총인구수,"219,624","8,590","8,226","8,595","9,755","11,935","5,760","9,765","10,143","6,268","8,140","12,721","5,850","5,926","8,743","6,711","7,361","11,906","10,160","6,397","8,350","16,361","14,116","17,845"
2020년10월_여_연령구간인구수,"219,624","8,590","8,226","8,595","9,755","11,935","5,760","9,765","10,143","6,268","8,140","12,721","5,850","5,926","8,743","6,711","7,361","11,906","10,160","6,397","8,350","16,361","14,116","17,845"
2020년10월_여_0~9세,"14,538",657,545,973,705,897,253,589,678,527,444,"1,025",283,359,488,511,475,506,526,189,567,"1,110","1,013","1,218"
2020년10월_여_10~19세,"24,478","1,121",872,"1,061","2,053","1,222",522,"1,393","1,184",863,745,"2,078",442,385,648,448,580,829,923,348,865,"2,339","1,508","2,049"
2020년10월_여_20~29세,"25,765",969,"1,164","1,016",858,"1,345",830,"1,020","1,068",587,"1,043","1,252",914,709,"1,029",547,"1,040","1,527","1,203",650,911,"2,078","1,700","2,305"
2020년10월_여_30~39세,"22,203",846,"1,085","1,198",722,"1,252",568,817,876,627,770,"1,120",690,776,"1,011",788,958,"1,111",997,462,803,"1,469","1,469","1,788"
2020년10월_여_40~49세,"39,908","1,614","1,460","1,722","2,634","2,005",939,"2,594","1,759","1,279","1,279","2,750",916,944,"1,289","1,005","1,225","1,752","1,572",691,"1,465","3,220","2,522","3,272"
2020년10월_여_50~59세,"38,876","1,483","1,364","1,293","1,289","2,103","1,065","1,585","1,665",891,"1,571","2,116",990,988,"1,517","1,089","1,434","2,322","1,999","1,226","1,598","3,071","2,656","3,561"
2020년10월_여_60~69세,"27,379",925,938,679,733,"1,569",806,878,"1,294",766,"1,146","1,270",811,877,"1,380","1,210",954,"1,887","1,562","1,289","1,273","1,643","1,722","1,767"
2020년10월_여_70~79세,"16,203",616,501,412,491,955,457,587,996,482,694,662,539,554,835,691,435,"1,216",802,909,515,849,913,"1,092"
2020년10월_여_80~89세,"8,797",316,259,201,233,508,283,264,537,218,387,370,226,285,442,346,218,643,507,549,294,496,523,692
2020년10월_여_90~99세,"1,404",38,36,35,37,76,36,37,81,24,55,75,37,46,99,70,40,107,68,81,57,84,86,99
2020년10월_여_100세 이상,73,5,2,5,0,3,1,1,5,4,6,3,2,3,5,6,2,6,1,3,2,2,4,2
