,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2021년12월_여_0~9세,"12,712","1,702",843,387,567,353,822,116,615,782,"1,089",953,537,574,"1,397",674,"1,301"
2021년12월_여_10~19세,"14,202","1,754",911,638,666,485,740,122,888,"1,067","1,121","1,109",663,588,"1,958",857,635
2021년12월_여_20~29세,"27,412","2,232","1,417","1,534","2,120","1,507","2,830",714,"1,451","1,650","2,135","1,849","1,242","2,285","2,235","1,408",803
2021년12월_여_30~39세,"29,940","3,199","1,872","1,241","2,166","1,348","2,766",521,"1,345","1,526","2,423","2,113","1,255","2,149","2,534","1,608","1,874"
2021년12월_여_40~49세,"29,850","3,360","1,776","1,526","1,779","1,302","1,957",456,"1,619","2,074","2,321","2,279","1,480","1,475","3,261","1,812","1,373"
2021년12월_여_50~59세,"31,435","2,596","1,552","2,179","1,439","1,687","2,244",712,"1,927","2,349","2,882","2,528","1,805","1,498","2,996","2,066",975
2021년12월_여_60~69세,"30,365","2,177","1,477","2,126","1,405","1,717","1,978",719,"1,874","2,082","2,723","2,810","1,940","1,570","2,924","1,941",902
2021년12월_여_70~79세,"16,816",986,505,"1,434",859,"1,143","1,138",433,982,"1,239","1,512","1,537",949,948,"1,784","1,059",308
2021년12월_여_80~89세,"7,286",438,233,623,391,523,477,231,444,577,607,572,455,428,731,420,136
2021년12월_여_90~99세,"1,169",86,43,95,49,68,72,30,72,77,105,90,64,79,140,70,29
2021년12월_여_100세 이상,30,2,2,3,1,0,3,4,1,3,3,3,1,1,1,0,2
