,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2020년12월_계_80~89세,"27,806","7,426",931,786,744,622,485,657,609,672,763,791,366,"11,085","1,059",458,594,656,417,870,572,336,"1,322","1,167",618,537,751,636,"1,092","9,295",991,917,"1,050","1,518",470,888,"1,083",941,"1,437"
2020년12월_계_90~99세,"4,189","1,178",123,127,131,109,77,92,113,105,126,109,66,"1,678",139,81,161,108,46,127,86,43,200,169,89,86,87,96,160,"1,333",127,105,140,200,90,161,158,141,211
2020년12월_계_100세 이상,205,78,0,8,9,6,4,7,10,13,10,4,7,73,10,4,3,7,2,8,3,3,7,6,2,4,2,6,6,54,10,5,2,7,2,5,10,4,9
2020년12월_남_총인구수,"532,847","131,974","17,230","13,729","10,372","11,849","4,302","4,561","10,131","12,458","22,398","18,148","6,796","217,663","19,365","15,271","8,736","20,974","6,931","16,723","10,546","13,312","19,040","15,838","15,903","13,374","11,432","12,220","17,998","183,210","18,307","20,442","18,543","27,442","9,151","24,413","23,535","16,604","24,773"
2020년12월_남_연령구간인구수,"532,847","131,974","17,230","13,729","10,372","11,849","4,302","4,561","10,131","12,458","22,398","18,148","6,796","217,663","19,365","15,271","8,736","20,974","6,931","16,723","10,546","13,312","19,040","15,838","15,903","13,374","11,432","12,220","17,998","183,210","18,307","20,442","18,543","27,442","9,151","24,413","23,535","16,604","24,773"
2020년12월_남_0~9세,"51,507","10,834","1,187","1,015",796,"1,599",168,133,681,778,"2,526","1,595",356,"21,958","1,714","1,789",962,"2,236",530,"1,607",923,"1,591","1,719","1,404","1,735","1,381","1,543","1,052","1,772","18,715","1,430","2,405","1,793","2,573",802,"2,987","2,383","1,744","2,598"
2020년12월_남_10~19세,"62,194","12,955","1,946","1,230",930,924,303,282,"1,062","1,139","2,266","2,253",620,"26,115","1,861","1,842",641,"1,735",641,"2,231","1,133","1,246","2,492","1,594","2,907","2,421","1,522","1,467","2,382","23,124","1,894","2,953","2,730","3,583",830,"2,768","3,136","2,196","3,034"
2020년12월_남_20~29세,"71,344","18,759","2,690","1,873","1,217","1,023",421,531,"1,356","2,291","3,694","2,608","1,055","29,375","2,564","2,004","1,306","3,267","1,040","2,070","1,319","2,975","2,229","2,122","1,784","1,629","1,094","1,780","2,192","23,210","2,810","2,412","2,100","3,897","1,390","2,785","3,075","1,939","2,802"
2020년12월_남_30~39세,"71,746","18,018","2,144","1,600","1,305","2,090",423,437,"1,377","1,730","3,781","2,332",799,"29,164","3,251","2,333","1,665","3,941","1,032","1,927","1,373","2,288","2,044","2,009","1,519","1,035","1,456","1,355","1,936","24,564","3,296","2,946","1,848","3,280","1,670","3,709","3,216","2,042","2,557"
2020년12월_남_40~49세,"98,833","22,901","3,115","2,391","1,814","2,253",606,612,"1,699","2,030","3,941","3,415","1,025","41,136","3,338","2,969","1,395","3,642","1,249","3,264","1,915","2,271","3,768","2,618","3,777","2,892","2,433","2,147","3,458","34,796","2,965","4,397","3,707","5,218","1,509","4,733","4,449","3,156","4,662"
2020년12월_남_50~59세,"83,930","22,350","3,112","2,533","1,930","1,552",853,885,"1,773","2,108","3,124","3,174","1,306","33,669","3,167","2,426","1,316","3,283","1,229","2,625","1,691","1,553","2,849","2,497","2,406","2,305","1,367","2,202","2,753","27,911","2,730","3,062","2,979","4,312","1,406","3,533","3,557","2,538","3,794"
2020년12월_남_60~69세,"50,673","15,776","1,862","1,859","1,439","1,395",856,981,"1,373","1,459","1,871","1,655","1,026","19,226","1,936","1,207",804,"1,709",622,"1,576","1,248",901,"1,903","1,729",919,917,854,"1,276","1,625","15,671","1,693","1,168","1,584","2,396",843,"2,253","1,900","1,373","2,461"
2020년12월_남_70~79세,"29,896","7,406",822,887,674,757,483,446,578,644,871,793,451,"11,847","1,040",539,367,878,394,"1,011",687,359,"1,393","1,269",580,551,774,683,"1,322","10,643","1,039",684,"1,252","1,467",481,"1,222","1,281","1,138","2,079"
2020년12월_남_80~89세,"11,564","2,701",329,316,246,228,171,231,204,249,293,296,138,"4,680",447,149,221,259,181,369,244,117,598,535,245,220,352,236,507,"4,183",410,380,509,651,191,384,500,435,723
2020년12월_남_90~99세,"1,123",261,23,23,20,28,18,22,27,25,28,27,20,476,44,12,58,23,12,41,13,10,44,59,31,21,35,22,51,386,38,33,41,65,29,39,37,43,61
2020년12월_남_100세 이상,37,13,0,2,1,0,0,1,1,5,3,0,0,17,3,1,1,1,1,2,0,1,1,2,0,2,2,0,0,7,2,2,0,0,0,0,1,0,2
2020년12월_여_총인구수,"541,329","125,524","16,070","12,473","9,893","11,698","3,950","3,900","8,953","12,177","22,277","17,801","6,332","223,172","19,479","15,458","8,887","21,096","6,501","16,962","10,786","12,650","20,332","16,554","17,152","13,861","12,089","12,750","18,615","192,633","18,455","21,238","19,629","29,440","9,382","25,108","25,114","17,488","26,779"
2020년12월_여_연령구간인구수,"541,329","125,524","16,070","12,473","9,893","11,698","3,950","3,900","8,953","12,177","22,277","17,801","6,332","223,172","19,479","15,458","8,887","21,096","6,501","16,962","10,786","12,650","20,332","16,554","17,152","13,861","12,089","12,750","18,615","192,633","18,455","21,238","19,629","29,440","9,382","25,108","25,114","17,488","26,779"
2020년12월_여_0~9세,"49,264","10,388","1,130",928,790,"1,596",158,106,627,789,"2,371","1,564",329,"20,841","1,696","1,735",929,"2,118",447,"1,461",916,"1,598","1,613","1,292","1,772","1,271","1,436",943,"1,614","18,035","1,330","2,321","1,755","2,525",726,"2,774","2,433","1,643","2,528"
2020년12월_여_10~19세,"58,971","11,928","1,758","1,129",859,946,272,227,884,"1,060","2,169","2,102",522,"24,717","1,743","1,706",629,"1,655",647,"2,121","1,027","1,226","2,356","1,515","2,817","2,278","1,455","1,350","2,192","22,326","1,810","2,809","2,589","3,511",789,"2,586","3,047","2,038","3,147"
2020년12월_여_20~29세,"66,418","15,745","2,101","1,476",918,911,322,336,"1,027","2,097","3,490","2,244",823,"27,406","2,574","1,835","1,174","3,441",920,"1,975","1,190","2,089","2,080","1,994","1,768","1,536","1,131","1,660","2,039","23,267","2,629","2,524","1,978","3,982","1,375","2,768","3,263","1,974","2,774"
2020년12월_여_30~39세,"73,557","15,988","1,798","1,447","1,065","2,137",308,291,"1,031","1,420","3,637","2,237",617,"30,362","2,987","2,388","1,594","3,886",856,"2,009","1,389","2,274","2,186","2,108","1,919","1,359","1,691","1,465","2,251","27,207","2,943","3,332","2,226","3,719","1,633","4,248","3,569","2,264","3,273"
2020년12월_여_40~49세,"101,182","20,627","2,861","2,061","1,520","1,847",487,399,"1,426","1,845","3,821","3,383",977,"42,747","3,308","3,048","1,364","3,467","1,161","3,285","1,879","2,170","4,015","2,776","4,142","3,400","2,501","2,353","3,878","37,808","3,133","4,630","4,307","5,689","1,546","4,877","4,912","3,436","5,278"
2020년12월_여_50~59세,"81,142","20,920","2,792","2,131","1,766","1,560",763,717,"1,615","2,101","3,250","2,934","1,291","33,064","3,069","2,398","1,445","3,233","1,048","2,554","1,795","1,641","2,994","2,607","2,207","1,952","1,329","2,204","2,588","27,158","2,683","2,685","2,749","4,400","1,470","3,457","3,473","2,528","3,713"
2020년12월_여_60~69세,"55,591","15,602","1,834","1,746","1,520","1,483",796,829,"1,234","1,525","1,949","1,714",972,"21,941","2,024","1,348",886,"1,821",645,"1,777","1,430",944,"2,391","1,986","1,194","1,029","1,169","1,433","1,864","18,048","1,960","1,260","1,860","2,731",936,"2,406","2,194","1,671","3,030"
2020년12월_여_70~79세,"35,728","8,619","1,094",975,838,737,467,493,609,829,"1,015","1,042",520,"14,431","1,364",619,388,987,506,"1,187",756,454,"1,811","1,530",900,652,926,862,"1,489","12,678","1,289","1,065","1,523","1,874",565,"1,361","1,510","1,326","2,165"
2020년12월_여_80~89세,"16,242","4,725",602,470,498,394,314,426,405,423,470,495,228,"6,405",612,309,373,397,236,501,328,219,724,632,373,317,399,400,585,"5,112",581,537,541,867,279,504,583,506,714
2020년12월_여_90~99세,"3,066",917,100,104,111,81,59,70,86,80,98,82,46,"1,202",95,69,103,85,34,86,73,33,156,110,58,65,52,74,109,947,89,72,99,135,61,122,121,98,150
2020년12월_여_100세 이상,168,65,0,6,8,6,4,6,9,8,7,4,7,56,7,3,2,6,1,6,3,2,6,4,2,2,0,6,6,47,8,3,2,7,2,5,9,4,7
