카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년07월_계_80~89세,"13,609",546,488,392,485,384,706,486,342,771,629,228,575,631,693,936,735,"1,481",458,550,765,240,"1,088"
2021년07월_계_90~99세,"1,532",69,52,36,59,30,78,48,30,73,81,27,79,58,78,90,83,187,52,58,80,36,148
2021년07월_계_100세 이상,50,6,2,2,1,0,5,2,2,2,3,0,4,1,0,3,3,4,2,1,1,3,3
2021년07월_남_총인구수,"167,503","3,722","4,964","4,877","5,923","3,044","6,194","5,947","3,680","6,917","6,474","2,168","10,565","7,269","7,905","8,966","7,680","20,992","5,606","10,275","14,467","9,232","10,636"
2021년07월_남_연령구간인구수,"167,503","3,722","4,964","4,877","5,923","3,044","6,194","5,947","3,680","6,917","6,474","2,168","10,565","7,269","7,905","8,966","7,680","20,992","5,606","10,275","14,467","9,232","10,636"
2021년07월_남_0~9세,"12,376",146,498,495,180,97,381,461,78,286,315,80,"1,080",315,416,431,371,"1,863",305,"1,188","1,237","1,518",635
2021년07월_남_10~19세,"13,762",220,455,339,335,214,470,585,193,434,493,122,"1,174",463,465,669,496,"1,932",347,"1,323","1,512",771,750
2021년07월_남_20~29세,"21,861",473,523,531,887,429,816,809,606,983,891,396,"1,194","1,054","1,160","1,301","1,042","2,707",748,"1,099","2,018",862,"1,332"
2021년07월_남_30~39세,"22,849",398,661,838,783,301,743,748,608,774,807,269,"1,334",857,"1,048",933,910,"2,819",730,"1,452","2,132","2,280","1,424"
2021년07월_남_40~49세,"26,096",501,922,715,851,412,955,894,540,882,955,251,"1,995",939,"1,081","1,166","1,046","3,416",772,"2,011","2,410","1,898","1,484"
2021년07월_남_50~59세,"27,483",668,733,734,"1,162",562,"1,017","1,058",629,"1,237","1,079",370,"1,597","1,372","1,381","1,662","1,430","3,379","1,038","1,486","2,262",796,"1,831"
2021년07월_남_60~69세,"24,599",686,609,665,999,560,943,811,566,"1,255","1,081",386,"1,324","1,363","1,378","1,585","1,343","2,959",960,910,"1,750",716,"1,750"
2021년07월_남_70~79세,"13,256",419,387,397,526,326,583,394,332,735,596,205,644,681,705,858,782,"1,423",491,582,857,313,"1,020"
2021년07월_남_80~89세,"4,882",201,162,156,181,138,264,175,120,311,232,84,210,213,255,340,245,463,200,209,268,73,382
2021년07월_남_90~99세,327,10,13,7,18,5,21,12,7,19,25,5,13,12,16,21,14,30,13,15,20,5,26
2021년07월_남_100세 이상,12,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,2,0,1,0,2
2021년07월_여_총인구수,"172,923","3,759","5,526","4,979","5,788","3,378","6,833","6,094","3,698","6,990","7,032","1,905","10,980","7,300","7,809","9,618","7,632","21,845","5,540","10,926","14,797","9,445","11,049"
2021년07월_여_연령구간인구수,"172,923","3,759","5,526","4,979","5,788","3,378","6,833","6,094","3,698","6,990","7,032","1,905","10,980","7,300","7,809","9,618","7,632","21,845","5,540","10,926","14,797","9,445","11,049"
2021년07월_여_0~9세,"11,888",128,440,445,173,107,346,407,79,211,346,99,"1,102",312,385,433,365,"1,704",321,"1,159","1,191","1,458",677
2021년07월_여_10~19세,"12,502",161,403,290,283,170,406,436,143,365,459,92,"1,127",424,427,597,432,"1,751",292,"1,363","1,414",756,711
2021년07월_여_20~29세,"19,225",386,481,519,835,336,702,723,695,824,816,197,"1,032",838,955,"1,091",851,"2,407",596,"1,066","1,794","1,001","1,080"
2021년07월_여_30~39세,"20,239",260,681,743,591,254,710,729,458,573,659,186,"1,378",628,811,810,688,"2,663",600,"1,532","1,909","2,176","1,200"
2021년07월_여_40~49세,"24,752",417,899,670,676,394,896,969,386,782,947,189,"2,002",793,930,"1,128",887,"3,263",649,"2,177","2,473","1,679","1,546"
2021년07월_여_50~59세,"28,838",618,812,769,"1,078",642,"1,171","1,062",615,"1,274","1,186",352,"1,663","1,458","1,483","1,901","1,359","3,525","1,096","1,403","2,410",961,"2,000"
2021년07월_여_60~69세,"28,437",776,827,801,"1,121",729,"1,234",882,672,"1,467","1,351",369,"1,462","1,551","1,439","1,896","1,514","3,510","1,078","1,109","1,982",822,"1,845"
2021년07월_여_70~79세,"17,072",603,617,475,686,475,865,537,404,979,812,255,779,831,879,"1,094",975,"1,844",611,732,"1,067",391,"1,161"
2021년07월_여_80~89세,"8,727",345,326,236,304,246,442,311,222,460,397,144,365,418,438,596,490,"1,018",258,341,497,167,706
2021년07월_여_90~99세,"1,205",59,39,29,41,25,57,36,23,54,56,22,66,46,62,69,69,157,39,43,60,31,122
2021년07월_여_100세 이상,38,6,1,2,0,0,4,2,1,1,3,0,4,1,0,3,2,3,0,1,0,3,1
