,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2021년06월_계_80~89세,"67,491","24,353","6,465","6,267","6,031","5,590","10,254","6,496","3,156","3,810","3,953","1,522","3,555","3,441","4,777","2,174"
2021년06월_계_90~99세,"9,376","3,449",996,890,827,736,"1,336",825,504,611,526,177,480,456,724,288
2021년06월_계_100세 이상,315,112,32,24,17,39,33,58,13,14,13,4,13,18,21,16
2021년06월_남_총인구수,"810,225","427,070","96,289","96,108","135,189","99,484","106,102","66,449","16,188","25,348","23,096","19,019","44,459","19,187","48,812","14,495"
2021년06월_남_연령구간인구수,"810,225","427,070","96,289","96,108","135,189","99,484","106,102","66,449","16,188","25,348","23,096","19,019","44,459","19,187","48,812","14,495"
2021년06월_남_0~9세,"61,409","37,102","8,214","6,771","12,139","9,978","7,143","4,320",711,"1,292","1,131","1,590","3,928",638,"2,955",599
2021년06월_남_10~19세,"76,584","44,130","10,243","10,272","13,617","9,998","9,684","5,960","1,094","2,017","1,684","1,749","4,353",988,"3,904","1,021"
2021년06월_남_20~29세,"109,588","65,267","13,429","15,313","22,078","14,447","13,845","8,166","1,381","2,436","2,309","2,617","5,361","1,625","5,357","1,224"
2021년06월_남_30~39세,"102,402","62,024","12,028","11,498","21,733","16,765","12,562","6,702","1,141","1,952","1,626","2,498","6,348","1,333","5,194","1,022"
2021년06월_남_40~49세,"123,619","69,049","15,226","14,921","21,957","16,945","15,637","9,261","1,789","3,287","2,768","2,992","7,456","2,137","7,510","1,733"
2021년06월_남_50~59세,"138,719","68,568","16,502","16,575","21,380","14,111","18,868","11,993","3,157","4,713","4,320","3,167","7,512","3,841","9,672","2,908"
2021년06월_남_60~69세,"118,278","50,556","12,690","12,792","14,510","10,564","16,825","11,877","3,689","5,282","4,958","2,637","5,664","4,804","8,561","3,425"
2021년06월_남_70~79세,"54,198","21,338","5,539","5,557","5,568","4,674","7,678","5,593","2,044","2,918","2,820","1,205","2,526","2,501","3,854","1,721"
2021년06월_남_80~89세,"23,310","8,317","2,192","2,231","2,046","1,848","3,536","2,378","1,073","1,293","1,361",519,"1,219","1,218","1,632",764
2021년06월_남_90~99세,"2,048",698,222,172,159,145,317,182,109,156,116,43,89,97,167,74
2021년06월_남_100세 이상,70,21,4,6,2,9,7,17,0,2,3,2,3,5,6,4
2021년06월_여_총인구수,"787,278","420,322","97,448","97,364","131,329","94,181","103,536","65,864","15,908","24,934","23,220","17,480","40,287","18,150","43,420","14,157"
2021년06월_여_연령구간인구수,"787,278","420,322","97,448","97,364","131,329","94,181","103,536","65,864","15,908","24,934","23,220","17,480","40,287","18,150","43,420","14,157"
2021년06월_여_0~9세,"58,753","35,638","8,014","6,461","11,679","9,484","7,006","4,105",681,"1,229","1,080","1,472","3,671",623,"2,698",550
2021년06월_여_10~19세,"70,763","40,943","9,481","9,520","12,650","9,292","8,924","5,547",958,"1,780","1,559","1,592","4,031",949,"3,590",890
2021년06월_여_20~29세,"87,479","54,557","11,465","12,876","18,753","11,463","10,213","6,509",949,"1,818","1,772","1,832","3,908","1,129","3,897",895
2021년06월_여_30~39세,"89,980","56,086","11,488","10,714","19,558","14,326","10,579","5,985",929,"1,833","1,453","2,015","5,159",998,"4,059",884
2021년06월_여_40~49세,"114,864","67,119","15,445","15,247","21,221","15,206","14,756","8,723","1,436","2,827","2,334","2,539","6,225","1,561","5,920","1,424"
2021년06월_여_50~59세,"130,737","68,336","16,646","17,089","21,267","13,334","18,069","11,518","2,524","4,044","3,777","2,827","6,216","3,206","7,699","2,521"
2021년06월_여_60~69세,"117,383","52,606","12,993","13,736","14,895","10,982","16,698","11,903","3,473","5,032","4,665","2,603","5,370","4,248","7,548","3,237"
2021년06월_여_70~79세,"65,565","26,159","6,841","6,949","6,638","5,731","9,528","6,772","2,467","3,387","3,568","1,461","2,970","2,841","4,292","2,120"
2021년06월_여_80~89세,"44,181","16,036","4,273","4,036","3,985","3,742","6,718","4,118","2,083","2,517","2,592","1,003","2,336","2,223","3,145","1,410"
2021년06월_여_90~99세,"7,328","2,751",774,718,668,591,"1,019",643,395,455,410,134,391,359,557,214
2021년06월_여_100세 이상,245,91,28,18,15,30,26,41,13,12,10,2,10,13,15,12
