카테고리,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2021년10월_남_20~29세,"24,622",416,228,605,89,70,121,46,35,65,128,"1,306",234,48,175,53,77,"2,349",740,602,937,"1,554","2,061",828,"1,831","2,195",823,857,"1,238","3,194","1,717"
2021년10월_남_30~39세,"21,078",461,183,921,67,68,80,43,45,37,93,"1,207",186,26,122,26,46,"1,463",618,488,672,"1,084","1,342",743,"1,661","1,483",599,558,"1,078","2,290","3,388"
2021년10월_남_40~49세,"26,551",550,323,657,116,86,151,61,98,87,161,"1,762",323,71,225,52,133,"1,919",800,721,999,"1,377","1,694",907,"2,461","1,982",750,808,"1,904","1,988","3,385"
2021년10월_남_50~59세,"28,259",724,352,617,192,189,262,157,125,142,325,"1,663",479,164,385,99,224,"2,182",854,970,"1,301","1,679","2,354","1,026","2,105","2,392",919,"1,081","1,595","1,939","1,763"
2021년10월_남_60~69세,"23,161",769,305,591,259,248,273,230,183,163,382,"1,290",459,210,523,137,286,"1,902",872,"1,067","1,165","1,509","1,762",945,"1,038","1,508",855,934,"1,085","1,326",885
2021년10월_남_70~79세,"11,321",363,150,238,156,135,149,134,138,123,263,553,230,148,249,66,139,"1,154",486,710,697,824,740,454,377,556,458,470,408,507,246
2021년10월_남_80~89세,"4,132",135,55,69,87,79,65,65,58,50,133,217,93,64,117,31,79,454,187,221,237,275,200,144,111,247,207,121,128,154,49
2021년10월_남_90~99세,332,14,6,6,7,10,6,7,6,7,11,8,14,8,11,3,6,38,17,17,18,14,12,9,7,26,14,10,8,7,5
2021년10월_남_100세 이상,16,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,2,1,3,0,0,2,0,3,0,0,1,0,0,0
2021년10월_여_총인구수,"175,820","4,001","2,004","4,308","1,154",952,"1,311",783,753,719,"1,594","10,474","2,341",803,"2,045",540,"1,124","14,133","5,263","5,722","7,036","9,806","12,144","5,691","13,273","14,331","6,126","6,059","11,039","13,648","16,643"
2021년10월_여_연령구간인구수,"175,820","4,001","2,004","4,308","1,154",952,"1,311",783,753,719,"1,594","10,474","2,341",803,"2,045",540,"1,124","14,133","5,263","5,722","7,036","9,806","12,144","5,691","13,273","14,331","6,126","6,059","11,039","13,648","16,643"
2021년10월_여_0~9세,"13,061",276,144,498,17,17,45,5,15,21,20,987,103,9,58,11,20,691,198,138,234,455,577,350,"1,499",986,298,300,"1,121","1,109","2,859"
2021년10월_여_10~19세,"16,402",291,210,255,47,25,84,15,20,40,53,"1,264",204,16,92,23,40,"1,082",325,280,481,748,"1,079",523,"1,729","1,631",522,526,"1,564","1,249","1,984"
2021년10월_여_20~29세,"20,305",339,209,473,49,49,85,23,21,36,69,996,175,29,150,37,61,"1,975",671,495,844,"1,304","1,628",650,"1,462","1,898",752,648,"1,071","2,430","1,676"
2021년10월_여_30~39세,"19,860",419,204,815,54,50,75,18,31,24,58,"1,153",173,28,99,19,51,"1,244",500,360,563,882,"1,115",623,"1,939","1,498",547,522,"1,291","1,943","3,562"
2021년10월_여_40~49세,"26,786",465,323,549,62,48,117,33,41,49,86,"1,901",294,29,178,36,65,"1,938",685,572,796,"1,313","1,806",774,"2,787","2,536",821,905,"2,149","2,117","3,311"
2021년10월_여_50~59세,"28,918",640,328,673,164,146,225,97,77,101,233,"1,710",398,116,368,79,157,"2,352",842,888,"1,254","1,834","2,551",996,"2,057","2,729","1,096","1,224","1,665","2,078","1,840"
2021년10월_여_60~69세,"25,439",680,272,563,237,243,247,214,189,148,370,"1,321",401,173,494,121,270,"2,336","1,029","1,389","1,416","1,802","1,982",984,"1,009","1,613","1,131","1,081","1,223","1,546",955
2021년10월_여_70~79세,"14,492",457,159,239,246,160,209,172,158,127,301,672,315,179,314,88,198,"1,546",619,978,910,990,878,534,492,820,581,519,597,752,282
2021년10월_여_80~89세,"8,980",353,131,198,225,180,203,180,173,141,343,404,240,193,242,103,230,842,322,538,455,424,455,217,254,516,321,282,313,363,139
2021년10월_여_90~99세,"1,514",79,23,42,51,33,21,26,27,31,59,65,38,30,48,21,30,122,66,73,81,52,72,39,42,102,54,49,44,61,33
2021년10월_여_100세 이상,63,2,1,3,2,1,0,0,1,1,2,1,0,1,2,2,2,5,6,11,2,2,1,1,3,2,3,3,1,0,2
