,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2021년11월_계_80~89세,"10,477",478,182,291,415,388,287,430,350,250,402,285,397,248,220,976,434,478,327,610,403,285,368,482,"1,255",236
2021년11월_계_90~99세,"1,370",56,39,41,52,48,44,71,53,27,65,37,47,27,34,109,50,59,41,77,56,31,41,58,167,40
2021년11월_계_100세 이상,37,1,1,0,3,2,3,1,0,0,2,1,3,0,0,4,1,2,0,2,1,0,2,2,4,2
2021년11월_남_총인구수,"105,959","2,475","1,022","1,480","5,086","1,507","1,149","2,029","6,984","2,059","1,828","1,157","1,562",991,"1,324","11,603","3,478","7,438","2,560","4,705","9,885","2,026","4,800","7,134","18,248","3,429"
2021년11월_남_연령구간인구수,"105,959","2,475","1,022","1,480","5,086","1,507","1,149","2,029","6,984","2,059","1,828","1,157","1,562",991,"1,324","11,603","3,478","7,438","2,560","4,705","9,885","2,026","4,800","7,134","18,248","3,429"
2021년11월_남_0~9세,"6,959",55,11,28,292,17,20,38,"1,014",155,33,28,38,30,40,791,112,558,121,158,"1,066",45,248,477,"1,290",294
2021년11월_남_10~19세,"9,608",103,34,64,224,47,55,61,520,141,78,43,71,40,79,"1,280",264,"1,061",244,336,"1,272",92,362,880,"1,899",358
2021년11월_남_20~29세,"13,672",220,62,117,920,99,67,155,836,367,148,76,88,59,158,"1,493",477,991,294,566,"1,333",312,620,"1,009","2,760",445
2021년11월_남_30~39세,"12,436",186,57,74,909,97,61,107,"1,637",254,88,71,76,62,123,"1,246",359,790,231,428,"1,533",173,539,741,"2,188",406
2021년11월_남_40~49세,"15,522",276,87,131,710,129,115,165,"1,199",285,185,100,142,74,191,"1,792",474,"1,310",376,628,"1,768",249,739,"1,083","2,747",567
2021년11월_남_50~59세,"18,952",534,212,325,847,303,190,418,778,295,380,218,284,174,251,"2,158",646,"1,296",468,857,"1,482",392,946,"1,437","3,405",656
2021년11월_남_60~69세,"17,192",641,319,427,740,452,333,602,625,311,505,323,492,301,254,"1,761",639,878,435,986,958,461,786,945,"2,583",435
2021년11월_남_70~79세,"7,686",283,170,216,287,205,195,313,248,147,248,168,214,149,141,750,356,371,249,482,348,204,415,395,946,186
2021년11월_남_80~89세,"3,607",166,62,89,141,143,100,156,109,96,151,116,141,96,84,300,142,173,133,245,121,94,137,153,391,68
2021년11월_남_90~99세,316,11,8,9,16,14,12,14,18,8,11,13,14,6,3,31,9,10,9,18,4,4,8,14,39,13
2021년11월_남_100세 이상,9,0,0,0,0,1,1,0,0,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1
2021년11월_여_총인구수,"103,525","2,349",987,"1,437","3,922","1,422","1,104","1,908","6,630","1,743","1,784","1,093","1,534",956,"1,346","11,695","3,365","7,732","2,581","4,674","9,972","1,725","4,443","7,368","18,596","3,159"
2021년11월_여_연령구간인구수,"103,525","2,349",987,"1,437","3,922","1,422","1,104","1,908","6,630","1,743","1,784","1,093","1,534",956,"1,346","11,695","3,365","7,732","2,581","4,674","9,972","1,725","4,443","7,368","18,596","3,159"
2021년11월_여_0~9세,"6,849",38,21,36,287,18,23,19,"1,022",163,52,17,29,30,45,759,122,590,110,152,"1,041",50,241,460,"1,267",257
2021년11월_여_10~19세,"8,903",98,26,45,208,45,30,52,528,134,93,37,55,31,82,"1,178",247,922,229,323,"1,220",64,357,803,"1,783",313
2021년11월_여_20~29세,"10,044",141,46,58,490,59,45,81,653,169,101,41,72,38,110,"1,142",333,803,234,472,"1,076",215,465,860,"2,038",302
2021년11월_여_30~39세,"10,444",109,36,58,525,53,42,63,"1,419",189,72,45,60,53,80,"1,115",220,779,187,335,"1,484",89,423,659,"1,978",371
2021년11월_여_40~49세,"14,666",176,67,94,496,65,45,129,"1,031",212,122,80,101,52,151,"1,753",432,"1,452",345,497,"1,866",156,625,"1,255","2,936",528
2021년11월_여_50~59세,"18,031",460,183,250,646,242,178,348,778,215,321,204,247,165,210,"2,180",581,"1,355",450,823,"1,493",308,766,"1,446","3,602",580
2021년11월_여_60~69세,"17,177",604,300,404,651,396,331,555,624,295,436,284,421,253,294,"1,834",654,966,476,"1,057","1,021",367,832,"1,008","2,710",404
2021년11월_여_70~79세,"9,459",365,156,258,306,264,189,329,299,193,281,192,259,161,207,977,442,509,324,590,436,258,468,502,"1,286",208
2021년11월_여_80~89세,"6,870",312,120,202,274,245,187,274,241,154,251,169,256,152,136,676,292,305,194,365,282,191,231,329,864,168
2021년11월_여_90~99세,"1,054",45,31,32,36,34,32,57,35,19,54,24,33,21,31,78,41,49,32,59,52,27,33,44,128,27
2021년11월_여_100세 이상,28,1,1,0,3,1,2,1,0,0,1,0,1,0,0,3,1,2,0,1,1,0,2,2,4,1
