,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2021년10월_남_30~39세,"7,540",809,70,103,50,64,66,119,53,149,190,135,54,122,523,138,187,432,109,161,"4,006"
2021년10월_남_40~49세,"9,249",944,146,162,73,135,132,196,98,246,260,225,88,236,598,190,306,681,198,248,"4,087"
2021년10월_남_50~59세,"9,525","1,009",269,308,141,212,212,327,198,519,443,392,220,444,688,250,432,757,318,380,"2,006"
2021년10월_남_60~69세,"8,616","1,009",310,348,159,277,317,450,245,592,468,389,260,498,403,201,437,520,344,357,"1,032"
2021년10월_남_70~79세,"5,035",519,205,212,134,180,206,280,149,335,323,230,146,356,180,130,314,314,235,212,375
2021년10월_남_80~89세,"2,121",185,95,111,45,94,103,139,93,168,137,98,78,160,83,55,141,119,86,64,67
2021년10월_남_90~99세,219,17,4,8,9,3,13,11,8,24,15,11,11,13,7,3,16,14,18,6,8
2021년10월_남_100세 이상,6,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1
2021년10월_여_총인구수,"57,850","6,001","1,275","1,354",720,"1,131","1,215","1,751",982,"2,201","2,000","1,581",892,"2,002","3,910","1,332","2,400","4,326","1,596","1,557","19,624"
2021년10월_여_연령구간인구수,"57,850","6,001","1,275","1,354",720,"1,131","1,215","1,751",982,"2,201","2,000","1,581",892,"2,002","3,910","1,332","2,400","4,326","1,596","1,557","19,624"
2021년10월_여_0~9세,"4,833",525,23,26,11,40,29,32,17,35,50,39,10,40,281,66,92,302,46,54,"3,115"
2021년10월_여_10~19세,"4,702",405,61,53,25,56,28,58,24,71,90,62,31,77,411,87,137,432,120,98,"2,376"
2021년10월_여_20~29세,"5,750",500,73,96,31,55,57,95,38,135,154,110,45,120,578,133,205,575,115,155,"2,480"
2021년10월_여_30~39세,"6,950",784,55,53,15,48,46,64,41,102,107,88,33,94,420,123,179,416,103,120,"4,059"
2021년10월_여_40~49세,"7,473",719,59,81,44,82,55,104,45,116,164,116,49,101,603,157,253,645,106,146,"3,828"
2021년10월_여_50~59세,"7,817",961,185,190,107,135,151,252,127,348,276,253,144,277,627,224,397,708,239,217,"1,999"
2021년10월_여_60~69세,"8,294","1,004",270,298,156,238,266,400,209,501,427,355,193,441,460,232,450,582,315,321,"1,176"
2021년10월_여_70~79세,"6,368",614,268,252,144,236,291,366,223,422,417,282,197,446,308,169,414,392,290,247,390
2021년10월_여_80~89세,"4,789",417,233,261,160,207,253,321,217,384,262,240,163,344,192,116,228,228,226,166,171
2021년10월_여_90~99세,845,70,46,42,27,30,39,56,37,85,51,36,26,60,28,25,44,45,36,32,30
2021년10월_여_100세 이상,29,2,2,2,0,4,0,3,4,2,2,0,1,2,2,0,1,1,0,1,0
